Grasp80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:53:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
31;764.732971;515.178711;46.598274;837.564697;477.567871;37.293716;891.043396;545.142273;96.787552;1047.216431;728.497253;454.734009;;;;;;;;;;;;;;;;;;;;;;;;
32;767.787231;514.634827;48.131870;839.769897;478.505249;39.670582;893.158386;546.606018;98.218925;1048.415039;729.678162;454.899658;;;;;;;;;;;;;;;;;;;;;;;;
33;771.177368;514.233643;49.506523;842.636597;479.446991;42.110306;895.333496;548.304321;100.509270;1049.631714;731.211548;454.865173;;;;;;;;;;;;;;;;;;;;;;;;
34;774.316040;513.764038;51.419846;845.029846;479.727417;44.083496;897.761230;549.845825;102.663750;1050.873901;732.749268;455.370880;;;;;;;;;;;;;;;;;;;;;;;;
35;777.592285;513.512512;53.306313;848.246521;480.714722;46.526379;900.269470;551.390076;104.453712;1051.959961;734.166992;455.630432;;;;;;;;;;;;;;;;;;;;;;;;
36;781.262451;513.209778;55.415058;851.499451;482.007935;48.676601;902.554626;552.957092;106.047447;1053.702271;735.403687;455.477386;;;;;;;;;;;;;;;;;;;;;;;;
37;784.617554;513.136597;57.345905;854.141968;482.747955;50.031834;905.278992;555.068420;107.998672;1055.407104;736.709534;455.681274;;;;;;;;;;;;;;;;;;;;;;;;
38;788.314026;513.579102;58.878155;857.693726;484.422882;51.948490;908.102112;556.141479;110.001633;1057.234619;738.219543;455.686371;;;;;;;;;;;;;;;;;;;;;;;;
39;792.100525;513.727600;60.977558;861.085754;485.663422;52.964748;910.846680;558.239014;111.524445;1058.393555;739.807678;455.743835;;;;;;;;;;;;;;;;;;;;;;;;
40;795.746704;514.233887;62.585999;864.761902;486.613617;54.789326;913.727539;560.092346;112.935410;1059.838501;741.363342;456.170105;;;;;;;;;;;;;;;;;;;;;;;;
