;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;;*43;;;*44;;;*45;;;*46;;;*47;;;*48;;;*49;;;*50;;;*51;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;774.030090;539.616028;30.899523;907.994934;560.822388;62.203243;845.568542;493.137817;30.458881;1155.973633;750.646912;360.898926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;774.089539;539.583435;30.850435;908.017456;560.798096;62.275467;845.537537;493.146698;30.433144;1155.950317;750.693787;360.997498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;774.092896;539.605042;30.907648;907.996826;560.778992;62.308006;845.562317;493.138855;30.457781;1155.873291;750.832153;361.117188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;774.117676;539.594055;30.918283;908.018494;560.859253;62.246956;845.569397;493.132416;30.467718;1155.839966;750.890991;361.267456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;774.244995;539.468872;31.231308;907.726807;560.946411;62.558544;845.568481;493.141479;30.504360;1155.784424;751.092407;361.358124;;;;1045.755615;729.917480;162.038727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;774.319702;539.384277;31.146381;907.605347;560.934387;62.689678;845.608154;493.148010;30.500469;1155.602295;751.208618;361.307800;;;;1045.744873;730.039429;162.167313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;774.296021;539.410522;31.314962;907.557007;561.007019;62.616329;845.651123;493.225494;30.438202;1155.510742;751.375305;361.328461;;;;1045.473267;730.330383;162.234009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;774.287659;539.402344;31.323572;907.629944;561.041077;62.652775;845.633179;493.157196;30.429960;1155.529297;751.549133;361.358643;;;;1045.189331;730.503479;162.320313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;774.284485;539.341858;31.292952;907.660706;561.071594;62.747425;845.557861;493.118896;30.489922;1155.468628;751.815063;361.301605;;;;1044.840698;730.795776;162.415848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;774.312378;539.309204;31.324980;907.726563;561.124207;62.698204;845.632019;493.106720;30.552288;1155.535278;752.151367;361.309845;;;;1044.802368;731.144714;162.149139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;774.375244;539.276367;31.371893;907.742249;561.173096;62.706570;845.657837;493.108307;30.553036;1155.491943;752.467834;361.343292;;;;1044.608887;731.383972;161.922195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;774.432495;539.183167;31.349802;907.834717;561.260193;62.769985;845.657532;493.112946;30.543756;1155.681030;752.800110;361.418945;;;;1044.534668;731.647034;162.412323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;774.511780;539.154846;31.315865;907.826782;561.275635;62.750446;845.691101;493.094757;30.536329;1155.674072;753.223328;361.404755;;;;1044.247192;731.974670;162.679367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;774.705444;539.010437;31.474371;907.917297;561.319641;62.789539;845.724548;493.067322;30.498075;1155.304321;753.882202;361.235657;;;;1043.742188;732.224915;162.154160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;774.808960;538.941650;31.552990;908.050232;561.420471;62.851292;845.767456;493.046997;30.528515;1154.996582;754.279663;361.243378;;;;1043.753784;732.469299;162.006638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;774.893555;538.827332;31.549479;908.107849;561.490112;62.856441;845.798523;492.968170;30.555107;1154.828125;754.731567;361.033997;;;;1043.461914;732.486511;161.827652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;774.853027;538.753540;31.450867;908.156494;561.615784;62.886021;845.798889;492.947021;30.563723;1154.732178;755.183411;360.936951;;;;1043.253906;732.616943;161.770599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;774.896912;538.678528;31.339418;908.618713;561.594788;62.769596;845.865356;492.915894;30.598106;1154.618408;755.842896;360.862518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;775.124390;538.554688;31.349903;908.680298;561.479309;62.606438;845.920044;492.828857;30.576431;1154.256470;756.632568;360.659058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;775.304443;538.318848;31.470982;908.609192;561.628235;63.099915;846.029602;492.688049;30.693043;1154.050537;757.253784;360.561371;;;;;;;1042.202759;733.585388;161.842331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;775.622253;538.128296;31.572432;908.582214;561.867126;63.469372;846.110413;492.626221;30.743475;1153.918945;757.776306;360.416412;;;;;;;1041.631836;734.179138;161.860580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;775.943420;537.716187;31.737057;908.628601;562.099609;63.503201;846.246216;492.445923;30.798979;1153.961914;758.231445;360.335724;;;;;;;1040.734619;734.641052;161.545914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;776.315552;537.176697;32.077869;908.776978;562.309875;63.636982;846.448914;492.307220;30.929289;1153.977661;758.864380;360.316986;;;;;;;1040.610229;735.478394;160.791168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;776.942383;536.461182;32.558914;908.955750;562.409851;63.913006;846.683289;492.044067;31.104158;1153.598633;759.695984;360.254242;;;;;;;1040.541016;736.125610;160.258255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;777.692505;535.571838;33.584827;909.195435;562.648010;64.409851;847.194519;491.723572;31.297813;1153.035645;760.568726;359.949463;;;;;;;1040.298218;736.772461;159.845535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;778.219116;534.863281;34.859169;909.496582;562.906799;64.792519;847.915588;491.303772;31.442467;1152.884766;761.333740;359.776398;;;;;;;1040.280640;737.101135;159.663605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;778.844238;534.263855;36.959320;910.315491;563.231934;65.325737;848.831543;490.872681;31.467627;1152.807495;762.041199;359.650970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;779.558777;533.495239;39.318027;910.854065;563.698914;65.438751;850.095459;490.551208;31.138969;1152.579956;762.748291;359.327942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;780.620422;532.601746;42.743160;911.280945;564.033081;65.913651;851.260498;490.103333;31.594856;1152.582764;763.513977;359.146545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;781.589844;531.489075;46.574551;912.117737;563.803711;67.637321;852.786926;489.182007;32.060680;1152.424927;764.308777;358.831512;;;;;;;;;;1040.798950;739.823853;158.723480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;782.454773;530.417358;51.009590;912.921265;564.187012;69.653862;854.159424;487.895416;32.493637;1152.442749;765.291687;358.692596;;;;;;;;;;1040.704834;740.715515;158.744995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;783.857483;529.253662;56.280090;913.689392;564.783813;70.992393;856.243774;486.660065;33.275585;1152.476440;766.229553;358.686035;;;;;;;;;;1040.905884;741.494141;158.643860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;785.470520;527.920593;62.280819;914.466248;565.299011;71.487106;858.202087;485.498016;33.388229;1152.232300;767.483765;358.511810;;;;;;;;;;1041.036255;743.004517;158.394104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;787.541016;526.238159;68.278984;915.715881;565.930359;72.525711;861.037292;484.804626;34.624683;1152.170898;768.658142;358.386261;;;;;;;;;;1041.188721;744.515137;158.328125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;789.555664;525.024292;74.288582;917.917969;566.005554;75.039330;863.688721;484.042297;36.014091;1152.374878;769.818298;358.213654;;;;;;;;;;1041.506104;745.473267;158.333008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;792.193176;523.169800;80.881660;919.205688;566.770142;77.260643;866.505310;483.217194;37.412663;1152.571899;770.882507;358.036316;;;;;;;;;;1042.711060;746.230225;158.262756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;795.201660;521.247681;86.520943;920.291016;567.425903;78.967827;868.679932;483.269226;39.598736;1152.993896;771.966797;357.942230;;;;;;;;;;1043.702148;747.646606;158.047958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;798.773987;519.152954;93.661560;922.776428;567.937317;81.482780;870.753723;484.024872;43.306313;1153.444702;773.004822;357.380737;;;;;;;;;;1043.770508;749.119202;158.479584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;801.962830;517.248962;100.328712;;;;872.600830;483.810547;47.938305;1154.172852;774.053711;357.410034;;;;;;;;;;1044.290894;750.247375;159.206360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;806.175720;515.740906;106.873413;;;;874.775208;482.878265;53.045891;1154.543823;775.267212;357.054871;;;;;;;;;;1044.976929;752.032227;160.064209;926.550232;568.246399;86.950981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;810.291626;514.157349;114.254456;;;;876.664551;482.460114;58.412785;1154.896484;776.599182;356.647949;;;;;;;;;;1045.720947;753.386292;160.636200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;814.585205;512.823059;121.584854;;;;878.838257;482.364716;63.918457;1155.349609;777.818237;356.707031;;;;;;;;;;1046.550415;754.892273;160.833115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;818.358704;511.962067;129.245560;;;;881.549988;482.286041;69.703835;1156.257935;778.881226;356.768097;;;;;;;;;;1047.456299;756.552917;160.964981;;;;932.638062;571.870483;96.583694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
