Trial31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:12:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
27;539.974915;611.623413;31.224768;445.634094;700.124084;72.476654;229.411087;716.955261;257.445709;141.136749;807.547913;479.086029;536.747986;700.416321;27.478153;;;;;;;;;;;;;;;;;;;;;;;;
28;540.238647;611.319031;33.980824;445.820557;699.879089;75.344162;227.615585;717.449219;257.725220;141.033813;807.971069;479.331879;537.599426;700.589539;29.650944;;;;;;;;;;;;;;;;;;;;;;;;
29;540.488831;611.220093;36.761768;446.334808;699.907288;78.333611;225.464310;718.299500;257.648254;140.987442;808.586304;479.494171;538.249573;700.420776;33.512386;;;;;;;;;;;;;;;;;;;;;;;;
30;541.275574;611.259583;40.625591;446.565338;699.783081;81.601524;223.738861;719.141113;257.436829;141.006165;809.306458;479.615875;539.176636;699.977112;38.358994;;;;;;;;;;;;;;;;;;;;;;;;
31;541.774841;611.290466;44.584484;446.405182;700.007080;85.789383;221.541489;720.056580;257.563324;140.881256;810.016357;480.108276;540.280518;699.399353;43.799309;;;;;;;;;;;;;;;;;;;;;;;;
32;542.098450;611.237793;48.856461;446.772278;700.122192;89.627190;218.911774;720.781189;257.887970;140.739227;810.588440;480.452515;540.884644;698.676147;50.015514;;;;;;;;;;;;;;;;;;;;;;;;
33;542.648621;611.397034;53.770023;446.833740;700.023743;93.548203;216.744217;721.938416;257.668304;140.806351;811.338013;480.128754;541.262939;698.081055;56.468502;;;;;;;;;;;;;;;;;;;;;;;;
34;542.978271;611.698792;59.353184;446.675812;700.135498;98.092155;213.989990;723.168640;258.219635;140.474655;812.317078;480.865112;542.058167;697.381653;63.502747;;;;;;;;;;;;;;;;;;;;;;;;
35;543.449524;612.135925;64.713516;446.204254;700.269165;102.756836;210.960251;724.126221;258.530304;140.043549;813.102905;481.286285;542.548828;696.733398;70.543839;;;;;;;;;;;;;;;;;;;;;;;;
36;543.820557;612.594849;70.615395;445.721527;700.358215;107.622391;208.147995;725.377380;258.432800;139.629395;813.992432;481.697784;542.711121;696.208435;77.612465;;;;;;;;;;;;;;;;;;;;;;;;
