;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;;*43;;;*44;;;*45;;;*46;;;*47;;;*48;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;749.601990;448.445496;28.764442;909.027161;681.989746;230.196899;832.387634;430.279602;30.402657;865.616821;514.866333;62.692982;957.935791;760.525757;351.091614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;749.558411;448.450378;28.743860;909.023987;681.986328;230.171371;832.391541;430.311554;30.343721;865.636353;514.860840;62.667145;957.985718;760.482483;351.215576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;749.581360;448.456665;28.727274;909.031311;681.963257;230.202652;832.350891;430.331818;30.386816;865.620728;514.871033;62.669319;958.013062;760.383057;351.269958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;749.552795;448.454681;28.738611;909.026001;681.907959;230.201843;832.354126;430.387939;30.386850;865.628662;514.961914;62.651512;957.946350;760.378479;351.222076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;749.523804;448.465424;28.792793;909.033936;681.871277;230.254211;832.324463;430.357666;30.362612;865.614807;514.973022;62.650318;957.966064;760.366394;351.339600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;749.527161;448.472321;28.801630;908.970947;681.854675;230.248688;832.351746;430.311615;30.416502;865.630310;514.975281;62.645004;957.991943;760.266235;351.394073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;749.561829;448.470551;28.783190;908.973572;681.779175;230.344147;832.337402;430.382263;30.415884;865.637329;514.975098;62.640812;958.001831;760.242493;351.388275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;749.591858;448.457611;28.725605;908.977966;681.758423;230.365738;832.306885;430.366241;30.403875;865.612305;514.970703;62.573086;958.041748;760.149170;351.485626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;749.541809;448.466187;28.772560;908.999390;681.730713;230.409912;832.355042;430.380951;30.401358;865.633179;514.974243;62.622276;958.023743;760.131897;351.527466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;749.515991;448.466492;28.805159;908.945679;681.755005;230.419571;832.387817;430.432343;30.394426;865.607300;514.986206;62.656288;957.909363;760.160034;351.590332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;749.567566;448.474762;28.782263;908.893982;681.658142;230.516724;832.382813;430.381134;30.410919;865.602356;514.964050;62.665497;957.850098;760.075500;351.723419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;749.545532;448.564514;28.798855;908.837280;681.629395;230.592163;832.340088;430.309723;30.349455;865.598572;514.981140;62.661335;957.802673;760.079590;351.846954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;749.539001;448.473480;28.753714;908.876831;681.590454;230.683960;832.324402;430.318909;30.412554;865.629028;514.976746;62.646374;957.872803;760.082764;351.905884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;749.574341;448.477539;28.794022;908.868103;681.494446;230.658569;832.373169;430.415802;30.413309;865.617615;514.963257;62.650711;957.905334;759.994751;351.974274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;749.572205;448.470703;28.780315;908.811768;681.501770;230.638046;832.366699;430.341003;30.415676;865.630432;514.970886;62.646675;957.854004;760.003967;352.040405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;749.529663;448.466339;28.791086;908.850586;681.522461;230.636185;832.349731;430.298889;30.406103;865.636780;514.975098;62.641449;957.938171;759.959717;352.120697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;749.558411;448.468719;28.782427;908.933228;681.347839;230.818558;832.359558;430.342072;30.410221;865.599792;514.858643;62.598713;957.928894;759.906494;352.184509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;749.570923;448.470490;28.774445;909.031006;681.271179;230.882828;832.342041;430.335999;30.440639;865.605835;514.935852;62.650139;957.972961;759.866272;352.276917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;749.537231;448.483215;28.817060;909.088257;681.165405;230.942612;832.305054;430.341339;30.419664;865.628906;514.977478;62.652576;957.969360;759.873474;352.287781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;749.527039;448.453705;28.771639;908.736938;681.219788;231.419785;832.341675;430.320953;30.406851;865.572937;514.873840;62.610836;958.025879;759.889038;352.319672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;749.524109;448.462708;28.789972;908.669067;681.229492;231.633850;832.374939;430.299744;30.442026;865.579956;514.856750;62.599384;958.126770;759.861267;352.362183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;749.521057;448.466278;28.800468;909.072998;681.036865;231.235611;832.361084;430.287628;30.429619;865.589661;514.865356;62.596416;958.224060;759.848450;352.424042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
