Grasp123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;935.284790;684.136597;255.066238;794.807129;421.694000;27.233000;713.156067;473.343079;27.742712;847.708374;501.020599;60.789082;1014.854492;765.166199;424.696960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;935.122498;684.065430;255.063675;794.820251;421.677612;27.138681;713.185181;473.356964;27.617453;847.659485;501.013275;60.811733;1014.653259;765.140198;424.799652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;934.981018;684.170288;255.328140;794.825500;421.678986;27.123810;713.209045;473.328552;27.538094;847.669312;500.921082;60.852032;1014.556519;765.238281;424.850952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;934.778809;684.208801;255.297577;794.869751;421.696167;27.169893;713.196106;473.344757;27.661360;847.676086;500.982391;60.825230;1014.473572;765.256775;424.832581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;934.882751;684.061096;255.132599;794.829224;421.680237;27.145937;713.102051;473.351563;27.783127;847.614624;500.903870;60.872841;1014.459412;765.321411;425.137634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;934.883911;684.055969;255.104095;794.804626;421.598419;27.163992;713.065186;473.322021;27.679733;847.619080;500.892883;60.895851;1014.220276;765.277039;424.931610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;934.885132;684.082947;255.122635;794.803711;421.577423;27.195997;713.167297;473.432465;27.482306;847.670776;500.906219;60.874088;1014.409302;765.386902;424.680267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;934.784241;684.112915;255.167816;794.817932;421.658752;27.174000;713.205017;473.377319;27.428940;847.681641;500.910980;60.852253;1014.388672;765.434814;424.558441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;934.719727;684.117432;255.201035;794.809265;421.608398;27.164129;713.231628;473.355896;27.430984;847.640564;500.989655;60.828644;1014.296143;765.442627;424.577057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;934.714172;684.115051;255.205841;794.804260;421.581940;27.172794;713.187744;473.350189;27.465199;847.670044;500.929688;60.845963;1014.266357;765.448669;424.631287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;934.651550;684.118042;255.163239;794.806396;421.583130;27.193615;713.172180;473.339630;27.723162;847.641418;500.901978;60.878036;1014.194580;765.504150;424.635315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;934.666016;684.099548;255.152130;794.841797;421.578857;27.161552;713.119507;473.306976;27.662333;847.664429;500.902191;60.867996;1014.098755;765.517456;424.675720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
