Grasp119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
24;803.943542;816.164978;54.292328;943.112122;827.854065;73.641449;1103.435303;908.413513;270.389740;1161.266479;875.894104;447.246490;877.282166;755.799072;41.905003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;804.187134;815.397400;56.558083;943.257996;827.430542;74.557480;1103.400879;908.220398;270.464844;1160.893188;875.954163;447.158356;877.534180;754.507202;44.508694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;804.314087;814.577148;60.136040;943.475769;826.732300;76.102463;1103.484985;907.935364;270.436035;1160.738281;875.874695;447.094360;877.629883;753.042664;47.116760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;804.160278;813.128174;63.222290;943.323181;825.957397;77.259010;1103.667969;907.874451;270.337463;1160.501953;875.955200;447.099518;877.812378;751.760071;49.687954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;804.174438;811.858826;66.023834;943.243286;825.389404;77.855957;1103.960083;907.755493;270.242554;1160.346313;875.973022;446.985931;878.595215;750.002258;52.597633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;804.110168;810.680969;69.034821;943.234436;824.653381;79.180649;1104.077026;907.682373;270.254883;1159.973145;876.029480;446.755005;879.005676;748.145081;54.000404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;803.894287;808.841736;72.354439;943.177979;823.447144;80.521614;1104.338867;907.466797;270.197906;1159.619751;876.111511;446.492584;879.860657;746.015381;56.252499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;803.397034;807.126099;75.354668;943.195129;822.301636;81.624023;1104.732544;907.215942;269.951508;1159.264893;876.160889;446.156738;880.513184;743.750732;58.134541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;803.224243;805.376038;78.265625;943.015808;821.009521;83.062881;1104.988525;907.080017;269.751923;1159.036621;876.193970;445.847076;881.267700;741.511108;60.459442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;803.011292;803.147888;80.879463;942.361572;819.728027;84.450554;1104.979126;906.884033;269.635925;1158.925903;876.256470;445.594696;882.077759;738.738647;63.078968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;802.718689;801.009644;83.253532;941.485046;818.195679;85.782364;1105.060059;906.580994;269.503632;1158.716064;876.326660;445.308411;882.701782;736.057556;65.580780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;802.511353;798.774902;86.032143;941.322937;816.740417;87.263344;1104.524292;906.438599;269.592896;1158.694580;876.264709;445.020172;883.724731;733.518982;68.253693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;802.175415;796.272949;88.404709;941.028259;815.278809;88.602493;1104.149536;906.132202;269.789276;1158.742798;876.174988;444.916290;884.481140;730.582153;70.895226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
