;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
15;808.925537;469.763214;29.282059;937.175598;513.300659;68.863754;1081.494751;752.147156;460.765381;890.995117;433.554932;30.528671;1011.619995;696.176514;258.423248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;809.156677;470.081329;29.485897;937.028992;513.557129;69.096985;1082.143311;752.191711;460.548004;891.191589;433.789734;30.672413;1012.504395;697.127319;258.290802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;809.369507;470.449707;29.662823;936.997375;514.048401;69.322624;1082.855957;752.401306;460.296295;891.503052;433.994751;30.625498;1013.568909;698.352722;257.937073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;809.714600;470.754028;30.207119;936.885620;515.018616;70.415970;1084.018799;752.903687;459.945923;891.832031;434.244263;30.687254;1014.837158;699.605896;257.388550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;810.267700;471.032776;30.726463;936.745728;515.881226;71.470886;1085.236084;753.320007;459.437347;892.293640;434.619629;30.798740;1015.998718;700.817261;257.149689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;810.892029;471.484070;31.159433;936.551208;516.774597;72.575821;1086.158691;754.190918;459.541870;892.629883;435.215302;31.237263;1017.272461;702.163818;257.281830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;811.518372;471.877380;31.400217;936.571594;517.728943;73.706306;1086.873169;754.463135;459.789703;892.989502;435.792572;31.611052;1018.391174;703.805176;257.069519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;812.283447;472.440613;31.429094;936.428101;518.982849;74.686600;1088.316650;755.163025;459.699493;893.221436;436.500061;32.055931;1019.515930;705.480286;256.836151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;813.008301;473.195709;31.233177;936.251892;520.378235;76.186043;1089.643311;755.785095;459.619537;893.365173;437.197510;32.545807;1021.247925;707.263062;256.307770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;814.052307;473.956451;32.234612;936.180237;521.649048;77.763634;1090.885132;756.056946;459.259552;893.487610;437.875732;33.202854;1023.232727;708.995178;255.704697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;815.226563;474.850647;33.237457;936.294922;523.092285;79.002907;1092.529663;756.527954;458.818176;893.848145;438.966583;34.968674;1025.493408;710.840149;255.547211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;816.488464;475.534790;33.572460;936.384460;525.034119;80.879494;1093.986328;757.107300;458.942566;893.785645;440.438599;36.979519;1027.483398;712.855835;255.071671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;818.132202;476.399231;34.133533;936.287048;526.822693;82.580605;1095.573486;757.783508;459.088959;893.774109;441.932800;39.032330;1029.443359;714.747803;254.741211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;819.717285;477.086365;35.932632;936.408508;529.228760;84.508522;1097.626709;758.523621;459.008453;893.787231;443.771484;41.965439;1031.634033;717.038147;254.500595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;821.641968;477.568817;38.065369;936.880371;531.265930;86.186348;1098.762451;759.224792;459.075165;893.524597;445.499969;44.722527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;823.947632;478.155579;39.446281;937.391357;533.546814;88.374252;1100.997192;760.188538;458.882965;893.633362;447.238464;47.735298;;;;1035.805908;721.559143;254.864426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
