;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
16;897.602478;820.385742;65.969093;763.338745;811.553040;33.385250;1101.277588;901.006165;453.200073;1068.646362;934.578918;243.638977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;897.679688;820.360291;66.091011;763.338196;811.482666;33.394466;1101.286621;901.039612;453.266876;1068.614624;934.564941;243.651306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;897.541809;820.403809;65.952675;763.342346;811.550537;33.394661;1101.343018;900.999207;453.325745;1068.570313;934.537048;243.656998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;897.521790;820.398132;65.967552;763.326355;811.483521;33.376213;1101.350464;900.945801;453.323181;1068.530151;934.430298;243.691223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;897.478577;820.485352;65.951965;763.325317;811.550049;33.395702;1101.369141;900.874512;453.325256;1068.533813;934.312744;243.680435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;897.466553;820.520691;65.986938;763.305786;811.573608;33.414833;1101.358032;900.835938;453.397034;1068.501587;934.268372;243.717651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;897.530090;820.523071;66.022392;763.315186;811.565369;33.395348;1101.332886;900.720703;453.481384;1068.382080;933.953430;243.907639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;897.516113;820.492249;66.001930;763.299683;811.577881;33.448883;1101.295288;900.649902;453.485382;1068.313110;933.906189;244.056778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;897.506287;820.484070;65.994675;763.292664;811.568848;33.434971;1101.289917;900.554260;453.559143;1068.273071;933.807434;244.069321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;897.439758;820.539917;66.062157;763.298889;811.566162;33.419662;1101.247070;900.530884;453.640015;1068.201660;933.722168;244.064560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;897.440063;820.521301;66.030022;763.303223;811.567017;33.414932;1101.077759;900.509277;453.732147;1067.641846;933.957275;244.590363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;897.444214;820.424561;65.993317;763.321777;811.568176;33.404190;1100.911133;900.497742;453.798920;1066.831787;933.476868;245.519608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;897.451172;820.437134;66.040474;763.300903;811.579285;33.450897;1100.760254;900.386292;453.931854;1066.383545;933.313110;245.943420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;897.576477;820.518982;65.909355;763.292419;811.568909;33.434361;1100.717651;900.375366;454.059753;1066.827393;933.578613;245.587616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;897.636047;820.516113;65.865021;763.298828;811.566040;33.419189;1100.512451;900.396179;454.241852;1066.460449;933.042358;245.788406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;897.516541;820.439819;65.940269;763.260803;811.467712;33.437859;1099.925171;900.099548;454.523071;1066.101074;932.982056;246.084808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;897.605225;820.417114;65.956032;763.247009;811.526245;33.457390;1099.683594;899.989990;454.582733;1065.973755;933.018494;246.207550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
