Trial30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:12:29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;445.344238;708.545166;114.171448;548.451477;619.957642;97.809654;205.832458;731.016174;255.415207;146.530487;820.270081;479.733734;544.715759;705.469543;76.999367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;443.578125;708.264465;119.240913;547.669495;619.825684;104.661079;202.257202;732.486572;255.812943;145.695206;821.291077;480.133026;544.068298;704.084839;83.217255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;442.452454;708.169678;124.460648;546.216675;619.982788;112.501968;198.550522;733.839844;256.102814;144.743286;822.445251;480.284088;542.984009;702.532227;89.650444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;440.814453;708.050110;128.866547;544.761780;619.867676;119.714439;194.893463;735.501770;256.502197;144.001083;823.616272;480.395844;541.562439;700.929749;95.819687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;543.089111;619.710388;126.769173;191.365448;737.232544;256.805328;143.228745;824.796204;480.146271;540.335815;699.418762;101.796921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;;;541.067810;619.377563;134.257889;187.803574;738.899536;257.177673;142.202484;826.166748;480.720703;538.503662;698.075989;108.472885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;;;538.910400;618.959839;141.401291;184.233597;740.511169;257.710968;140.803452;827.587952;481.800812;536.552734;696.375427;114.829475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;;;536.501160;618.281067;148.309875;180.377670;742.084595;258.830719;139.749191;829.098877;482.145111;534.586243;694.732056;120.775055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;533.861755;617.353577;154.672562;176.887024;744.062378;259.092102;138.701004;830.477783;482.416229;532.203430;692.978882;126.245766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;530.776428;616.209961;161.357529;173.512787;746.093201;259.445313;137.702179;831.893799;482.516846;529.779053;690.906555;131.884842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;527.690857;614.890686;167.398483;169.705734;747.761658;260.899353;136.617905;833.497742;482.848816;527.366089;688.833008;137.106705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;524.431152;613.390320;172.765671;166.389297;750.027771;261.321991;135.450012;834.810242;483.347107;524.585083;686.698730;141.449417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;520.689819;611.537476;178.169449;163.262497;751.859802;261.386658;134.207367;836.451660;484.199951;521.961792;684.224915;146.175644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;;;517.089844;609.851807;183.656891;159.680634;753.763611;262.267731;132.620071;837.861511;485.182861;519.946411;682.246948;151.158569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;;;513.419312;607.898926;188.064484;156.090179;755.773560;263.243958;131.482269;839.451294;485.737579;516.668762;679.891174;154.214447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;509.295807;605.947937;192.404648;153.051010;757.602600;263.349121;130.535568;840.889282;486.072449;513.016357;677.340942;157.076385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;;;505.544403;603.918396;195.974686;149.399551;759.708618;264.535889;129.579620;842.398560;486.599548;510.233551;674.760498;159.856262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;;;501.725861;601.834717;199.442093;145.897095;761.526428;265.623352;128.326096;843.860962;487.234375;507.905548;672.291504;162.610992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;497.545624;599.514038;202.018768;142.570663;763.489258;266.174438;127.174141;845.140869;487.877838;504.343018;670.076233;164.518860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;;;493.356598;597.085999;204.260147;139.131943;765.372620;267.233154;126.250610;846.709106;488.345490;500.991943;667.454407;166.104797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;488.786713;594.567993;205.914154;135.927582;767.114136;267.867798;125.362213;847.989258;488.696198;497.471497;664.826782;167.189789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;484.607635;591.792908;206.997711;133.169006;769.298096;267.830322;124.421585;849.367371;489.218567;494.326721;662.031555;168.605774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;;;480.225555;588.981018;207.641968;130.035980;770.804749;268.758057;123.544350;850.544922;489.683807;490.123474;659.537109;169.082565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;;;475.624756;586.384033;207.877869;126.966896;772.690247;270.118896;122.656075;851.732422;490.396942;486.141785;657.435547;169.315063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
