Grasp117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:05:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;
19;887.290100;660.302734;92.756645;927.068481;756.654297;110.158089;795.875183;735.790894;123.943382;1190.181030;877.872742;398.421448;1125.730713;906.924927;244.698700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;886.343018;657.907532;94.987320;926.062927;754.623047;110.610352;794.342407;734.559326;125.420013;1189.734009;877.666321;398.262512;1123.850098;905.418884;244.275650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;885.646240;656.102356;96.246895;924.638000;752.966919;111.572456;792.532532;733.060791;126.820755;1189.093506;877.484863;398.172821;1122.785156;904.187805;243.473068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;884.276184;654.382263;97.641777;923.054260;751.467041;112.149521;791.468750;732.032410;127.350533;1188.249146;877.424866;398.058075;1122.029419;903.603699;242.550583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;882.805847;652.575745;99.199165;921.908569;749.739502;113.001923;789.843140;730.939819;128.146103;1187.359131;876.942200;397.838287;1120.095703;903.092957;242.299042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;881.229004;650.879883;100.752838;920.150085;748.098328;113.513817;788.688965;729.392700;129.663025;1185.234985;876.756531;396.343964;1118.194580;901.632935;242.451004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;879.037415;649.527893;101.959099;918.277466;746.683716;114.211296;787.273132;728.570496;131.020782;1183.623779;876.578247;395.348602;1117.277466;900.742798;241.862549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;878.167297;647.927734;103.472084;916.631836;745.200256;114.654495;785.287292;727.266113;131.799698;1182.088745;876.787170;394.443970;1115.794678;899.752380;240.979965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;877.052368;646.279663;105.114250;915.179260;743.879578;115.074875;784.067932;726.312683;131.992126;1181.032471;876.293335;393.919952;1114.226807;898.132935;240.641113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;875.610596;644.640015;105.871323;913.749207;742.673218;115.562469;782.994751;725.247437;132.399994;1180.335815;876.148376;393.490753;1113.497070;897.603760;239.960663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;874.129517;643.196350;106.827095;912.085022;741.355530;115.898003;781.269165;724.797546;133.307297;1179.483154;876.059631;393.154449;1112.169678;896.637573;239.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;872.934937;641.565918;107.793823;910.780945;740.066833;116.125198;779.642700;723.967896;134.036362;1178.433960;875.878906;392.855621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;871.437561;640.186951;108.546875;908.878784;738.695679;116.318565;778.257202;722.675354;134.179184;1177.275757;875.684753;392.565765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;869.883301;639.105286;109.381889;907.408020;737.452087;116.698380;776.554443;721.744751;134.080307;1176.093994;875.525635;392.212524;;;;1108.608765;893.229309;236.660202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;868.815247;637.852112;109.853088;906.362183;736.063477;116.866508;775.724854;720.808105;134.112213;1174.954956;875.266846;391.858215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;867.215881;636.572937;110.925400;905.065308;734.690430;117.214592;774.185120;719.545471;133.556595;1173.805176;875.116638;391.353088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;865.818359;635.193848;112.109177;903.519531;733.702942;117.575928;771.897827;718.801514;133.241425;1172.683716;874.888977;390.626038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;864.201721;633.993469;112.061913;901.347595;732.609192;117.801788;770.284241;718.244568;133.396576;1171.841187;874.598145;390.044891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;863.271179;632.952698;112.459145;899.737244;731.602539;117.779434;768.730408;717.271484;132.876892;1170.702515;874.459045;389.799652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;861.923279;631.814636;112.947998;898.965759;730.817871;117.885818;767.445251;716.039734;132.194672;1169.573975;874.280579;389.587708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;860.112305;630.725952;112.712715;897.467651;729.446228;117.648697;766.390625;714.791931;131.934311;1168.114502;874.029480;389.081696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;858.760803;629.686462;112.959091;896.375244;728.077148;117.252342;765.246643;713.850220;131.323669;1166.883911;873.840454;388.719269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;857.858276;628.794922;112.763275;895.447693;727.104858;117.022255;763.981140;712.862671;130.886490;1165.925659;873.565796;388.372559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;856.236206;627.730774;112.453110;894.235107;726.176941;117.096092;762.527283;711.660889;130.702103;1164.964478;873.282898;387.620941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;854.481445;626.901245;112.193886;892.923340;725.291321;116.915955;761.370056;710.845337;130.179459;1163.961060;873.072327;387.387390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;853.001709;626.291870;111.671257;891.827942;724.441833;116.372299;760.467468;709.639343;129.573486;1162.774414;872.952942;386.989441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;851.652893;625.566162;110.899124;890.188416;723.528198;116.292191;759.172058;708.255432;129.005310;1161.579956;872.735657;386.861877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;850.482056;624.328796;110.155052;889.213257;722.613953;116.139969;758.008789;707.301575;128.479080;1160.542725;872.466553;386.694763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;849.515747;623.226318;109.586052;888.343628;721.819458;115.622040;757.339478;706.108093;127.509193;1159.424683;872.261108;386.351837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;848.186340;622.461182;108.530678;887.493103;721.097534;115.041878;755.940857;704.813171;126.906685;1158.345581;871.956726;386.052032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;846.743713;621.972534;106.974571;886.474304;720.130676;114.154121;755.123962;703.732056;126.574112;1157.525635;871.667480;385.765320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;845.200378;621.554321;105.889877;885.704346;719.307068;113.677444;754.677612;701.996277;125.578072;1156.585449;871.531799;385.595795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;843.552795;620.995361;105.031487;885.000549;718.639709;113.202621;754.496887;700.411377;124.441734;1155.446533;871.500366;385.241608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;842.765259;619.896851;104.092476;884.376038;717.782227;112.611267;754.139038;698.779541;123.042137;1154.096802;871.359070;384.870087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;841.681641;619.624451;102.300133;883.421997;716.968445;112.069878;753.673523;697.246582;123.086876;1152.782349;871.106384;384.713257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;841.196716;619.120300;101.149040;882.468384;716.323486;111.735260;;;;1152.101929;870.918152;384.450684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;840.171570;618.782715;100.055794;881.897156;715.636230;111.283981;;;;1151.718018;870.816772;384.188110;;;;;;;752.952454;693.998108;121.238098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;838.649475;618.453247;98.827049;881.643921;714.921814;110.384094;;;;1150.813843;870.729797;383.848572;;;;;;;751.924316;692.834290;120.395508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;837.350830;618.200684;97.697739;881.305298;714.278564;109.611626;;;;1149.543091;870.605286;383.606018;;;;;;;751.915894;690.845642;119.266747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;836.133972;617.893127;95.746193;880.689087;713.708740;109.002930;;;;1148.436523;870.513611;383.619720;;;;;;;752.598267;688.402527;118.247803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;834.910034;618.099670;94.155045;880.268616;713.244629;108.264633;;;;1147.621948;870.413879;383.678253;;;;;;;752.970398;686.314697;117.694870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;833.454102;618.370850;92.421501;879.980835;712.800598;107.465324;;;;1146.875732;870.186523;383.623413;;;;;;;753.102783;684.160217;116.399246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;831.972229;618.667847;90.655441;879.712341;712.410645;106.816986;;;;1146.150757;870.064026;383.347687;;;;;;;754.075256;681.968445;115.387642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;830.993713;619.091125;88.995026;879.226074;711.750122;105.921318;;;;1145.270874;869.847168;382.880768;;;;;;;754.980957;679.420898;113.710442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;830.584656;618.641235;88.362228;878.880371;711.233948;105.124863;;;;1144.328979;869.645813;382.757294;;;;;;;756.268005;677.144775;112.144730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;830.215637;618.019958;87.109138;878.643433;710.906372;104.465630;;;;1143.549438;869.552612;382.680511;;;;;;;757.241394;675.457764;110.781723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;829.573486;617.917175;86.166763;878.633484;710.472900;103.922745;;;;1142.875488;869.423706;382.533051;;;;;;;757.413208;674.980835;109.835251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;829.121033;617.941101;85.619316;878.745728;710.075378;103.522911;;;;1142.064819;869.374878;382.515594;;;;;;;757.525024;674.915405;109.323433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;828.907654;618.035400;85.305855;878.777344;709.765198;103.262299;;;;1141.348022;869.206787;382.430847;;;;;;;757.701172;674.742615;109.221680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;828.439636;618.098572;85.134666;878.619446;709.652649;103.022560;;;;1140.462524;869.075867;382.196228;;;;;;;757.847412;674.539734;108.994591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;828.070862;618.134644;85.115044;878.451599;709.475891;102.948776;;;;1139.850708;868.992126;381.865845;;;;;;;757.758789;674.452393;108.637482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;827.724670;618.156982;85.208321;878.245911;709.315979;103.002724;;;;1139.313721;868.893127;381.514404;;;;;;;757.703064;674.352478;108.460281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;827.429382;618.103088;85.312180;877.990906;709.125732;103.103363;;;;1138.858887;868.826111;381.230957;;;;;;;757.680725;674.139221;108.376511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;826.786011;617.851563;85.883842;877.750000;708.935120;103.210953;;;;1138.362061;868.709229;381.119965;;;;;;;757.587524;674.022400;108.303055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;826.854858;617.874817;85.678413;877.722595;708.884216;103.258972;;;;1137.948853;868.760376;381.153564;;;;;;;757.504089;673.833252;108.232903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
