Grasp119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:08:27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;890.656006;808.629700;71.589813;1143.821899;896.704407;405.141296;2374.409912;276.251923;-132.848297;753.891052;803.937805;46.609249;1122.336060;927.792969;250.961258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;890.792053;808.624878;72.640060;1143.844482;896.541138;405.006531;;;;753.963501;804.340576;49.038292;1123.313354;927.617371;250.829453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;890.919617;808.847046;73.814941;1143.446899;896.598145;404.707703;;;;754.054443;805.097900;51.265594;1124.180420;927.725403;250.457626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;891.017700;809.381104;74.930336;1143.109253;896.587524;404.601440;;;;754.311218;805.224365;53.987095;1125.321777;927.525513;249.959854;2374.273926;276.148529;-132.939163;832.973389;734.636658;36.616173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;891.315125;809.716858;75.872040;1142.934204;896.535828;404.437500;;;;754.370056;805.330872;56.419212;1125.915161;927.475891;249.529938;;;;835.333618;733.341370;36.928963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;891.531433;809.523193;77.558350;1142.860840;896.493774;404.307892;;;;754.442810;805.047180;59.493660;1126.238403;927.486023;249.385269;;;;836.922852;731.857971;38.611195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;891.857910;809.610046;79.057182;1142.522705;896.510071;404.062927;;;;754.655701;804.691895;61.868790;1127.023560;927.513367;249.018265;;;;838.051331;730.639465;41.625778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;892.340454;809.852661;80.169136;1142.441040;896.375610;404.026520;;;;755.005554;803.891724;65.102257;1128.330322;927.461121;248.642487;;;;839.072083;729.405090;44.666946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;892.432312;809.612000;82.099609;1142.334106;896.366699;403.928650;;;;754.863403;803.142395;68.324760;1129.725586;927.089600;248.156754;;;;839.887695;728.184448;47.783604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;892.618042;809.466675;83.794159;1142.209717;896.330261;403.765381;;;;755.236572;802.533325;70.880569;1130.167969;927.023560;248.187088;;;;841.096436;726.722412;50.659237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;893.098999;809.037720;85.361549;1142.155518;896.316711;403.669586;;;;756.178711;801.045471;74.014137;1130.533081;927.045959;248.300659;;;;842.841370;725.218018;53.614708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;893.642151;808.555908;86.836800;1141.967773;896.252441;403.509399;;;;756.517090;799.645752;77.450027;1131.248901;926.918945;248.105881;;;;844.101624;723.535950;57.242924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;893.988342;807.873779;88.294640;1141.880859;896.263977;403.286743;;;;756.947754;798.254639;80.240532;1132.114502;926.624207;247.636139;;;;845.586426;721.466431;60.311050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;894.649902;806.927734;90.334122;1141.858398;896.262207;403.166656;;;;757.716125;796.608398;83.167900;1132.849854;926.311523;247.197678;;;;846.886597;720.096252;62.351116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;895.484070;806.090515;91.333969;1141.882690;896.222351;403.037354;;;;758.170532;794.355408;86.105606;1133.470337;926.031982;246.977097;;;;848.615417;718.184692;65.196793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;895.955933;805.196106;92.784698;1141.899414;896.159912;402.947479;;;;758.601318;792.453552;88.913162;1133.821655;925.979065;246.907318;;;;849.848511;716.691956;68.167450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;896.388184;804.044006;94.447037;1142.061890;896.050720;402.819702;;;;759.779114;790.098999;91.931061;1134.132813;925.763489;246.873230;;;;852.201233;714.258606;70.908089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;896.809326;802.568604;95.906799;1142.113037;895.998108;402.702454;;;;760.301025;787.923340;94.211769;1134.303589;925.731628;246.637939;;;;853.874939;712.477661;73.476425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;897.313538;801.365723;97.661469;1142.145020;895.876160;402.480560;;;;761.083557;785.439514;96.298058;1134.478638;925.575317;246.410294;;;;856.197632;710.163208;76.481087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;897.849670;799.892944;99.164154;1142.146851;895.841553;402.047302;;;;761.744690;783.002563;99.396332;1134.885010;925.404175;246.006470;;;;857.427612;708.306824;79.279129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;898.019287;798.179260;100.655159;1142.138306;895.751282;401.868256;;;;761.728760;780.991943;101.225922;1135.221802;925.201233;245.573776;;;;859.367737;705.647034;82.102234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;898.353760;796.618042;102.066345;1142.181274;895.592834;401.726318;;;;762.758484;777.773376;103.440681;1135.508057;924.927673;245.019867;;;;860.497009;703.537598;84.673088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;899.176392;794.913086;103.107330;1142.170410;895.475037;401.598328;;;;762.856812;775.538818;106.206062;1135.447510;924.780762;244.543335;;;;862.196106;701.240112;87.173546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;899.108215;793.125183;104.246735;1142.015137;895.421631;401.349335;;;;763.728271;772.756348;108.072739;1135.483276;924.513306;244.416641;;;;864.273438;698.837158;89.683884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;899.243591;791.351379;105.442032;1142.007202;895.309509;401.261932;;;;764.184326;769.780823;109.668388;1135.461182;924.178345;244.179291;;;;866.067139;696.618958;92.405487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;898.936218;789.332581;107.392052;1141.893921;895.148804;401.084625;;;;764.829773;767.216675;111.626877;1135.370728;923.865784;243.974991;;;;867.575623;694.074951;93.842567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;899.075439;787.499084;108.099045;1141.602295;894.895874;400.807098;;;;765.683289;764.265991;112.816483;1135.347046;923.393066;243.740921;;;;868.779480;691.933838;95.684334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;899.668030;785.613342;108.638016;1141.297852;894.691833;400.465790;;;;765.731384;761.535034;114.527512;1134.785034;922.922241;242.949677;;;;870.495361;689.792664;97.760765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;900.188110;783.743347;109.764458;1141.052002;894.444580;400.130463;;;;;;;1134.299927;922.333618;242.281448;;;;871.351074;687.992004;99.763680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;899.791504;781.899231;110.997482;1140.797363;894.212891;399.977844;;;;;;;1134.118652;921.844666;241.925674;;;;872.732361;685.381165;101.301773;765.881958;756.345703;117.539597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;899.668396;779.887024;111.294769;1140.295532;894.022766;399.500519;;;;;;;1133.853027;921.370483;241.481445;;;;873.377014;683.528931;102.794724;766.150085;753.924561;118.042053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;899.600220;777.475586;112.015282;1139.785645;893.837585;399.103180;;;;;;;1133.527344;920.726685;241.096634;;;;874.231201;681.336243;104.516518;766.695190;751.008118;119.415199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;899.712891;775.706421;112.260887;1139.342163;893.608704;398.717926;;;;;;;1132.976807;920.231445;240.718414;;;;874.547424;679.293518;105.749100;766.521851;748.574829;120.210518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;899.479675;774.130737;112.946480;1138.864502;893.371338;398.468719;;;;;;;1132.283691;919.596802;240.058807;;;;875.356934;677.083252;107.434891;766.025330;746.568726;121.094467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;899.004395;772.327942;113.355278;1138.163940;893.159973;398.071472;;;;;;;1131.498657;918.914124;239.481766;;;;876.201233;674.517090;108.557762;765.831970;744.265869;122.377563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
