Grasp31;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:56:15;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;878.454529;498.960175;62.851067;960.803650;697.293640;252.558899;748.248291;453.775574;32.456947;841.186768;412.843353;31.415266;1003.109680;728.903259;430.308502;;;;;;;;;
2;878.461853;499.048340;62.832542;960.847168;697.342102;252.419586;748.465759;453.992096;31.779554;841.229858;412.807343;31.419926;1002.683044;728.982788;430.282104;;;;;;;;;
3;878.434204;498.959869;62.838749;960.588135;697.277527;252.471237;748.554260;453.771545;32.340534;841.166077;412.792725;31.409744;1002.602905;729.001343;430.249817;;;;;;;;;
4;878.403320;498.928375;62.887150;960.779358;697.241882;252.502014;748.286194;453.890228;32.039265;841.170105;412.776642;31.441572;1002.654907;728.981018;430.305725;;;;;;;;;
5;878.436951;498.907593;62.948727;960.754578;697.293762;252.483185;748.387817;453.708221;32.590145;841.177063;412.769623;31.452898;1002.698120;728.971008;430.333252;;;;;;;;;
6;878.404724;498.927338;62.907047;960.566528;697.341797;252.547867;748.212769;453.651733;32.496422;841.184082;412.823853;31.429098;1002.911987;728.911743;430.333893;;;;;;;;;
7;878.422363;498.958923;62.892559;960.501160;697.346680;252.540390;748.305725;453.827057;31.983425;841.179443;412.789856;31.434214;1002.995239;728.934387;430.288910;;;;;;;;;
8;878.446167;498.919189;62.937500;960.617371;697.297607;252.496826;748.485840;453.654205;32.432133;841.198364;412.746216;31.478195;1002.973083;728.949524;430.256042;;;;;;;;;
9;878.433899;498.914001;62.981438;960.578247;697.210938;252.480667;748.331726;453.559937;32.718578;841.162720;412.732788;31.395874;1002.638306;729.000793;430.291321;;;;;;;;;
10;878.381836;498.885803;62.966808;960.711060;697.371094;252.518951;748.346069;453.636841;32.718048;841.171631;412.763275;31.430851;1002.852234;728.920227;430.355103;;;;;;;;;
11;878.431702;498.902924;62.952938;960.719055;697.344849;252.506897;748.233215;453.817535;32.054668;841.153137;412.793396;31.417933;1002.621826;729.113770;430.255768;;;;;;;;;
12;878.434692;498.944702;62.872204;960.376648;697.281677;252.494308;748.286377;453.737915;32.195618;841.171326;412.778229;31.439354;1002.545410;728.999146;430.293671;;;;;;;;;
13;878.434509;498.955109;62.853031;960.624512;697.266174;252.536865;748.404724;453.551239;32.697701;841.260315;412.740967;31.443565;1002.556519;729.085815;430.279053;;;;;;;;;
14;878.418579;498.931152;62.855633;960.549011;697.218140;252.444504;748.322510;453.517029;32.859524;841.197083;412.753784;31.448774;1002.552551;729.079407;430.237122;;;;;;;;;
15;878.428467;498.944794;62.864418;960.376343;697.238281;252.543091;748.300903;453.540802;32.755348;841.200989;412.755798;31.371679;1002.789368;729.064392;430.216705;;;;;;;;;
16;878.451904;498.959656;62.854591;960.695923;697.256348;252.478897;748.342407;453.555481;32.763321;841.214233;412.724579;31.322502;1002.665527;729.091309;430.164063;;;;;;;;;
17;878.375549;499.063507;62.619225;960.510010;697.251099;252.452454;748.357056;453.559235;32.691013;841.217773;412.753723;31.342543;1002.574219;729.073059;430.211548;;;;;;;;;
18;878.441833;498.962463;62.758709;960.376404;697.231262;252.482925;748.377319;453.534973;32.747879;841.228333;412.715515;31.395407;1002.894775;729.007568;430.243042;;;;;;;;;
19;878.464294;498.883575;62.899105;960.280334;697.354004;252.531555;748.318481;453.551453;32.678715;841.266174;412.725128;31.445795;1002.700806;729.064514;430.195892;;;;;;;;;
20;878.452209;498.938599;62.877552;960.251831;697.394348;252.550980;748.339600;453.547150;32.638084;841.228149;412.727264;31.458900;1002.562683;729.126221;430.203552;;;;;;;;;
21;878.331665;499.081635;62.579311;960.631714;697.387817;252.479767;748.280212;453.788696;32.015877;841.222351;412.787750;31.435114;1002.627563;729.056213;430.233887;;;;;;;;;
22;878.325928;499.120972;62.503479;960.502258;697.351318;252.448883;748.364502;453.876495;31.776796;841.249634;412.748749;31.359127;1002.562012;729.055786;430.253204;;;;;;;;;
23;878.333435;499.110291;62.520992;960.399902;697.325317;252.411194;748.411743;453.760254;32.099369;841.284546;412.804321;31.391243;1002.594971;729.037109;430.271484;;;;;;;;;
24;878.341797;499.084412;62.572784;960.619263;697.402466;252.472473;748.305420;453.658051;32.298664;841.204163;412.847687;31.411915;1002.636475;729.040344;430.238586;;;;;;;;;
25;878.392334;498.981720;62.792721;960.394165;697.398560;252.489685;748.264709;453.560516;32.702225;841.162415;412.837891;31.347490;1002.635437;729.073059;430.214661;;;;;;;;;
26;878.326111;499.064697;62.603291;960.386047;697.344666;252.426666;748.368713;453.547424;32.709175;841.168274;412.765991;31.315691;1002.622803;729.042236;430.251495;;;;;;;;;
27;878.312927;499.102722;62.528339;960.558777;697.300171;252.424362;748.287292;453.555573;32.722881;841.186951;412.821991;31.403074;1002.506714;729.111389;430.226257;;;;;;;;;
28;878.330017;499.107422;62.525734;960.609924;697.409485;252.401764;748.328491;453.534607;32.752148;841.179016;412.784302;31.448399;1002.615234;729.045471;430.209229;;;;;;;;;
29;878.333069;499.054565;62.534874;960.453247;697.352417;252.383545;748.236816;453.671844;32.246819;841.172791;412.757263;31.458668;1002.817505;729.036987;430.201691;;;;;;;;;
30;878.330994;499.040955;62.540268;960.403931;697.316162;252.403152;748.377808;453.561462;32.548508;841.172729;412.755554;31.455643;1002.845459;729.044434;430.154602;;;;;;;;;
31;878.305847;499.074860;62.586044;960.382874;697.327393;252.418060;748.310242;453.520905;32.659760;841.159119;412.747375;31.381590;1002.849609;729.044861;430.178864;;;;;;;;;
32;878.350586;498.987488;62.805031;960.297913;697.352722;252.453262;748.265442;453.409760;32.691883;841.194824;412.726501;31.360472;1002.540283;729.125122;430.153351;;;;;;;;;
33;878.350952;498.955933;62.856728;960.184082;697.369019;252.418259;748.303711;453.380096;32.716228;841.268372;412.738007;31.425495;1002.760315;729.073608;430.181061;;;;;;;;;
34;878.297607;498.996735;62.942024;960.453613;697.430420;252.456238;748.289856;453.404633;32.651157;841.233459;412.731079;31.455912;1002.645874;729.020691;430.213562;;;;;;;;;
