Grasp125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:07:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
31;778.023376;541.759216;202.423096;908.246216;591.861511;202.621994;848.091125;509.905182;171.239670;;;;1134.600342;793.443298;419.648956;;;;;;;;;;;;;;;;;;
32;775.626892;546.662842;200.279434;906.174377;594.944092;202.667786;846.085632;513.988098;169.600647;;;;1135.138550;793.706482;419.986572;;;;;;;;;;;;;;;;;;
33;773.214050;551.665405;197.870712;904.222046;599.487854;201.638123;843.260803;517.371033;169.193008;;;;1135.851929;794.059387;420.275269;;;;;;;;;;;;;;;;;;
34;770.903137;556.402771;195.513641;902.877014;601.416992;201.422348;840.532837;520.954041;168.080887;;;;1136.544312;794.415466;420.650177;;;;1076.106567;809.519287;240.179337;;;;;;;;;;;;
35;768.705505;561.185608;192.782715;901.181030;603.880737;200.823639;838.198914;524.624023;166.256012;;;;1137.131470;794.647461;421.252625;;;;1077.078979;810.627258;240.305664;;;;;;;;;;;;
36;766.736633;565.931641;189.822922;899.578613;607.003174;200.004593;836.143494;528.321045;164.649246;;;;1137.553711;794.781982;421.482880;;;;1077.875366;811.606201;240.425064;;;;;;;;;;;;
37;764.845642;570.630127;187.303223;897.919250;609.945740;199.390457;834.045715;532.131836;163.022461;;;;1137.838745;795.023071;421.633484;;;;1078.181030;812.620422;240.757065;;;;;;;;;;;;
38;762.985474;575.143982;185.094269;896.300354;612.782166;198.087097;831.876953;535.815491;161.372620;;;;1138.137451;795.265015;421.773102;;;;1078.174927;813.727844;241.284088;;;;;;;;;;;;
39;761.329712;579.402039;182.624878;894.807495;615.315247;197.160019;829.918762;539.307800;159.726669;;;;1138.440796;795.554016;421.897614;;;;1078.097656;814.732239;241.783463;;;;;;;;;;;;
40;759.759644;583.455017;180.129257;892.885071;618.101868;196.171982;829.034119;542.330261;156.987000;;;;1138.689087;795.891541;422.000488;;;;1078.150635;815.387451;242.120224;;;;;;;;;;;;
