;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;;*43;;;*44;;;*45;;;*46;;;*47;;;*48;;;*49;;;*50;;;*51;;;*52;;;*53;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;747.400085;331.058289;26.165064;828.641479;324.871887;27.166317;960.957214;665.890442;296.838348;851.768372;415.354156;58.142212;931.361084;631.256958;209.896698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;747.209290;331.189758;26.452267;828.628357;324.909332;27.201771;960.978333;665.782471;296.999390;851.682434;415.513428;58.207085;931.126343;631.263794;210.216537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;747.092285;331.175568;26.540344;828.590454;324.822784;27.251036;961.014282;665.657837;297.237000;851.527344;415.542206;58.308998;930.853516;631.298889;210.647873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;747.067017;331.273193;26.602339;828.603027;324.877747;27.296848;961.041931;665.482422;297.574829;851.499268;415.505859;58.047493;930.574646;631.421631;211.119614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;747.018738;331.466125;26.932608;828.585205;324.856934;27.337568;961.037231;665.348999;297.963470;851.325806;415.839142;58.490215;930.341614;631.547485;211.439941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;747.042175;331.707367;26.981813;828.654480;324.810059;27.453106;961.072388;665.189270;298.243683;851.067383;416.043915;58.779060;930.304810;631.667664;211.626022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;747.155518;331.812012;27.130440;828.713928;324.802368;27.597082;961.124878;665.181702;298.482605;850.964844;416.288452;58.974979;930.331360;631.807373;211.702591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;747.257507;331.924591;27.279423;828.811279;324.822754;27.667973;961.274841;665.175842;298.691803;850.702637;416.593140;59.245537;930.331116;632.134338;211.770050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;747.493042;332.165802;27.674002;828.997742;324.793793;27.894371;961.379578;665.270996;298.825134;850.570374;416.903320;59.691006;930.396423;632.592651;211.846786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;747.760010;332.395660;28.133444;829.348083;324.817139;28.188433;961.652710;665.444702;298.909332;850.352661;417.189026;60.400433;930.324646;633.290955;211.837616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;747.981934;332.644440;28.775024;829.935303;324.882751;28.516108;962.052124;665.630615;298.957153;850.287170;417.421600;60.668804;930.354736;634.086121;211.884018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;748.115906;332.946960;29.509819;830.236450;325.071991;28.893391;962.450928;665.920532;298.890411;850.390381;417.750977;60.828762;931.023254;634.709839;211.559296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;747.982300;333.511017;30.529610;830.628174;325.321564;29.367592;962.951355;666.361145;298.555939;850.725098;418.363037;61.411507;930.980408;635.474182;211.361801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;748.254883;333.902924;32.395535;830.873962;325.727844;29.858965;963.586304;666.837769;298.251526;850.823303;419.050781;61.847893;931.025574;636.463196;211.343353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;748.699280;334.444641;33.686268;831.235840;326.154510;30.279530;964.214233;667.344666;297.914612;850.979492;419.867523;62.244976;931.553223;637.887695;211.085678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;749.303467;335.001678;34.258148;831.319763;326.713196;31.478634;964.648438;668.077209;297.940491;851.119019;420.647705;62.998627;932.291077;639.072571;210.635498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;749.762390;335.795990;35.568176;831.806152;327.472351;32.929630;965.071045;669.165283;297.757996;851.500427;421.298126;63.841091;932.943787;640.312134;210.114624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;750.176636;336.431702;37.333805;832.277100;327.949890;34.182484;965.486633;670.136108;297.397888;851.750183;421.872864;64.782425;933.524048;641.953552;209.717407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;750.992126;336.811340;38.384949;832.906433;328.373962;35.224403;966.212646;671.199707;297.084717;852.287354;422.788910;65.504631;934.313904;643.418030;208.914108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;752.096924;337.508118;40.442215;834.163208;329.187042;36.611774;966.956604;672.859192;297.003784;853.268311;424.009705;66.741135;935.248840;645.321350;208.236435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;753.272217;338.293671;42.161350;835.141846;330.344818;38.811863;967.670532;674.217224;297.273132;854.034912;425.047699;67.927734;935.743408;646.813110;208.084183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;754.583679;339.081757;44.116024;836.369446;330.761261;40.177029;968.625793;675.996216;297.596069;854.983276;425.966797;69.492355;935.864807;648.936584;208.204224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;755.777832;339.968201;45.586250;837.588074;331.386292;41.920952;970.190002;677.658936;297.541992;855.638367;427.149017;71.038063;936.967224;650.880188;207.645050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;757.077942;340.992676;47.654270;839.160522;332.521881;44.165867;971.559631;679.610779;297.227051;856.892883;428.607147;72.711586;938.271790;653.376892;207.544952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;758.796021;341.770142;49.991528;840.316711;333.468292;46.298416;973.162720;681.493225;296.773621;858.169006;429.642578;74.200539;939.669922;655.791931;206.788742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;760.527771;343.040039;51.922684;842.088013;334.238647;48.910942;974.388367;684.090210;296.565338;859.439453;431.019867;76.298088;940.627258;658.045532;206.598022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;762.511047;344.076843;54.318665;844.089111;335.266998;51.573555;975.957886;686.483459;296.658539;861.064697;432.430115;78.224876;941.765991;660.845703;206.718704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;764.471375;345.167206;57.207344;845.691345;336.424469;55.006954;977.522888;688.659790;296.869537;862.182068;434.167419;81.167099;943.003723;663.610291;206.573990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;766.648193;346.492645;59.423901;847.983032;337.437561;57.395885;979.609192;691.400879;297.007843;864.206970;435.660095;83.733627;944.703613;666.404785;206.790085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;769.520142;347.459686;62.607895;850.154724;338.677917;60.626537;981.283081;694.072815;296.962006;865.622131;437.812500;86.165413;945.875793;669.327637;206.941513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;772.001587;348.838470;64.985161;852.440247;340.020660;63.520035;982.788452;696.625305;297.035614;867.059265;439.343597;88.525360;947.092590;672.604553;206.321808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;775.110107;350.155060;68.078819;855.036804;341.414612;67.100906;985.202576;699.352356;297.288239;868.976257;441.638550;91.222099;949.076782;675.966309;206.406174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;778.256714;351.339478;71.283424;857.870911;343.162231;70.786362;986.804077;702.578613;297.159241;870.685730;443.453064;94.610901;951.094727;679.597961;206.725601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;781.669189;353.145020;74.028152;860.228760;344.841461;74.713448;989.088013;705.333435;297.410828;872.555725;445.999329;97.508896;953.207703;683.051086;206.141434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;785.537415;354.925232;76.825714;862.847107;346.650787;78.618385;991.952759;708.127869;296.980225;874.704102;448.292389;101.052353;954.991028;686.693359;206.181763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;789.338501;356.700775;79.995682;865.547180;348.826172;82.962288;994.576660;711.006714;296.883789;876.670410;450.804047;104.183968;956.958984;690.342773;206.262589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;793.650757;359.018616;83.776726;868.015564;350.908142;87.383369;996.553772;713.985596;297.231506;879.229309;453.461792;107.194733;958.819031;694.490417;207.201294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;798.224426;361.171173;86.607162;870.290222;353.789032;92.008415;998.981567;717.005737;297.769836;881.587524;456.438416;109.734573;960.963379;698.205444;206.760010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;803.270203;363.578278;89.921570;872.580750;356.343719;96.572929;1001.051392;720.341858;298.071106;883.716431;459.493042;113.459625;963.569824;701.807251;206.672470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;808.155579;366.371185;93.312317;874.827881;359.183624;101.988052;1004.046387;722.996521;298.122223;886.195251;462.800171;116.878006;965.975586;705.765076;206.817139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;813.544983;369.229156;96.825150;876.723267;362.286926;107.396347;1006.591187;725.582947;298.126038;889.125732;466.100708;120.099701;968.419678;709.837280;206.936478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;818.770752;372.546692;100.964066;878.369690;366.019867;112.989006;1009.153748;728.380798;298.677002;891.593811;469.768829;124.112396;971.050415;714.050964;207.046341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
