;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;811.261902;504.895233;37.728161;935.264099;547.478577;77.954285;1129.315430;724.808289;357.271454;911.336975;455.353912;39.302582;1055.010742;713.625427;221.749268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;811.696411;505.406769;40.128292;935.890747;548.369324;78.752274;1129.604980;724.866638;357.368774;911.618774;456.115723;39.960388;1056.438110;714.681335;221.837738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;812.181824;506.087097;42.478210;936.046448;549.283630;80.264236;1129.803955;725.136292;357.446350;911.825195;456.699860;41.201118;1057.733398;715.431396;222.031540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;812.650574;506.611725;44.847149;936.378418;550.026794;81.147461;1130.501343;725.719604;357.204468;912.178894;457.355591;43.241703;1058.794922;716.095215;222.066513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;813.255493;507.116150;47.535320;937.457947;551.039612;81.796265;1131.100342;725.803894;357.551941;912.090454;458.054565;45.666122;1059.937012;717.215942;222.033508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;813.891113;507.936066;50.137718;938.594177;552.268188;84.172112;1132.591675;725.834290;357.278534;912.196777;458.769135;48.029568;1061.184448;718.531433;222.456940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;815.047607;508.717896;52.403248;939.659729;553.017029;85.968315;1133.833618;726.110291;357.412445;912.454712;459.526703;50.840942;1063.181641;719.374573;222.471176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;816.300720;509.974335;55.674244;940.849548;554.216675;87.238541;1134.444824;727.324768;356.952850;913.304016;460.054535;53.327988;1064.683716;720.961975;222.031113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;817.763062;510.694031;58.905624;941.964478;555.749268;89.550201;1135.245239;727.956116;356.783813;913.587158;461.058960;56.817421;1066.603149;722.518433;222.025009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;818.905090;511.456543;61.754753;943.491333;556.554932;91.336945;1136.334351;728.201965;356.660797;915.091675;462.127075;58.891972;1068.726196;724.070984;222.383301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
