;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;818.655823;506.860321;39.044918;999.617065;778.805298;267.554474;920.859497;582.031616;85.133110;877.205078;501.873810;38.306332;1088.229126;838.301697;418.191071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;822.775146;507.194427;40.324097;1001.731750;780.651123;267.113831;923.168396;583.705994;87.171242;879.877563;502.376770;39.950031;1090.050171;839.260071;418.542969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;827.545166;507.698761;41.145405;1003.604919;783.890625;266.886841;925.478271;585.416687;88.559959;882.793213;503.317841;42.060062;1092.154175;840.031982;419.168823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;832.624512;508.309021;42.131439;1005.486755;786.628784;267.288879;927.988708;587.498047;89.759064;886.190857;504.410828;44.891808;1093.977173;841.196167;419.171814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;837.528748;508.726166;43.593716;1007.492920;789.181702;267.011536;930.685242;589.058899;91.812271;889.191589;505.356018;47.278355;1096.049927;843.526611;419.882751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;842.997559;509.477264;44.869656;1010.406433;791.956421;266.717102;933.446777;591.387390;93.487686;892.658081;506.683777;49.673939;1098.084961;845.282593;420.547333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;848.988953;510.828369;46.000626;1012.873474;795.123840;266.956635;936.378662;593.721130;95.285324;896.189758;508.540924;52.198254;1100.175537;846.166382;421.054291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;855.118225;512.146851;46.821842;1014.867981;798.319824;266.599365;939.709045;595.606750;97.490387;899.174988;509.649536;55.181293;1102.029541;847.617981;422.289337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;861.152649;514.039978;47.411247;1017.198975;801.273926;267.144684;942.239319;597.989685;99.378624;902.460266;511.523132;57.977314;1103.734009;848.598633;422.917908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;867.380005;516.490417;48.638367;1019.766479;804.378845;267.125671;945.173950;600.311401;101.097145;905.830444;513.210022;60.872978;1106.030396;850.331909;423.646149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
