Trial33;;;;;;;;;;;;;;;;;;
Date:;2025/04/01;;;;;;;;;;;;;;;;;
Time:;14:13:17;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
32;288.990021;509.867249;155.488113;90.340050;852.516479;458.334747;;;;262.048126;630.536438;150.247467;352.283325;576.326965;163.522018;81.912552;793.848328;228.782974
33;288.020782;505.016541;158.432846;90.722351;851.093872;458.118988;;;;261.487122;625.890503;152.725357;351.388489;571.368103;165.647385;82.578438;790.819702;229.387543
34;287.262146;500.073761;160.932602;91.242699;849.446899;457.943451;;;;261.061981;621.002869;155.010025;351.032776;566.179626;169.010513;83.097397;787.665222;229.863510
35;286.592377;495.152679;163.626343;91.585968;847.890015;457.878784;;;;260.892334;616.038696;157.061996;350.147644;561.259521;171.990356;83.413383;784.305969;230.419464
36;285.902191;489.835175;166.421295;91.898277;846.378113;457.741669;;;;260.662018;610.871460;158.923752;349.563843;555.908264;174.708679;83.917145;780.769531;231.170685
37;285.079407;484.687408;168.731262;92.258553;844.586975;457.676300;;;;260.376648;605.709534;161.100311;348.962341;550.379211;177.128769;84.593758;777.260620;231.488785
38;284.342499;479.325745;170.997574;92.816040;843.045166;457.442383;;;;260.252502;600.482300;162.898148;348.678894;544.685669;180.361923;85.241409;773.576965;231.902298
39;283.517883;473.881470;173.388519;93.373863;841.250671;457.243652;;;;259.935822;595.184937;165.028381;347.974152;539.223572;182.729538;85.997650;769.719177;232.361099
40;282.858948;468.589264;175.730103;93.875740;839.473572;457.001617;;;;259.738495;589.892456;166.710983;347.383087;533.512268;184.963745;86.698631;765.985779;232.990570
41;281.983551;463.410004;177.913651;94.433899;837.608215;456.413818;;;;259.841217;584.658142;168.355560;347.105194;527.829407;187.726364;87.592049;762.072571;233.224030
42;281.100464;457.901398;180.173660;94.893967;835.674011;456.382721;;;;259.771332;579.518799;170.419205;346.572235;522.046631;189.329697;88.206131;757.851196;234.230362
43;280.436432;452.447723;182.500107;95.382362;833.682312;456.138550;;;;259.687683;574.278870;172.330963;346.450531;516.350769;191.719742;89.111992;753.901001;234.415039
44;279.793793;447.169830;184.374863;96.093201;831.805664;455.885376;;;;259.828278;568.846497;173.794327;345.775299;510.636536;193.359848;90.099442;749.895386;235.010468
45;279.278168;441.876831;186.031189;96.673752;829.869202;455.330750;;;;259.996857;563.567993;174.656372;345.813904;504.841248;195.218842;90.770874;745.633484;235.543518
46;278.850098;436.280609;187.520447;97.616280;827.597351;454.554565;;;;260.192932;558.299255;176.170563;345.660156;499.442474;197.109650;91.835808;741.582642;236.192047
47;278.470734;431.308014;189.320389;98.234108;825.336365;454.536713;;;;260.189606;553.161255;178.009796;345.193451;493.892700;198.500397;92.672653;737.582397;236.962921
48;278.072113;426.204987;191.092789;98.636131;822.956238;454.720398;;;;260.241974;547.989685;179.547089;345.451050;488.253540;199.952881;93.884689;733.265320;237.336182
49;277.662903;420.765411;193.193146;99.492805;820.733154;454.429138;;;;260.559387;542.825989;180.689072;345.440491;482.934784;200.948914;94.855888;729.010010;237.393723
50;277.645447;415.909851;194.444183;100.412178;818.482056;453.794250;;;;261.134552;537.776062;180.890747;345.557159;477.479980;202.855286;96.148270;725.042236;238.088150
51;277.650146;410.771790;195.767838;101.341507;816.082642;453.021515;;;;261.430908;532.689819;182.166214;345.831238;472.120911;203.099533;97.071144;720.818726;238.694305
