Präzision01164
Date:,2025/04/30
Time:,17:47:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
36,804.178711,799.311768,144.295441,766.791138,697.237305,99.543571,813.609802,1049.792236,239.563950,833.482910,1098.672729,402.083099,796.093628,706.889954,100.753876,,,,,,
37,803.122131,801.496948,147.511932,765.681030,699.458740,102.522606,812.686035,1052.778442,240.515350,833.411377,1100.903442,402.675110,794.624695,709.031982,103.715439,,,,,,
38,801.861938,803.971436,150.008377,764.633911,702.113281,105.577454,812.257690,1055.668213,241.344620,833.520874,1103.091919,403.378418,794.010681,710.985779,106.564659,,,,,,
39,800.829590,806.701111,152.743576,763.274231,704.578979,108.144615,812.119690,1058.939819,242.783508,833.808899,1105.540527,403.776978,792.866699,713.630981,109.654968,,,,,,
40,799.859436,809.143494,155.372345,761.831116,706.841248,111.433632,811.890442,1062.174438,243.198029,834.121704,1107.903809,404.146759,791.383728,716.030518,113.021606,,,,,,
41,798.865479,811.844666,158.682068,760.085754,709.646790,114.820107,811.185486,1065.479858,243.940674,833.982300,1110.222290,404.984833,789.364746,718.720398,115.651840,,,,,,
42,797.323364,814.883179,161.252472,758.901245,712.321045,117.674141,810.886658,1068.724609,244.963470,834.056152,1112.693604,405.720886,788.170959,721.522949,117.922951,,,,,,
43,796.080261,817.823303,163.433228,757.529724,715.390869,120.138885,809.863953,1072.175171,246.472061,834.335754,1115.342285,406.327026,786.794373,723.891052,120.937012,,,,,,
44,794.681946,820.810730,166.010620,755.621399,718.367737,122.820900,810.211487,1075.638428,246.987793,834.460571,1117.733276,406.881195,785.104858,726.892700,124.182106,,,,,,
45,793.270569,823.983276,168.140198,753.882751,721.265869,125.368759,809.845154,1078.967773,247.507614,834.530029,1119.921753,407.456482,783.353699,730.163879,127.190910,,,,,,
