Präzision56
Date:,2025/04/22
Time:,15:47:33
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,791.423950,857.750854,166.855728,781.687622,759.138794,142.632172,,,,,,,792.351501,1181.241943,360.270508,752.248413,754.856934,124.385643,,,,793.857117,1116.425659,207.767639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,789.346436,861.185486,168.923996,779.433594,762.531860,145.385391,,,,,,,792.193726,1183.395630,361.305054,750.469910,758.086060,126.846909,,,,792.734863,1119.908569,208.407532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,787.033020,864.621643,171.177185,777.124695,766.138184,148.354370,,,,,,,792.084534,1185.548706,362.380493,748.520142,761.650940,129.554886,,,,792.574829,1123.433105,208.639359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,784.733887,868.370850,173.849701,774.844604,769.632813,151.172150,,,,,,,792.014709,1187.697998,363.025330,746.043518,765.306946,132.083191,,,,792.285156,1127.261108,209.059143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,782.291077,872.195313,175.919449,772.667175,773.322205,153.803848,,,,,,,792.308411,1189.952148,363.954376,745.096741,770.940857,132.879410,,,,791.633667,1130.961548,209.561722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,780.678467,876.137329,177.280731,770.396179,776.904541,156.075058,,,,,,,791.998108,1192.412476,364.612518,744.247803,776.311218,134.038773,,,,791.502869,1134.415405,209.972443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,778.709473,879.879639,179.540680,767.974426,780.632080,158.429184,,,,,,,791.944458,1194.598633,365.346588,742.175537,780.603394,136.028473,,,,790.958435,1138.158447,210.446060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,776.213318,883.590698,181.954224,765.405701,784.350708,160.513260,,,,,,,792.362183,1196.783936,366.365143,739.409424,784.339600,138.125153,,,,790.727783,1141.989258,211.080185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,773.925293,887.302979,183.922638,762.751160,787.913879,163.042740,,,,,,,791.994019,1199.687622,367.267883,736.915039,788.258179,140.526321,,,,790.467224,1145.562012,211.927139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,771.954285,890.928162,185.248154,760.479065,791.549377,164.693802,,,,,,,792.234436,1201.691040,368.339081,734.336731,791.696594,142.115952,,,,789.552124,1149.203369,212.906372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,769.616882,894.525208,187.055695,757.783569,795.392212,166.399109,,,,,,,792.748169,1203.688232,369.564148,731.184814,795.062927,144.100220,,,,789.738708,1152.925171,213.227707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,767.254639,898.194397,189.124817,755.313904,799.251831,167.831787,,,,,,,792.961243,1206.309692,370.376678,729.175598,798.771484,145.542313,,,,789.533752,1156.588867,214.080475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,765.594971,901.984863,190.405792,753.070679,803.113159,169.295135,,,,,,,792.909851,1208.661011,370.893524,727.019531,802.896179,147.164673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,763.194580,905.584290,191.758026,750.985291,806.820374,170.602112,,,,,,,793.363342,1210.720947,372.134033,724.518921,806.405518,148.146866,,,,,,,788.826050,1163.306763,215.950485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,760.621887,909.264771,193.636566,748.283569,810.260559,172.223679,,,,,,,793.635742,1212.942383,373.429382,722.454590,810.239624,149.556458,,,,,,,788.330322,1166.870483,217.484406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,759.003418,912.988159,194.933197,745.986572,813.684692,173.413010,,,,,,,793.418518,1215.399170,374.238739,719.725342,813.864807,150.689270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,756.728210,916.548767,196.548096,743.698425,817.693359,174.062576,,,,,,,793.684082,1217.605957,375.418396,717.433960,817.531189,151.696457,,,,,,,,,,787.804321,1173.790649,219.242752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,754.028870,919.916992,197.474991,741.299683,821.422852,174.694687,,,,,,,794.197144,1219.682007,376.335663,715.219116,821.418579,152.540756,,,,,,,,,,787.319214,1177.436523,219.626541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,752.096130,923.422485,198.198380,738.958374,824.988647,175.822830,,,,,,,794.736694,1221.809692,377.210785,712.328857,824.857117,153.364044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,749.730286,926.963928,199.339859,736.153870,828.692566,176.496948,,,,,,,794.770142,1224.073364,378.288879,710.076660,828.758057,154.319427,,,,,,,,,,,,,786.702759,1183.822021,221.963684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,747.653198,930.782410,199.935837,734.069153,832.302002,176.825012,,,,,,,794.994324,1226.104736,379.556335,707.931641,832.381409,154.790115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,745.656067,934.337341,200.631409,731.445557,835.849670,177.201447,,,,,,,795.451843,1228.009277,380.245148,705.260681,836.031555,155.208817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,743.332703,937.496582,201.212738,729.421265,839.261658,177.954865,,,,,,,795.204834,1230.287598,381.403076,702.809143,839.388489,155.217270,,,,,,,,,,,,,,,,785.914795,1193.884521,224.222290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,741.225220,940.633850,202.178345,726.965393,842.774902,178.070633,,,,,,,795.481995,1232.221558,382.445190,700.765381,843.182251,155.871078,,,,,,,,,,,,,,,,784.639160,1197.130249,225.436935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,739.135437,944.077454,202.127975,724.596008,846.247375,177.851196,,,,,,,796.452454,1234.146973,383.381561,698.342896,846.690491,155.830826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,737.368896,947.448608,202.165985,722.164917,849.507996,177.634354,,,,,,,797.025208,1235.936523,384.312469,695.868958,850.070007,155.557297,,,,,,,,,,,,,,,,,,,785.099426,1203.125610,226.961319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,735.035950,950.128967,202.840683,719.712830,852.673889,177.811249,,,,,,,796.874878,1237.805054,385.346069,693.596130,853.615234,155.216629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,733.083252,953.239380,202.941132,717.772034,855.999146,177.011566,,,,,,,797.186279,1239.575073,386.331055,691.056885,857.035156,154.306488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,731.359070,956.267212,202.611206,715.588745,859.131165,176.068100,,,,,,,797.770081,1241.232544,387.224243,689.001831,860.346619,153.367783,,,,,,,,,,,,,,,,,,,,,,783.789429,1211.227539,229.802704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,729.013489,958.798889,202.872833,713.463989,861.967285,174.711166,,,,,,,798.095886,1243.090698,388.001038,687.740845,863.317627,152.450745,,,,,,,,,,,,,,,,,,,,,,784.240845,1213.943237,230.662231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,727.228455,961.592285,202.619690,711.688416,864.960938,174.013428,,,,,,,798.317932,1244.430542,389.035797,685.261475,866.324890,151.613480,,,,,,,,,,,,,,,,,,,,,,783.672791,1216.606567,231.520981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,725.442017,964.214172,202.315094,709.266174,868.034729,173.265564,,,,,,,798.246094,1246.009399,390.158813,682.709839,869.709045,150.920181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,723.654358,967.240173,202.395767,707.200195,871.083191,172.039703,,,,,,,798.196594,1247.515625,391.119812,681.646851,872.749084,149.916321,,,,,,,,,,,,,,,,,,,,,,,,,783.244019,1221.038208,233.202240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,721.331360,969.755798,201.990799,705.428406,873.616516,171.334717,,,,,,,798.634094,1248.852539,392.037994,678.847595,875.780579,149.085052,,,,,,,,,,,,,,,,,,,,,,,,,783.005310,1223.451904,234.027084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,719.690552,972.082153,201.176865,703.284485,876.366638,170.231918,,,,,,,799.132568,1250.173584,392.727814,676.594910,878.414490,148.100311,,,,,,,,,,,,,,,,,,,,,,,,,782.745850,1225.473022,234.708710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,718.046936,974.904968,200.265762,701.125854,879.378296,168.918472,,,,,,,799.573608,1251.352783,393.314545,675.097351,881.064636,147.031174,,,,,,,,,,,,,,,,,,,,,,,,,782.128113,1227.712036,235.782425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,716.651855,976.931030,199.718765,699.394714,881.742432,168.424438,,,,,,,800.004944,1252.509888,394.324493,672.687805,883.907349,146.113388,,,,,,,,,,,,,,,,,,,,,,,,,781.443420,1229.517090,236.604828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,714.984009,979.656738,198.879211,697.138062,884.565674,166.801086,,,,,,,799.823730,1253.882935,395.126648,671.108154,886.862976,145.058273,,,,,,,,,,,,,,,,,,,,,,,,,781.742615,1231.417358,237.404617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,712.846069,981.831726,198.707596,695.418274,886.844116,166.057129,,,,,,,799.983154,1255.040527,395.673828,668.807129,889.471313,143.916626,,,,,,,,,,,,,,,,,,,,,,,,,781.551086,1233.049316,237.767685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,711.304077,984.162476,197.781113,693.553894,889.408569,164.613068,,,,,,,800.325989,1256.089844,396.104309,667.251282,891.752625,142.193146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,709.474182,986.007080,197.037491,691.780884,891.551208,163.566986,,,,,,,800.822632,1257.084717,396.771576,665.748413,894.516907,141.240768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,708.154236,988.314392,196.182007,689.991455,893.769470,162.461472,,,,,,,801.176758,1258.021118,397.366547,663.485352,896.624512,139.698547,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.290161,1238.045288,240.218567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,706.537720,990.264893,194.925217,688.354553,896.151001,160.783157,,,,,,,801.476318,1259.168457,398.201080,662.123962,898.844055,138.357285,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.398254,1239.310913,240.480682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,705.198608,992.100098,194.287155,686.789368,898.379578,158.932877,,,,,,,801.719788,1260.000977,398.561737,660.850769,900.843567,136.964249,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.045837,1241.084717,240.495270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,703.606934,993.898254,193.135162,685.576050,899.885986,158.097824,,,,,,,801.447144,1261.122681,399.043488,659.177979,902.974976,135.952499,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.826660,1242.473633,240.813370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,702.543640,995.347839,192.343048,684.224426,901.822266,157.014084,,,,,,,801.476013,1262.122070,399.428925,657.743225,904.829651,134.800812,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.179993,1243.842896,241.328827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,700.796814,997.431152,191.716110,682.948425,903.802124,155.228134,,,,,,,801.493286,1262.974854,399.911865,656.863708,906.597412,133.100769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,699.599365,998.772217,190.969086,681.598083,905.248047,154.430893,,,,,,,801.703186,1263.828125,400.463135,655.238403,908.286377,132.170090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,698.193176,1000.006714,190.508987,680.590332,906.920105,153.674622,,,,,,,802.070923,1264.438477,400.909119,653.850037,910.211060,131.108414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.684814,1247.416260,242.374893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,696.538452,1001.728638,189.591309,679.422424,908.741760,152.181046,,,,,,,802.359741,1265.194458,401.228027,653.266418,911.640625,129.972748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.386230,1248.590576,242.575455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,695.449890,1003.169006,189.041260,678.303345,910.364868,151.149872,,,,,,,802.554810,1266.026611,401.622040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.147522,1249.431152,242.658264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,694.379883,1004.422180,188.458313,677.067993,911.512451,150.742020,,,,,,,802.813416,1266.806396,401.943390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.519348,1250.461060,242.928360,650.734924,914.864624,128.681564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,693.282898,1005.622803,187.755295,676.300781,912.654785,150.274933,,,,,,,803.164673,1267.433350,402.141205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.709900,1251.448975,243.470642,649.525208,915.919312,127.944527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,692.466003,1006.798584,187.275131,674.993103,913.944763,149.425003,,,,,,,803.411743,1267.894043,402.396362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.151184,1252.326660,244.080780,648.790894,917.165222,127.162628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,691.626892,1008.171143,186.506058,674.041931,915.586792,148.218704,,,,,,,803.404968,1268.469238,402.616852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.267883,1252.989380,244.165192,647.938782,918.519531,126.297508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,690.741516,1009.304993,185.629623,673.348816,916.453308,147.919418,,,,,,,803.488586,1269.104004,402.864319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.273132,1253.683838,244.100601,647.021362,919.176758,125.384171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,689.772766,1009.936218,185.237091,672.563843,917.268921,147.364883,,,,,,,803.700928,1269.605225,402.996429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.614441,1254.335205,244.117218,645.762146,920.385864,124.383919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,688.834106,1010.583557,185.063446,671.589417,918.295410,146.482956,,,,,,,803.789001,1270.235962,403.283325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.577209,1254.989014,244.354721,645.191101,921.370300,123.716545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,688.261169,1011.753906,184.790802,671.063049,919.294128,145.794968,,,,,,,803.950562,1270.584229,403.486633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.241455,1255.636108,244.844254,645.132385,922.066528,123.254097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,687.263062,1012.854797,184.186386,670.187988,920.173157,144.794357,,,,,,,803.984985,1270.969971,403.569977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.634827,1256.049072,245.359146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,686.122437,1013.503601,183.304230,669.300171,920.572510,144.492752,,,,,,,804.159668,1271.382935,403.703705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.187134,1256.484985,245.470749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,685.426697,1014.036560,182.695679,668.776001,921.021240,144.418747,,,,,,,804.311401,1271.736450,403.862427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.057068,1256.994507,245.632431,,,,642.261292,924.051331,121.940880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,684.749451,1014.492615,182.248947,668.541077,921.726196,143.684845,,,,,,,804.448547,1272.170410,404.026123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.871033,1257.342896,245.840057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,683.710266,1014.760681,182.117798,667.983887,922.251709,143.013351,,,,,,,804.616516,1272.445557,404.070404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.447632,925.220154,120.101311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
