Präzision17
Date:,2025/04/15
Time:,13:26:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,814.255554,663.254822,46.130444,716.168945,1022.258850,394.411682,799.379822,762.124390,107.143860,829.919617,686.209595,40.906403,698.117432,1044.307251,224.351730,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,814.226501,663.276978,46.145340,716.192627,1022.262146,394.400208,799.357910,762.119812,107.109871,829.722717,686.177734,40.765896,698.145935,1044.317383,224.389420,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,814.246765,663.266541,46.154953,716.294128,1022.255066,394.529724,799.317505,762.148804,107.300659,829.758850,686.219849,40.752251,698.204895,1044.330444,224.358994,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,814.255188,663.260498,46.157425,716.364075,1022.236206,394.562836,799.380676,762.020203,107.206879,829.688416,686.088501,40.720478,698.270996,1044.331421,224.348877,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,814.259216,663.188660,46.105789,716.496033,1022.253723,394.673462,799.385071,761.983093,107.147942,829.787598,686.084717,40.780743,698.221497,1044.317017,224.378006,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,814.297424,663.195129,46.164787,716.423462,1022.356079,394.608734,799.295654,761.988586,107.388054,829.899902,686.099731,40.901596,698.293030,1044.216309,224.444046,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,814.261780,663.163879,46.189568,716.399841,1022.375854,394.627869,799.441467,761.971375,107.251518,829.960449,686.091125,40.967976,698.269836,1044.201538,224.433105,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,814.228516,663.170044,46.160954,716.429993,1022.363953,394.624969,799.486511,761.994995,107.195099,829.980957,686.091125,41.012878,698.464172,1044.244263,224.667435,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,814.245178,663.199463,46.167976,716.449097,1022.358459,394.693329,799.456055,761.997375,107.209816,829.963684,686.085632,40.978340,698.437866,1044.215698,224.499725,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,814.285095,663.213440,46.135471,716.491943,1022.340393,394.726227,799.366699,761.974182,107.240326,829.929199,686.090332,40.934277,698.521667,1044.307373,224.753906,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,814.301025,663.175842,46.180115,716.511292,1022.431763,394.709229,799.311157,762.004028,107.427734,829.899780,686.096619,40.888920,698.482666,1044.303345,224.578323,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,814.277710,663.233459,46.190948,716.534302,1022.447510,394.711578,799.301025,761.899048,107.497040,829.895325,686.103516,40.898605,698.552063,1044.293579,224.495468,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,814.229248,663.198364,46.178913,716.617981,1022.462036,394.800140,799.332031,761.889587,107.531853,829.921936,686.104126,40.950077,698.628906,1044.286743,224.526398,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,814.283752,663.164978,46.190620,716.592529,1022.530884,394.802399,799.249268,761.894104,107.548790,829.741760,685.992249,40.794449,698.346008,1044.342651,224.684235,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,814.335449,663.167542,46.160099,716.628967,1022.557556,394.869080,799.214966,761.835632,107.579224,829.730286,686.072815,40.849957,698.339355,1044.343994,224.890015,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,814.267456,663.162781,46.177589,716.625793,1022.638428,394.813965,799.159119,761.784607,107.560051,829.648621,685.961548,40.839855,698.324646,1044.340454,224.889832,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,814.198730,663.186401,46.151539,716.653320,1022.665466,394.877289,799.104431,761.722351,107.607422,829.749634,685.983276,40.953262,698.429199,1044.331909,224.921341,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,814.239746,663.198120,46.140533,716.657410,1022.737488,394.973755,799.011597,761.656799,107.603630,829.715088,685.927673,40.918663,698.439087,1044.314453,224.972015,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,814.203674,663.205872,46.167240,716.780334,1022.856323,394.991730,798.991272,761.644958,107.701866,829.609009,685.931580,40.831654,698.418884,1044.311890,224.992981,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,814.190430,663.204224,46.175613,716.852234,1022.930786,395.004364,798.991333,761.593140,107.759872,829.534058,685.950989,40.756081,698.522583,1044.408203,225.023682,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,814.197815,663.202087,46.180984,716.709900,1023.039795,395.086273,799.013367,761.646545,107.847801,829.320557,685.953796,40.577431,698.542236,1044.430176,225.019226,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,814.196106,663.253784,46.162457,716.660828,1023.159485,395.199768,798.995544,761.648560,107.929436,829.485474,686.019043,40.819893,698.516785,1044.513428,225.049728,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,814.189026,663.222534,46.193901,716.593140,1023.242615,395.258423,798.956238,761.631653,108.063866,829.750000,686.000061,41.111069,698.499390,1044.527100,225.068558,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,814.166626,663.255859,46.246269,716.700256,1023.325623,395.389496,798.947083,761.592773,108.134247,829.690369,685.958984,41.114731,698.545044,1044.608398,225.184860,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,814.165100,663.261292,46.251465,716.811096,1023.464661,395.334351,798.924194,761.564941,108.283073,829.569336,686.021790,40.954655,698.587158,1044.727295,225.204941,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,814.134094,663.257996,46.307468,716.806030,1023.728760,395.332642,798.777405,761.524414,108.502525,829.201050,686.044495,40.712742,698.568665,1044.825684,225.183716,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,813.944336,662.943726,46.628250,716.872864,1023.883057,395.424622,798.725708,761.518250,108.737144,828.972046,686.069153,40.545792,698.525574,1044.948120,225.140106,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,813.872131,663.011047,46.911205,716.869873,1024.076904,395.393738,798.726685,761.475220,108.885452,829.238586,686.282532,40.930199,698.551086,1045.175049,225.106888,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,813.854187,663.036255,46.956070,716.786011,1024.282715,395.291595,798.748962,761.435730,109.095490,829.662537,686.353088,41.569721,698.511780,1045.440552,224.911392,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,813.818359,663.081970,46.998913,716.737915,1024.475708,395.331360,798.805420,761.426025,109.407372,829.528564,686.323120,41.656109,698.516418,1045.578369,224.836243,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,813.727112,663.145447,47.055393,716.780640,1024.684937,395.260437,798.740417,761.440125,109.565117,828.882996,686.415955,41.387810,698.416809,1045.850220,224.882324,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,813.699341,663.220947,47.136593,716.720825,1025.065796,395.193634,798.652344,761.422974,109.745667,828.171082,686.551880,40.967255,698.303650,1046.072388,224.974106,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,813.465881,663.160522,47.413349,716.673584,1025.293091,395.149658,798.535889,761.561646,110.075317,827.937256,686.781860,41.025070,698.132385,1046.384521,224.998917,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,813.422302,663.308105,47.783882,716.632507,1025.596680,395.068298,798.475464,761.583862,110.529510,827.871765,686.790283,41.507603,698.154358,1046.762329,224.913406,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,813.701782,663.533508,48.446449,716.457153,1025.780640,395.170868,798.180054,761.615540,111.241463,827.744446,686.884949,42.298336,698.159851,1047.203125,224.911194,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,813.308899,663.474670,48.589741,716.324280,1026.059570,395.098297,798.308472,761.441711,111.967033,827.355408,686.848145,42.936085,697.914246,1047.653564,224.965317,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,812.994202,663.651123,49.224972,716.395935,1026.383545,395.012695,797.996521,761.775635,112.940506,826.310608,686.438538,43.659847,697.599426,1048.286255,225.047134,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,812.563965,663.399292,51.134251,716.486084,1026.762573,395.012207,797.733215,762.000427,114.016739,825.236938,686.455200,43.986603,697.277100,1048.911499,225.210693,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,812.323486,663.381348,53.094498,716.737244,1027.358643,394.792114,797.299683,762.349976,114.867615,824.631714,686.652039,44.681541,696.937195,1049.571533,225.297150,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,812.036621,663.480347,54.012280,716.684570,1027.931274,394.948792,796.856323,762.456482,116.027336,824.763672,686.893921,46.773815,696.845520,1050.319092,225.153015,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,811.520264,663.277161,54.890491,716.528625,1028.493408,395.006073,796.429993,762.759705,117.032890,824.503540,686.490051,48.630634,696.590393,1051.285767,224.813385,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,810.630981,663.369568,56.634605,716.460083,1029.008423,394.978088,795.987854,763.167969,118.395233,825.652832,686.971008,51.818806,696.466797,1052.254517,224.744019,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,810.169922,663.499634,57.960686,716.442078,1029.545898,394.692383,795.294434,763.369019,119.814980,827.001587,686.692688,55.418571,696.602173,1053.091675,224.577042,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,809.898315,663.457642,60.573009,716.368530,1030.098022,394.619324,794.739136,763.604370,121.036583,829.190613,685.949585,60.594437,696.532593,1053.950073,224.656555,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,809.860413,663.354309,62.557533,716.285339,1030.712524,394.600281,794.422058,763.593079,122.967842,831.366760,684.693848,65.950684,696.299927,1054.869995,224.933411,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,809.094360,663.122803,64.202446,716.084229,1031.571411,394.633057,793.670288,763.805298,124.793892,832.180420,683.764709,69.670982,695.834839,1055.911011,225.093521,,,,,,,,,,,,,,,,,,,,,,,,,,,
