Präzision01160
Date:,2025/04/24
Time:,16:13:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,797.262695,783.002991,127.131897,771.857361,676.491638,86.584465,795.066040,686.988586,88.165276,779.954163,1023.543518,235.426178,810.124207,1091.484497,390.545044,,,,,,,,,,,,,,,
33,796.638916,784.234619,129.041321,771.461975,677.067688,88.650063,795.428345,687.821106,90.678795,780.070740,1024.541504,235.603561,810.397827,1091.720947,390.684448,,,,,,,,,,,,,,,
34,796.299011,785.056641,130.860779,771.093079,677.914551,90.783508,795.498169,688.191101,93.739738,780.287231,1026.037476,235.845413,810.521301,1092.213623,390.745544,,,,,,,,,,,,,,,
35,795.609863,786.202637,132.813751,770.388672,678.596558,93.275505,794.604614,688.376831,96.321983,779.989929,1027.375732,236.324036,810.586121,1092.829956,390.967590,,,,,,,,,,,,,,,
36,795.198669,787.269897,134.775726,769.285645,679.383362,96.620178,793.795410,689.795288,99.620804,779.792053,1029.013062,236.697998,810.692444,1093.282593,391.050659,,,,,,,,,,,,,,,
37,794.561829,788.179382,137.178711,768.097839,680.271301,99.864754,792.523621,690.435425,102.019051,779.803955,1030.519287,236.976608,810.815979,1093.943481,391.133759,,,,,,,,,,,,,,,
38,794.174438,789.393188,139.404449,767.364380,681.121460,102.559715,791.842407,691.539063,104.153587,779.725769,1032.431152,238.139496,811.036621,1094.841919,391.120972,,,,,,,,,,,,,,,
39,793.373657,790.771851,141.456802,766.900146,682.036255,105.515228,791.308838,692.596558,107.878380,779.671875,1034.257813,238.396698,811.134216,1095.867188,391.054626,,,,,,,,,,,,,,,
40,792.865295,791.770996,143.894180,765.503479,683.362244,109.187500,789.933533,693.582458,110.752510,780.089844,1036.160400,238.688828,811.436340,1096.860107,391.122162,,,,,,,,,,,,,,,
41,792.071411,793.167908,146.756165,764.783691,684.574890,112.325043,789.113037,694.538269,113.503288,780.156433,1038.155884,238.578308,811.285950,1097.973145,391.526154,,,,,,,,,,,,,,,
42,791.145630,794.758850,149.309067,764.036804,685.712830,115.262955,788.976135,695.719177,117.276245,780.185547,1040.382568,238.905380,811.158142,1099.083618,391.956909,,,,,,,,,,,,,,,
43,790.535217,796.126587,151.499649,763.127686,687.017090,118.426979,786.615906,698.158203,119.446121,779.615417,1042.368286,239.943680,811.287903,1100.144531,392.061737,,,,,,,,,,,,,,,
