Präzision01165
Date:,2025/04/24
Time:,13:17:15
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
14,800.630798,821.355591,153.074188,815.825684,1144.259521,388.570679,793.352051,1080.410400,179.965073,782.436279,702.185364,134.598206,807.613647,716.831116,144.400955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,799.333740,824.205994,155.700851,815.654907,1145.956909,389.018982,792.823669,1083.543945,179.991577,781.890076,705.474060,137.899414,806.934998,719.880554,147.521301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,799.043823,827.666321,157.947922,815.819336,1147.342407,389.492828,792.600464,1086.694092,179.735565,781.505188,708.523682,141.602722,806.458984,722.710205,151.179092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,798.521912,830.702393,160.636230,815.902588,1149.177490,389.981018,792.716675,1089.853638,180.130676,780.463623,711.594727,145.018936,805.341187,725.917114,154.225677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,797.580383,833.771484,163.142975,816.308777,1150.875977,389.980713,792.199951,1093.029419,180.609024,779.977295,714.343750,148.135834,804.378174,729.244873,157.334991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,796.740479,836.988953,165.287781,816.526917,1152.483398,389.997253,791.754333,1096.448608,180.648682,778.682861,717.102478,151.854370,804.078064,732.532104,159.899002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,795.442322,840.281311,167.475662,816.563354,1154.049683,390.252960,791.883179,1099.717896,180.898788,777.813477,720.322693,154.787094,802.814575,735.588928,163.065308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,794.552734,843.532043,169.267868,816.918091,1155.678589,390.299683,791.672546,1102.993164,181.098907,776.358215,723.312439,158.231628,801.369202,738.565369,166.475830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,793.243347,846.713684,171.610611,817.409058,1157.244263,390.974884,790.841553,1106.210815,181.398880,775.370911,726.825317,160.701096,800.548706,741.903748,168.745804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,792.115112,850.036804,173.827179,817.610291,1158.819214,391.463531,790.522278,1109.286621,181.607071,774.538696,730.317627,163.013992,799.209229,745.329163,171.170822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,790.933350,853.042053,175.427963,817.583313,1160.392944,391.713013,790.592896,1112.501587,181.821487,773.111450,733.475403,165.527969,797.846680,748.401978,173.856918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,789.518982,856.522644,177.600418,817.697815,1161.752563,392.222900,789.982544,1115.734009,182.276093,770.826965,736.670654,169.056915,796.162598,751.567078,176.536530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,788.317566,859.713257,178.788055,818.002319,1163.326660,392.713959,789.421631,1118.943970,182.484314,768.846863,739.585510,172.030167,794.780518,754.706787,178.761261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
