Präzision01159
Date:,2025/04/28
Time:,11:53:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,820.172119,985.980713,211.431549,825.699402,767.652954,93.252090,845.152466,1075.036743,421.633301,805.851318,674.815308,56.998543,,,,,,,,,,,,,,,,,,,,,,,,
2,820.143799,986.180359,211.379227,825.689453,767.888245,93.614357,845.037537,1075.069946,421.540314,799.805115,653.922607,69.232346,,,,,,,,,,,,,,,,,,,,,,,,
3,820.142761,986.511475,211.361176,825.670532,768.150208,94.114319,845.023499,1075.175293,421.568756,797.915283,638.848755,78.838997,,,,,,,,,,,,,,,,,,,,,,,,
4,820.091125,986.867126,211.320343,825.694275,768.517700,94.568092,845.320068,1075.447632,421.202484,796.085571,628.417236,85.667549,,,,,,,,,,,,,,,,,,,,,,,,
5,820.004700,987.447754,211.086807,825.667664,768.820007,94.980751,845.368164,1075.472534,421.362274,,,,800.011169,654.638977,70.739891,,,,,,,,,,,,,,,,,,,,,
6,819.929443,987.736206,210.945663,825.680176,769.246033,95.349968,845.308472,1075.541992,421.471619,,,,800.225952,654.913879,71.795265,821.697205,676.380249,70.794342,,,,,,,,,,,,,,,,,,
7,819.875305,988.179321,210.772949,825.661377,769.664856,96.232872,845.322205,1075.647217,421.507172,,,,800.179932,655.389099,72.908524,816.106689,678.020874,66.311111,,,,,,,,,,,,,,,,,,
8,819.828247,988.888306,210.681580,825.676392,770.221191,97.249863,845.347717,1075.766113,421.521759,,,,799.837769,655.669800,74.264633,812.110535,678.659973,64.343651,,,,,,,,,,,,,,,,,,
9,820.245911,989.785767,210.314285,825.581482,770.506897,98.099617,845.293030,1075.967163,421.484924,,,,799.556763,656.132690,75.783958,,,,,,,,,,,,,,,,,,,,,
10,819.747131,990.727661,210.619354,825.682068,770.779907,99.322487,845.208130,1076.210205,421.506897,,,,799.405396,656.731384,77.570015,,,,,,,,,,,,,,,,,,,,,
