Präzision01165
Date:,2025/04/24
Time:,15:41:12
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
26,800.467163,810.914551,155.581528,866.427002,1120.746826,424.521362,815.570496,1078.572510,252.098572,793.728760,724.946411,116.113480,,,,763.483276,705.439331,116.485565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,798.945862,813.677002,158.522614,866.764771,1122.855957,424.953094,815.928467,1082.074951,252.833054,791.807251,727.220093,118.999474,,,,761.843872,708.064636,119.056908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,797.131470,816.583435,161.147873,867.386658,1124.919922,425.147247,816.250183,1085.519531,253.430649,789.469727,730.113281,121.954735,,,,759.917603,710.957886,122.034103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,795.825439,819.073181,163.383728,867.833130,1126.670410,425.449646,816.710327,1088.986328,254.082321,787.614441,732.862976,124.080887,,,,757.381042,714.205811,124.846725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,794.212646,822.519653,166.004562,868.896118,1128.611816,425.918304,817.545654,1092.815063,254.849258,785.692932,735.662476,126.219231,,,,755.117920,717.206482,126.809608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,792.419250,825.820862,168.131744,869.572388,1130.650146,426.196075,818.429260,1096.253418,254.957108,783.291870,739.058838,128.813751,,,,752.629150,720.424683,129.480331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,790.625366,828.795044,170.334747,869.827637,1132.571533,426.713135,,,,781.018127,742.265442,131.012497,,,,750.748779,723.899719,131.667435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,788.917908,831.843506,172.516861,870.479309,1134.479858,427.168640,,,,778.945435,745.246704,133.528091,,,,748.414063,727.563660,133.942856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,787.180298,835.311218,174.587189,871.235352,1136.452881,427.356812,,,,776.355408,748.560547,135.918121,,,,745.424438,731.288940,136.928406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,785.574402,838.736389,176.903671,871.562256,1138.491333,428.407043,,,,773.936707,751.920593,137.531479,,,,742.860474,734.740417,138.760071,819.852600,1110.655273,257.977325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,783.758423,842.378540,178.828232,872.610901,1140.256592,429.057922,,,,771.294067,755.561035,139.687256,,,,739.913696,738.238464,141.007858,821.230774,1114.245972,257.782349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,781.826538,845.969971,180.519012,873.185059,1142.000244,429.172882,,,,768.478821,759.213867,141.617096,,,,737.109985,742.052490,143.400665,821.279968,1117.916870,258.612671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,779.949585,849.513123,182.299683,873.975159,1143.680542,429.614136,,,,765.337219,763.399597,143.463486,,,,734.911133,746.214966,145.183105,821.793945,1121.377686,259.388123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,778.127441,853.070251,183.507339,874.761963,1145.743042,430.506470,,,,762.231140,767.658691,144.572433,,,,732.114868,750.255737,146.975525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,776.190125,856.602539,185.413788,875.244446,1147.584351,430.801666,,,,760.163208,770.612427,146.547928,,,,729.352356,754.155212,148.250580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,774.463867,859.875549,186.957321,875.604553,1149.321655,431.508575,,,,757.716797,773.906372,148.052414,,,,726.603638,758.078430,150.228104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,772.740295,863.698364,188.802094,876.706909,1151.256226,431.869507,,,,754.989929,777.400696,150.318939,,,,723.424927,761.973267,151.283875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,770.316345,867.358887,189.842590,877.591614,1153.104370,432.226898,,,,752.124146,781.202148,150.836472,,,,720.347046,766.001770,153.015732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,768.138000,871.238098,190.598389,878.004028,1154.781494,432.966095,,,,749.895081,785.188171,152.327377,,,,717.814697,770.335022,153.434464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,766.220581,874.703735,191.788818,878.717224,1156.553833,433.223206,,,,746.787476,789.272095,152.629013,,,,714.962769,774.290894,154.554108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,764.254822,877.958374,192.608780,879.434021,1158.242798,433.471558,,,,744.113708,792.985413,153.165283,,,,712.224915,778.596924,154.941223,,,,826.011414,1147.703491,265.763794,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,761.949768,881.489563,193.706360,880.479919,1159.775269,433.954224,,,,740.851807,797.215576,153.682617,,,,709.190674,782.661926,155.000824,,,,827.112366,1150.642578,265.714996,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,759.988953,885.109558,194.140213,881.457214,1161.546509,434.529236,,,,738.514954,800.756592,153.962509,,,,706.538818,786.604370,155.441605,,,,827.077881,1153.689697,267.108124,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,757.980957,888.735291,194.368866,881.783569,1163.158569,435.134277,,,,735.744873,804.621582,154.485260,,,,703.509949,790.494934,155.838409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,756.126282,892.273499,195.341705,882.013489,1164.609009,435.765564,,,,733.575745,808.471191,153.811050,,,,700.403503,794.388550,156.550888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,754.056396,895.741516,195.830063,883.153381,1165.980225,436.107422,,,,730.615479,811.890503,154.616852,,,,697.716614,798.377441,156.542114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,752.162048,899.054749,195.937317,883.943848,1167.453125,436.586151,,,,728.646729,815.831238,154.414261,,,,695.474670,802.466675,156.039001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,750.626770,902.269043,196.276855,884.311646,1169.011963,437.424561,,,,725.916443,819.386475,154.915329,,,,693.432617,806.518127,155.806915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,748.272949,905.998779,196.437439,885.055908,1170.389404,437.858337,,,,723.381775,823.584106,154.761505,,,,691.010498,810.886719,155.584839,,,,,,,830.725586,1170.522583,270.860809,,,,,,,,,,,,,,,,,,,,,,,,
55,746.629456,909.242493,196.737778,885.768066,1171.850830,438.025024,,,,720.585938,827.175598,154.607178,,,,688.298096,814.598511,155.542435,,,,,,,831.174988,1172.817505,271.257202,,,,,,,,,,,,,,,,,,,,,,,,
56,745.166687,912.670898,196.513474,886.298584,1173.069214,438.350372,,,,717.980713,830.637024,154.813980,,,,685.987305,818.331360,155.500290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,743.081848,915.470947,196.639771,887.088684,1174.379639,438.905609,,,,715.802795,834.345093,154.228699,,,,683.277222,822.296631,155.396164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,741.433167,918.858337,196.522995,887.349487,1175.896973,439.763062,,,,713.888672,837.204712,154.361023,,,,680.643188,825.852051,155.169754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,740.170227,922.008484,196.110565,887.833313,1177.004761,440.029663,,,,711.490601,841.081116,153.991806,,,,678.569824,829.366211,154.586136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,738.466858,924.823853,195.959488,888.582764,1178.186768,440.513916,,,,709.299438,844.718079,153.234161,,,,676.634521,833.007568,153.825287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,736.684021,927.788879,196.324554,889.295593,1179.406738,440.852631,,,,707.507385,848.053833,152.680496,,,,674.214966,836.327942,154.037796,,,,,,,,,,832.987000,1186.125732,275.616425,,,,,,,,,,,,,,,,,,,,,
62,735.074097,930.973145,195.766937,890.110596,1180.455078,440.615509,,,,705.280518,850.512390,152.223236,,,,671.812134,839.646240,153.621094,,,,,,,,,,833.717468,1187.943481,276.001068,,,,,,,,,,,,,,,,,,,,,
63,733.761780,933.410706,195.338470,890.377441,1181.524292,441.238373,,,,703.386658,853.855530,151.766174,,,,670.183655,842.816895,152.796280,,,,,,,,,,834.342407,1189.760132,276.228241,,,,,,,,,,,,,,,,,,,,,
64,732.588318,936.181641,194.658112,890.737061,1182.726196,441.931946,,,,702.020630,857.015320,150.803986,,,,668.798889,845.932617,151.930023,,,,,,,,,,835.142700,1191.567261,276.583099,,,,,,,,,,,,,,,,,,,,,
65,731.616516,938.690735,194.027405,891.234314,1183.733887,442.399902,,,,700.601929,859.866028,149.937119,,,,666.752869,849.315552,150.658569,,,,,,,,,,835.291870,1193.359375,277.446838,,,,,,,,,,,,,,,,,,,,,
66,730.255066,941.317261,193.661255,891.851501,1184.586060,442.781097,,,,699.733276,863.093689,149.042831,,,,665.619324,852.150269,149.952316,,,,,,,,,,835.239990,1194.947632,277.906372,,,,,,,,,,,,,,,,,,,,,
67,729.378479,943.794617,192.983002,892.449768,1185.460449,442.954254,,,,697.918823,865.487061,148.046692,,,,663.997131,855.130310,148.807480,,,,,,,,,,835.394897,1196.801025,277.994507,,,,,,,,,,,,,,,,,,,,,
68,727.982422,945.960327,192.528656,892.716797,1186.260498,443.119965,,,,696.223083,867.974304,147.080963,,,,663.026428,857.720642,147.633270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,726.970825,948.398254,192.017517,893.051392,1187.268555,443.384064,,,,695.069092,870.748230,146.247452,,,,661.761536,860.505859,146.468216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,726.082947,950.270691,191.435593,893.951660,1187.820435,443.652191,,,,694.869141,872.579102,145.486847,,,,660.977600,863.067871,145.595367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,724.969238,952.458618,190.979355,894.220764,1188.648926,443.960327,,,,693.172119,875.246338,144.649338,,,,659.177063,865.274292,144.792023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,724.276489,954.390625,190.037842,894.540161,1189.319458,444.183929,,,,692.143738,877.302673,144.071167,,,,658.067993,867.613464,144.653519,,,,,,,,,,,,,835.851868,1203.901001,279.991302,,,,,,,,,,,,,,,,,,
73,723.613403,956.297180,189.872589,894.854248,1190.012329,444.328430,,,,691.012146,879.613586,143.115311,,,,657.148071,869.820984,143.657837,,,,,,,,,,,,,835.892700,1204.979980,280.247681,,,,,,,,,,,,,,,,,,
74,722.756226,958.238159,189.210358,895.439453,1190.481445,444.492737,,,,690.837891,881.295410,142.337646,,,,656.323792,872.031372,142.697510,,,,,,,,,,,,,835.957642,1206.046143,280.566559,,,,,,,,,,,,,,,,,,
75,721.765625,959.800598,188.470963,895.877197,1190.850342,444.662964,,,,690.577881,883.287598,141.767273,,,,655.739319,874.163391,141.739822,,,,,,,,,,,,,836.220764,1207.024536,280.897736,,,,,,,,,,,,,,,,,,
76,721.609741,961.820190,188.006165,895.849243,1191.726685,444.999695,,,,689.227844,885.198364,140.824921,,,,655.020325,876.127258,140.464432,,,,,,,,,,,,,836.843323,1207.783569,280.813477,,,,,,,,,,,,,,,,,,
77,721.257324,963.096924,187.171417,896.230835,1192.480957,445.256683,,,,687.983337,887.026855,140.141235,,,,654.423828,877.867676,139.403488,,,,,,,,,,,,,837.337219,1208.555298,280.844666,,,,,,,,,,,,,,,,,,
78,720.560181,964.566223,186.342499,896.569031,1192.993042,445.283173,,,,687.704529,888.774536,139.432175,,,,653.569031,879.352112,138.941376,,,,,,,,,,,,,838.329102,1209.328247,280.612274,,,,,,,,,,,,,,,,,,
