Präzision01114
Date:,2025/04/22
Time:,16:09:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,834.097778,788.793945,88.115517,826.168030,985.493225,253.852219,808.193787,680.616150,47.052174,789.202942,1040.759521,430.772125,836.728149,695.625061,44.371536,,,,,,,,,,,,,,,
2,834.014465,788.794800,88.063690,826.152100,985.437073,253.843597,808.351013,680.696411,46.876045,789.122375,1040.743652,430.819153,836.703003,695.619629,44.304520,,,,,,,,,,,,,,,
3,833.992737,788.807190,87.793823,826.105652,985.342102,253.909927,808.274841,680.679382,46.987988,789.108276,1040.642578,430.811768,836.692322,695.633667,44.322769,,,,,,,,,,,,,,,
4,834.040527,788.731812,87.725365,825.947021,985.355164,253.792877,808.113892,680.600159,47.140751,789.055176,1040.635742,430.778717,836.708618,695.643799,44.390385,,,,,,,,,,,,,,,
5,834.003235,788.800659,87.685638,825.944519,985.280212,253.822464,808.188110,680.597351,47.065865,788.986694,1040.545532,430.753174,837.209473,695.692749,44.409828,,,,,,,,,,,,,,,
6,833.973877,788.809387,87.710411,825.901672,985.222412,253.895981,808.267944,680.629822,47.023991,788.923157,1040.539551,430.707458,837.043762,695.592896,44.531250,,,,,,,,,,,,,,,
7,833.929321,788.859375,87.659798,826.040466,985.214233,253.633759,808.327148,680.647400,46.955822,788.940979,1040.533447,430.780060,836.824585,695.576355,44.490128,,,,,,,,,,,,,,,
8,833.905029,788.878479,87.613998,825.980225,985.254089,253.594788,808.433716,680.656433,46.909592,788.847107,1040.440186,430.754944,837.194458,695.684814,44.394108,,,,,,,,,,,,,,,
9,833.869202,788.889221,87.566910,825.928406,985.176147,253.542755,808.435547,680.674316,46.968319,788.804321,1040.422852,430.762909,836.935425,695.608337,44.421452,,,,,,,,,,,,,,,
10,833.835632,788.943970,87.511841,825.939758,985.087891,253.601715,808.376892,680.634521,46.998928,788.801697,1040.340576,430.755402,836.730286,695.606262,44.392559,,,,,,,,,,,,,,,
11,833.879761,788.969788,87.456268,825.831238,984.987000,253.634796,808.458801,680.627197,47.006355,788.820007,1040.296631,430.836731,837.193481,695.701538,44.314720,,,,,,,,,,,,,,,
