Präzision53
Date:,2025/04/22
Time:,15:46:01
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,832.895325,783.735168,117.646263,786.482178,1007.660767,271.391724,801.975830,687.722961,57.740883,796.563110,1114.288940,406.908997,832.722900,697.937317,61.437355,,,,,,,,,,,,,,,,,,,,,,,,
2,832.682251,784.093506,118.527206,786.020386,1009.054565,271.687561,801.436768,687.579041,59.996555,796.699341,1115.077759,407.143341,833.442993,697.588257,64.318916,,,,,,,,,,,,,,,,,,,,,,,,
3,832.304626,784.588928,119.492943,785.804932,1010.398193,271.513824,801.342102,687.618652,61.792191,796.856018,1115.963989,407.316864,833.247070,697.564941,66.110039,,,,,,,,,,,,,,,,,,,,,,,,
4,832.148499,784.530457,121.769463,785.544067,1011.627869,270.799255,801.293701,687.606384,63.912632,796.860046,1116.859253,407.492798,832.835327,697.918518,68.163582,,,,,,,,,,,,,,,,,,,,,,,,
5,831.891113,785.242859,123.515137,785.321594,1013.216919,270.722717,801.211243,687.806213,66.236443,796.920959,1117.765381,407.636658,832.408508,698.243347,70.555244,,,,,,,,,,,,,,,,,,,,,,,,
6,831.375183,785.927734,124.953979,785.109863,1014.769958,270.712738,800.987854,687.945679,68.648216,796.717102,1118.832031,407.852844,831.501526,698.899963,72.704247,,,,,,,,,,,,,,,,,,,,,,,,
7,830.931396,786.922791,127.480347,784.641846,1016.640015,270.642334,800.857422,688.136597,71.626625,796.718201,1119.953735,408.165955,830.540283,699.385498,75.094322,,,,,,,,,,,,,,,,,,,,,,,,
8,830.792114,787.730530,129.782898,784.145142,1018.495911,270.713501,800.460205,688.432861,74.246887,797.001343,1121.049927,408.143097,830.153992,700.132996,77.959709,,,,,,,,,,,,,,,,,,,,,,,,
9,830.276489,788.533569,131.862640,783.396362,1020.661987,271.009613,800.035950,688.830383,77.568451,797.053528,1122.232788,408.386108,830.335388,699.763062,82.001099,,,,,,,,,,,,,,,,,,,,,,,,
10,829.633179,789.520264,134.024445,783.191101,1023.081604,270.189972,799.339478,689.303955,80.878906,797.286438,1123.533569,408.589020,831.421631,699.615723,86.193672,,,,,,,,,,,,,,,,,,,,,,,,
