Präzision01139
Date:,2025/04/22
Time:,17:38:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
30,804.379700,767.118958,109.110771,733.346497,947.234741,227.976654,804.895630,669.834351,64.417885,738.798035,1032.081543,341.059723,836.283325,680.486755,65.284294,,,,,,,,,,,,,,,,,,,,,,,,
31,804.413147,767.110840,109.129097,733.333130,947.249573,227.980606,804.877930,669.743652,64.482132,738.732300,1032.161621,341.132904,835.557251,680.986572,65.228310,,,,,,,,,,,,,,,,,,,,,,,,
32,804.402405,767.106140,109.159470,733.351685,947.252075,227.976761,804.874084,669.670166,64.509918,738.713867,1032.194458,341.053986,835.918091,680.731689,65.158463,,,,,,,,,,,,,,,,,,,,,,,,
33,804.395386,767.129395,109.118401,733.347778,947.247559,227.976868,804.880737,669.637085,64.529083,738.719910,1032.196777,341.016022,835.471680,681.008606,65.163887,,,,,,,,,,,,,,,,,,,,,,,,
34,804.420776,767.001038,109.197548,733.354492,947.250183,227.975647,804.845398,669.655701,64.488518,738.736938,1032.296387,341.023132,835.945068,680.761902,65.135780,,,,,,,,,,,,,,,,,,,,,,,,
35,804.529114,766.852478,109.517220,733.356323,947.250977,227.975128,804.873718,669.685059,64.502960,738.810425,1032.308350,341.061768,836.575500,680.594238,65.459106,,,,,,,,,,,,,,,,,,,,,,,,
36,804.526184,766.824646,109.576370,733.368103,947.293823,227.975861,804.827637,669.584961,64.359871,738.800476,1032.306152,341.069000,836.204224,680.921814,65.658691,,,,,,,,,,,,,,,,,,,,,,,,
37,804.530823,766.848755,109.574165,733.389221,947.368347,227.976456,804.816650,669.628601,64.459702,738.801697,1032.382813,341.079132,835.944092,681.053528,65.636108,,,,,,,,,,,,,,,,,,,,,,,,
38,804.499939,766.847351,109.586380,733.403015,947.377319,227.974564,804.738708,669.589478,64.386848,738.825012,1032.418213,341.080536,836.443481,680.597107,65.458054,,,,,,,,,,,,,,,,,,,,,,,,
39,804.474487,766.835632,109.593361,733.617065,947.360718,227.981323,804.753662,669.479980,64.417076,738.851501,1032.501343,341.086334,836.598511,680.455750,65.453247,,,,,,,,,,,,,,,,,,,,,,,,
40,804.494019,766.816833,109.595512,733.440308,947.367004,227.960052,804.720276,669.461243,64.403351,738.669983,1032.453247,341.017426,836.067749,680.911377,65.616882,,,,,,,,,,,,,,,,,,,,,,,,
41,804.450745,766.818970,109.611153,733.466187,947.369751,228.013672,804.725891,669.465271,64.349380,738.764221,1032.505005,341.088348,836.384338,680.625183,65.469254,,,,,,,,,,,,,,,,,,,,,,,,
42,804.471436,766.774719,109.604126,733.464111,947.359375,228.030807,804.763184,669.493225,64.319206,738.852112,1032.598267,341.073944,836.477234,680.522705,65.476280,,,,,,,,,,,,,,,,,,,,,,,,
43,804.519470,766.766785,109.597031,733.492615,947.468384,228.029800,804.719849,669.496216,64.327126,738.900330,1032.713623,341.056366,836.484436,680.466614,65.509392,,,,,,,,,,,,,,,,,,,,,,,,
44,804.474060,766.733276,109.635368,733.486877,947.483276,228.028748,804.694885,669.474609,64.391525,738.904297,1032.728638,341.070313,836.478638,680.439941,65.500877,,,,,,,,,,,,,,,,,,,,,,,,
45,804.518860,766.696106,109.692711,733.494202,947.480957,228.026962,804.635620,669.443054,64.348969,738.939270,1032.714111,341.098572,836.462036,680.574890,65.475471,,,,,,,,,,,,,,,,,,,,,,,,
46,804.613403,766.681335,109.740685,733.530518,947.466797,228.074219,804.736206,669.480225,64.333511,738.854065,1032.803833,341.035645,836.541382,680.511475,65.516602,,,,,,,,,,,,,,,,,,,,,,,,
47,804.562500,766.651978,109.701141,733.539734,947.453796,228.110336,804.719849,669.540527,64.686569,738.940857,1032.833130,341.101257,836.481506,680.483521,65.588036,,,,,,,,,,,,,,,,,,,,,,,,
48,804.551758,766.714966,109.630226,733.543823,947.452332,228.084274,804.636658,669.461792,64.495178,738.950745,1032.936279,341.039185,836.236328,680.564392,65.570053,,,,,,,,,,,,,,,,,,,,,,,,
49,804.571594,766.666931,109.685570,733.592041,947.510742,228.029221,804.669128,669.511658,64.707321,738.976196,1032.985229,341.027435,836.017212,680.918335,65.672554,,,,,,,,,,,,,,,,,,,,,,,,
50,804.599121,766.725342,109.710625,733.635254,947.586487,228.013351,804.665039,669.458923,64.511246,738.993652,1033.070435,341.037140,835.834290,681.038391,65.657745,,,,,,,,,,,,,,,,,,,,,,,,
51,804.582825,766.768921,109.705704,733.691772,947.627014,228.066956,804.662842,669.485229,64.355362,738.986816,1033.173950,341.070496,836.307434,680.603577,65.499916,,,,,,,,,,,,,,,,,,,,,,,,
52,804.607422,766.791748,109.700996,733.645508,947.638672,228.033676,804.696960,669.570862,64.698303,739.024963,1033.204102,341.070160,836.495178,680.515198,65.529488,,,,,,,,,,,,,,,,,,,,,,,,
53,804.600830,766.780029,109.697800,733.723145,947.640137,228.059204,804.717163,669.642883,64.815636,739.107422,1033.286865,341.122498,836.400208,680.501892,65.491615,,,,,,,,,,,,,,,,,,,,,,,,
54,804.593445,766.799072,109.771278,733.776062,947.702271,228.099625,804.433472,669.445679,64.625450,739.200256,1033.324585,341.135498,836.353455,680.574463,65.605598,,,,,,,,,,,,,,,,,,,,,,,,
55,804.633606,766.785034,109.812088,733.870361,947.735718,228.174698,804.615723,669.608032,64.759697,739.250793,1033.397827,341.186523,835.968628,680.940063,65.744667,,,,,,,,,,,,,,,,,,,,,,,,
56,804.659546,766.788940,109.809158,733.882996,947.735291,228.184860,804.705444,669.811401,64.908600,739.300476,1033.448486,341.186218,836.363159,680.653564,65.657745,,,,,,,,,,,,,,,,,,,,,,,,
57,804.700378,766.790894,109.885277,733.869995,947.828735,228.190262,804.448547,669.623169,64.916878,739.366699,1033.539307,341.256653,836.028992,680.817810,65.749794,,,,,,,,,,,,,,,,,,,,,,,,
58,804.682190,766.799377,110.030571,733.976196,947.831177,228.138031,804.500061,669.685730,64.871292,739.397888,1033.639648,341.250031,836.461853,680.693298,65.769035,,,,,,,,,,,,,,,,,,,,,,,,
59,804.672424,766.847900,110.079376,733.851440,947.886841,228.179794,804.676819,669.828857,64.903969,739.386902,1033.744141,341.279816,836.098816,680.981323,65.831993,,,,,,,,,,,,,,,,,,,,,,,,
60,804.633118,766.856384,110.162865,733.729492,947.962280,228.118668,804.749390,670.000916,64.965759,739.457642,1033.771851,341.261047,836.441895,680.785278,65.768501,,,,,,,,,,,,,,,,,,,,,,,,
61,804.682434,766.870972,110.252441,733.651367,948.011780,228.112686,804.675842,670.016724,64.930389,739.547974,1033.878906,341.303497,836.073181,680.965942,65.844444,,,,,,,,,,,,,,,,,,,,,,,,
62,804.693054,766.810059,110.394173,733.681335,948.090820,228.138947,804.691345,670.018921,65.032021,739.655701,1033.983765,341.354431,836.475952,680.742310,65.914230,,,,,,,,,,,,,,,,,,,,,,,,
63,804.691345,766.784180,110.540054,733.840332,948.167603,228.073685,804.760254,669.976746,65.062454,739.641968,1034.081299,341.389343,836.675598,680.555603,65.960312,,,,,,,,,,,,,,,,,,,,,,,,
64,804.641479,766.756348,110.699028,733.648438,948.207642,228.091339,804.761414,670.030640,64.968071,739.666992,1034.182983,341.476654,836.717651,680.645813,66.062798,,,,,,,,,,,,,,,,,,,,,,,,
65,804.590759,766.787659,110.668488,733.494507,948.267761,228.128860,804.757996,670.106628,64.990921,739.621582,1034.291870,341.488342,836.599243,680.664795,66.052383,,,,,,,,,,,,,,,,,,,,,,,,
