Präzision01159
Date:,2025/05/06
Time:,14:18:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,753.395020,1062.759766,351.194061,816.044678,652.566895,76.004906,789.848267,639.005066,70.535065,801.808716,755.300110,91.055420,754.510925,1010.874023,206.812149
2,753.450134,1062.838867,351.237793,816.060425,652.558777,76.009117,789.943848,638.889648,70.418167,801.845703,755.227966,90.969643,754.598572,1010.873718,206.804840
3,753.602844,1062.945557,351.292603,816.044250,652.601746,76.018608,789.858521,638.885437,70.487999,801.858215,755.210999,91.101418,754.649109,1010.918823,206.729065
4,753.801941,1063.082886,351.339844,816.010193,652.581482,76.016365,789.809692,638.805603,70.513245,801.855408,755.215454,91.145699,754.563538,1011.031128,207.116211
5,754.209717,1063.190674,351.341156,816.030884,652.563843,75.989830,789.787109,638.786011,70.506027,801.897827,755.169922,91.123451,754.535950,1011.079956,207.242188
6,754.226807,1063.372559,351.383362,816.013123,652.499817,76.003098,789.809326,638.778015,70.509705,801.869202,755.150085,91.116852,754.671204,1011.071167,207.260971
7,754.509949,1063.436646,351.326111,815.963440,652.464172,75.959335,789.880920,638.769348,70.437515,801.861816,755.059875,91.153267,754.892090,1011.071533,207.199295
8,754.520325,1063.696411,351.383087,815.970703,652.444519,75.989586,789.825745,638.805237,70.382530,801.856384,755.045654,91.163940,755.117188,1011.084473,207.143219
9,754.641968,1063.865112,351.359497,816.006897,652.347778,76.022751,789.699524,638.744080,70.481598,801.855774,755.051270,91.162338,755.176575,1011.179871,207.117828
10,754.827393,1063.998413,351.490906,815.952271,652.407593,75.983765,789.707397,638.697021,70.468666,801.866394,754.994324,91.150063,755.292908,1011.182983,207.216736
11,754.981323,1064.225708,351.335083,815.892700,652.453552,75.954231,789.630066,638.699890,70.522438,801.863464,754.982971,91.146339,755.330994,1011.167297,207.327927
12,755.195251,1064.476318,351.216370,815.941284,652.394226,76.012329,789.611450,638.706177,70.547821,802.124512,754.988159,91.089348,755.661743,1011.114136,206.947876
13,755.371704,1064.697021,351.157959,815.978760,652.329346,76.046127,789.572571,638.721863,70.500290,802.018311,754.978088,91.205139,755.890930,1011.172852,206.870438
14,755.585938,1064.949707,351.151642,815.984009,652.316589,76.031586,789.609619,638.707886,70.526421,801.934143,754.981445,91.237617,755.955078,1011.200500,206.815201
15,755.699158,1065.196289,351.095886,815.964905,652.333496,76.036469,789.654907,638.693665,70.533287,801.941223,754.979553,91.220596,755.939026,1011.199036,206.936432
16,755.770325,1065.391724,351.115234,815.972351,652.332214,76.040779,789.690918,638.692017,70.515091,801.985840,754.972412,91.238525,755.943359,1011.290100,207.064682
17,755.647095,1065.454834,351.364105,815.970154,652.403748,76.012459,789.782288,638.765686,70.507484,802.009827,754.969421,91.267479,755.946655,1011.295898,207.097183
