Präzision48
Date:,2025/04/22
Time:,15:45:14
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,797.518127,791.345215,162.606186,755.537964,1143.458984,404.878845,808.243774,697.818604,123.699356,739.877869,1034.616821,270.387604,787.925659,699.076538,109.893173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,796.612854,793.190430,164.558929,755.449036,1144.974121,405.177094,808.702576,697.147949,128.218948,739.152649,1037.051392,270.204803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,795.472473,794.483643,167.086090,755.602905,1146.589111,405.511475,807.956848,698.179016,131.549606,738.661621,1039.699585,269.284729,,,,777.677673,684.905396,127.388763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,793.970154,796.564636,168.986588,755.593079,1148.145142,405.909576,807.010376,699.923950,134.582687,738.104919,1042.395752,268.820160,,,,777.122498,686.709412,129.757462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,792.826050,798.253052,171.034027,755.330505,1149.849609,406.584900,805.338318,701.083313,138.310547,737.450439,1045.098633,268.823608,,,,775.665771,688.440979,132.895370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,791.678955,800.373779,173.940262,755.167542,1151.652100,407.063904,803.779846,702.978210,141.774139,737.010254,1047.819702,268.388000,,,,774.234497,689.858154,136.858704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,790.784546,801.974548,176.345642,755.418152,1153.738403,406.655090,801.857422,705.035339,144.481979,736.167236,1050.509033,268.316620,,,,772.652222,691.422180,140.211868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,789.582520,804.399719,178.886734,755.838806,1155.730103,406.480194,800.907410,706.302246,148.194214,735.449829,1053.435669,267.938477,,,,770.710083,693.480591,143.956223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,788.216003,806.673401,181.219727,755.683411,1157.880249,406.684387,800.168640,708.602234,151.664139,734.872681,1056.561401,267.694000,,,,769.400879,695.315857,147.337418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,786.757751,809.200195,183.594315,755.491211,1159.928833,407.080475,798.610413,710.536011,155.081268,734.152649,1059.596558,267.873901,,,,768.311157,697.335449,150.347977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,785.446472,811.214294,186.355316,755.418274,1162.001831,407.643585,796.260681,712.791504,157.932724,733.483948,1062.688721,267.620056,,,,767.318298,699.794312,153.104080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,783.998474,813.818176,189.173248,755.565674,1164.096191,407.863129,795.226318,714.612366,162.186157,732.429138,1065.952515,266.995087,,,,765.401428,702.215637,156.433380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,782.431091,816.412170,191.959915,755.660278,1166.303589,407.819366,793.857300,717.031494,165.732407,731.801697,1068.904663,267.333588,,,,763.791321,704.599670,160.128403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,781.156189,818.588623,193.992172,755.713196,1168.397583,408.054413,792.201050,719.163086,168.717773,731.135010,1072.142212,267.006836,,,,762.282410,706.763184,163.671005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,779.830688,821.589417,196.899689,755.820068,1170.791992,408.494324,789.890381,721.783325,171.818420,730.179138,1075.370361,267.367462,,,,760.383545,709.270508,167.177338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,778.437439,824.341553,199.919617,756.074097,1172.994141,408.824463,788.786255,724.365906,175.683701,729.878845,1078.635010,267.362793,,,,758.664001,711.968689,169.964905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,776.596924,826.867188,202.326889,756.156433,1175.324829,408.930023,787.769531,726.456726,178.836731,729.128906,1082.043579,266.929840,,,,757.130615,714.546021,172.895447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,775.210571,829.973633,204.662827,756.216675,1177.572510,409.201111,785.824036,729.272705,181.596039,728.575195,1085.238770,267.205261,,,,754.715149,717.109558,177.205414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,773.749268,833.040955,206.841080,756.561279,1179.691162,410.019104,783.922668,732.567139,184.521561,727.609192,1088.524902,267.628937,,,,753.496704,719.804626,179.976669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,772.198975,835.802246,209.705978,756.256836,1182.074951,410.833466,781.621399,735.019714,187.782578,726.705872,1092.043335,267.502899,,,,752.197937,722.872437,182.710327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,771.072632,838.342896,212.016205,756.181763,1184.402222,411.311615,779.837463,737.536011,190.850632,726.296509,1095.377197,267.889923,,,,750.525635,725.799072,185.685135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,769.300537,841.530884,214.970428,756.157471,1186.662476,411.662140,778.757874,740.044434,194.001175,725.621338,1098.681396,268.014679,,,,748.674133,728.679993,188.761612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,767.609985,844.574036,217.451736,756.579773,1188.965576,412.216431,776.620117,743.080627,196.997711,725.245972,1101.907104,268.044220,,,,746.680664,731.395813,191.530594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,765.987976,847.334534,219.673416,757.114563,1191.011719,412.664886,775.311584,745.899048,199.785904,724.271912,1105.347534,268.670044,,,,744.502380,734.322388,194.393906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,764.354736,850.298157,221.817413,756.700195,1193.263306,413.333282,773.849792,748.966370,202.726639,723.392395,1108.419189,269.335815,,,,743.003784,737.345337,196.767593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,762.607178,853.546631,224.015152,756.485779,1195.518799,414.010284,771.619507,751.844666,205.195862,723.027710,1111.790405,269.427887,,,,741.035034,740.439941,199.548370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,760.739807,856.590637,226.328674,756.701111,1197.610352,414.544983,769.715149,754.480225,208.214401,722.551147,1115.321899,269.322327,,,,738.815918,743.383240,202.663605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,758.904724,859.305603,228.612732,757.248474,1199.436401,415.236847,767.944092,757.541748,211.242035,721.750549,1118.569458,270.012787,,,,737.479431,746.084106,204.899338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,757.211182,862.474365,230.797913,756.792175,1201.937256,415.876007,765.825439,761.069275,213.384567,721.048157,1121.683350,270.725861,,,,735.853638,749.207214,207.367111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,755.417664,865.752686,232.977951,757.231079,1204.045166,416.294373,764.226685,764.130432,215.705383,720.517029,1124.986572,271.171692,,,,733.922668,752.213440,210.087692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,753.560669,868.907104,235.152069,757.858521,1206.114746,416.840881,762.498474,766.730774,218.412674,720.269409,1128.476807,271.676270,,,,732.178894,754.982178,212.449432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,751.594788,871.811340,237.117599,757.894348,1208.326538,417.645905,760.439758,769.852478,221.065308,719.558411,1131.737427,272.128113,,,,730.704102,758.417542,214.823547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,749.774902,875.050232,239.122681,757.769104,1210.302368,418.306915,758.894836,773.100891,223.227127,718.993652,1135.032593,272.495636,,,,729.090820,761.475281,216.504410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,748.080627,878.259094,241.123001,758.207947,1212.282593,419.144257,757.456909,775.841614,225.197281,718.476501,1138.359375,273.183228,,,,727.250671,764.502136,218.734406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,746.081238,881.130981,243.302460,758.931946,1214.342651,419.768646,755.176819,778.795288,227.604660,717.662048,1141.767822,273.427307,,,,725.052856,767.467712,221.238678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,744.339111,884.129211,245.071091,759.220459,1216.150269,420.498810,753.281555,781.860657,229.661453,717.097534,1144.950195,274.124664,,,,723.199951,770.216675,222.932953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,742.468750,887.273438,246.621979,759.040649,1218.481201,421.119415,751.975403,785.160278,231.199982,716.694580,1148.317017,274.569275,,,,721.448914,773.176147,224.688095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
