Präzision20
Date:,2025/04/16
Time:,10:34:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,802.202515,693.475952,79.759834,816.924683,785.739380,106.415245,809.681641,988.256287,208.171753,851.257385,1015.126282,349.592041,773.903503,689.085693,72.378746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,802.165710,693.428711,79.834328,816.875305,785.692322,106.514091,809.686279,988.356445,208.152954,851.210205,1015.152039,349.692902,773.641602,689.057251,72.440170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,802.122620,693.460449,79.764679,816.893372,785.679626,106.590454,809.613892,988.366333,208.187073,851.119568,1015.145874,349.828583,773.706909,689.038513,72.553246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,802.210449,693.463074,79.714401,816.899658,785.707336,106.533646,809.635437,988.375305,208.184540,851.198303,1015.125793,349.656921,773.727295,689.101074,72.944214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,802.212830,693.432678,79.776390,816.909790,785.690552,106.528183,809.605591,988.357788,208.197617,851.206421,1015.133423,349.713623,773.444641,689.000122,72.737694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,802.275635,693.390015,79.901283,816.925293,785.715027,106.508270,809.560913,988.351624,208.221329,851.236938,1015.130188,349.628387,773.344788,689.024536,72.899162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,802.272095,693.396362,79.849182,816.913269,785.730774,106.531097,809.549561,988.352112,208.231033,851.259949,1015.128723,349.591675,773.463196,688.988586,72.631439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,802.262146,693.406433,79.819580,816.921814,785.722473,106.512955,809.553162,988.352966,208.228806,851.186401,1015.088440,349.657166,773.511841,689.066101,72.900948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,802.209106,693.425842,79.792496,816.916138,785.728149,106.531883,809.541382,988.358582,208.232742,851.185852,1015.016418,349.678619,773.502625,689.041504,73.106415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,802.249023,693.412231,79.814133,816.877747,785.728516,106.565445,809.529053,988.356506,208.212723,851.248291,1014.997986,349.628754,773.423462,689.030273,73.093719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,802.236145,693.449158,79.735413,816.822327,785.694641,106.499168,809.568726,988.347900,208.214752,851.240662,1015.018860,349.648956,773.654114,689.018616,72.672432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,802.204102,693.435547,79.774521,816.861572,785.682129,106.547859,809.574646,988.267822,208.204361,851.115845,1015.118530,349.795593,773.597290,689.013733,72.464882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,802.219971,693.460205,79.757317,816.865723,785.707336,106.498573,809.560974,988.231873,208.250000,851.200317,1015.049316,349.822937,773.887085,689.071777,72.407875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,802.175537,693.471252,79.671005,816.838257,785.686340,106.449020,809.533447,988.237915,208.276611,851.252258,1014.997864,349.733093,773.996094,689.067749,72.385452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,802.204102,693.481323,79.665329,816.851807,785.753235,106.320908,809.510437,988.249023,208.331100,851.215576,1015.024841,349.826385,773.925964,689.071655,72.381859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,802.216309,693.473145,79.653320,816.903381,785.744690,106.318764,809.549133,988.263672,208.313980,851.161499,1015.028503,349.877502,773.871887,688.998230,72.346596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,802.209045,693.492798,79.644753,816.594116,785.938721,105.738716,809.505066,988.223450,208.293610,851.324585,1015.002197,349.786957,773.926331,689.005188,72.229301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,802.155518,693.465393,79.587883,816.683533,786.078674,105.308998,809.545593,988.258179,208.377563,851.355164,1014.995483,349.747833,773.704102,688.987366,72.169571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,802.059875,693.410339,79.605339,816.882141,785.772217,106.043343,809.588745,988.190552,208.359070,851.306763,1015.036987,349.873169,773.608704,688.968567,72.225342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,802.101440,693.382385,79.648911,816.883667,785.633057,106.327049,809.559692,988.155640,208.360977,851.342651,1015.005859,349.787231,773.622375,688.858643,72.301727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,802.106812,693.344727,79.662560,816.705505,785.691223,106.451118,809.545959,988.148010,208.422791,851.392273,1014.883850,349.824371,773.613953,688.837097,72.303177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,802.063538,693.350525,79.631142,816.555908,785.686279,106.464233,809.468933,988.150452,208.483841,851.361084,1015.008423,349.955566,773.556335,688.753479,72.316948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,802.091309,693.293457,79.660660,817.060730,785.396606,106.572617,809.445251,988.152039,208.479645,851.336487,1014.945618,350.015320,773.603943,688.703125,72.246918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,802.065063,693.288208,79.645340,816.703064,785.491882,106.557487,809.479370,988.043945,208.511719,851.315979,1014.920837,350.023041,773.604309,688.719360,72.221733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,802.054016,693.251221,79.638237,816.535461,785.540161,106.521790,809.444153,987.938843,208.573380,851.262695,1014.921570,350.058502,773.656006,688.623352,72.224586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,802.111877,693.239746,79.643700,816.487976,785.445557,106.574173,809.391052,987.904114,208.611465,851.271667,1014.931946,350.060211,773.631958,688.510986,72.296967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,802.099731,693.179626,79.688156,816.454041,785.378113,106.644417,809.315308,987.900818,208.679504,851.260681,1014.900208,350.131744,773.574890,688.473511,72.326622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,802.050903,693.170715,79.640503,816.449585,785.313171,106.667084,809.218323,987.760803,208.786163,851.259949,1014.906738,350.166992,773.629395,688.360718,72.385925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,802.137695,693.051392,79.710754,816.468994,785.191650,106.751694,809.208069,987.791626,208.689865,851.262634,1014.842102,350.362610,773.727966,688.336304,72.349930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
