Präzision01154
Date:,2025/04/23
Time:,10:10:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,768.531372,776.432007,105.312752,706.308167,1064.654907,436.818848,696.423767,1052.512451,248.611252,809.056152,684.947754,58.443745,792.220642,697.957581,33.596870,,,,,,,,,,,,
2,768.593628,776.408630,105.337967,706.274780,1064.768799,436.744202,696.296631,1052.510254,248.614914,809.086609,684.897766,58.455177,792.090576,697.973206,33.508339,,,,,,,,,,,,
3,768.607361,776.409546,105.372772,706.242493,1064.865234,436.758636,696.138123,1052.489380,248.395126,809.307922,685.059204,58.205658,792.207642,698.035400,33.513748,,,,,,,,,,,,
4,768.537476,776.439697,105.297119,706.182190,1064.892456,436.684784,696.305176,1052.519165,248.549469,809.396729,685.718872,58.226002,792.240845,697.986572,33.583656,,,,,,,,,,,,
5,768.553650,776.419373,105.314606,706.377441,1065.072510,436.564301,696.265564,1052.538330,248.511505,809.258545,685.953003,58.218098,792.249634,698.059998,33.632404,,,,,,,,,,,,
6,768.526184,776.416382,105.296577,706.437805,1065.100098,436.519592,696.207703,1052.538086,248.490570,809.292419,685.820496,58.353798,792.234131,698.093262,33.624363,,,,,,,,,,,,
7,768.511292,776.444275,105.278587,706.184692,1065.037842,436.545288,696.108032,1052.544678,248.472061,809.133423,685.557434,58.272987,792.210999,698.088623,33.564449,,,,,,,,,,,,
8,768.537476,776.440430,105.273163,706.320374,1065.180664,436.477783,696.096375,1052.625610,248.467056,809.284302,685.755371,58.259399,792.217224,698.101257,33.585567,,,,,,,,,,,,
9,768.515320,776.431641,105.311394,706.326965,1065.301758,436.399109,696.076965,1052.647827,248.479935,809.121277,685.366455,58.327839,792.226685,698.097412,33.607597,,,,,,,,,,,,
10,768.506836,776.429993,105.321907,706.107605,1065.253906,436.482208,695.974854,1052.653931,248.423355,809.286133,685.571533,58.407871,792.232666,698.091797,33.614868,,,,,,,,,,,,
11,768.477966,776.425720,105.307167,706.024109,1065.316528,436.525452,695.993347,1052.648193,248.459717,809.346680,685.631836,58.439198,792.232849,698.090759,33.613937,,,,,,,,,,,,
12,768.494263,776.426514,105.299446,705.960876,1065.356689,436.470001,695.947266,1052.648560,248.440002,809.323730,685.574524,58.407795,792.012756,698.029297,33.579601,,,,,,,,,,,,
13,768.471680,776.407715,105.272484,705.935669,1065.470703,436.350220,695.897461,1052.740234,248.437057,809.292725,685.406128,58.309620,792.060669,698.081299,33.610611,,,,,,,,,,,,
14,768.365723,776.536499,105.558983,705.929382,1065.593872,436.344940,695.855164,1052.676270,248.427277,809.264343,685.421143,58.429935,792.117859,698.081787,33.606503,,,,,,,,,,,,
15,768.423889,776.434937,105.344902,705.923279,1065.726440,436.254578,695.806458,1052.640381,248.451157,809.311646,685.450867,58.427402,792.057983,698.079468,33.552296,,,,,,,,,,,,
16,768.422241,776.459167,105.238144,705.910767,1065.841309,436.221741,695.687561,1052.725220,248.399109,809.137939,685.323914,58.351200,791.990356,698.086670,33.510784,,,,,,,,,,,,
17,768.402527,776.475403,105.242592,705.872314,1065.991943,436.138123,695.618835,1052.750122,248.328232,809.219055,685.649719,58.308865,791.962463,698.002625,33.652039,,,,,,,,,,,,
18,768.399841,776.478882,105.266060,705.794495,1066.097046,436.113892,695.584534,1052.745850,248.171844,809.129211,685.764038,58.208771,791.538879,697.835571,33.845444,,,,,,,,,,,,
19,768.405090,776.589478,105.341980,705.744751,1066.270264,436.160583,695.479248,1052.743164,248.172531,809.043030,685.772949,58.178940,791.323425,697.812012,33.945065,,,,,,,,,,,,
20,768.337891,776.651428,105.421867,705.747681,1066.418335,436.093597,695.302917,1052.723511,248.186768,809.002441,685.469482,58.257191,791.313660,697.831421,33.935520,,,,,,,,,,,,
21,768.317627,776.840210,105.432243,705.664124,1066.693848,436.079010,695.144775,1052.707031,248.242142,809.154419,685.683716,58.403946,791.347534,697.864502,34.115673,,,,,,,,,,,,
22,768.311707,776.996155,105.496544,705.576050,1066.918823,436.042603,694.956665,1052.695801,248.289749,809.043823,685.759583,58.256168,791.378540,697.874390,34.272480,,,,,,,,,,,,
23,768.304993,777.141357,105.519562,705.546021,1067.230835,436.018463,694.745850,1052.667969,248.380936,810.325623,695.984314,54.967060,789.964233,677.543579,44.829308,,,,,,,,,,,,
24,768.320313,777.286133,105.553711,705.387268,1067.551392,435.931549,694.428589,1052.735596,248.457916,810.604065,698.547180,53.864819,789.334656,674.785583,47.459797,,,,,,,,,,,,
25,768.243469,777.591370,105.549492,705.234680,1067.979980,435.811951,694.120667,1052.735718,248.495987,809.998779,698.106140,54.499451,789.274658,676.837708,46.611282,,,,,,,,,,,,
26,768.115906,777.828003,105.512032,705.127197,1068.190430,435.834686,694.059326,1052.769897,248.305313,809.825134,697.535278,55.519417,789.368286,677.673462,46.190731,,,,,,,,,,,,
27,767.942627,778.145630,105.502396,705.027161,1068.563232,435.805023,694.008301,1052.804321,248.167374,809.693298,697.329041,56.190517,789.391418,677.594360,46.740738,,,,,,,,,,,,
28,767.741516,778.510620,105.711266,704.954285,1068.758301,435.980408,693.953491,1052.925049,248.231277,809.289673,697.475769,56.747551,789.234253,677.443054,47.487244,,,,,,,,,,,,
29,767.505981,778.725220,105.845230,704.843323,1069.074951,436.065216,693.563843,1053.131470,248.241241,808.989075,697.621643,57.355225,789.109314,677.681885,48.389446,,,,,,,,,,,,
30,766.961365,779.078735,106.345200,704.770935,1069.344604,435.995117,693.169861,1053.445557,248.425934,808.567200,697.777710,58.050835,789.106995,677.818970,49.022732,,,,,,,,,,,,
31,766.418945,779.472229,106.965355,704.414612,1069.751465,435.939575,692.845337,1053.908203,248.207520,808.098877,697.961487,58.997898,788.771057,677.929016,50.397675,,,,,,,,,,,,
32,765.869202,779.826233,107.636269,704.434692,1070.163452,436.069305,692.405151,1054.403442,248.163971,807.888916,698.071228,60.142883,788.460693,678.079224,51.664738,,,,,,,,,,,,
33,765.430786,780.269836,107.685944,704.319946,1070.646118,436.177917,692.022644,1055.024780,248.210876,807.580750,698.402832,61.258724,788.287354,678.182190,52.731728,,,,,,,,,,,,
34,764.941284,781.058044,108.288483,704.115845,1071.250488,436.302582,691.640564,1055.678955,248.021942,807.538269,698.726257,62.710041,788.195984,678.495483,53.909649,,,,,,,,,,,,
35,764.041321,781.647766,109.282722,703.977844,1071.752563,436.161255,691.334839,1056.568726,247.762939,807.193298,698.950684,64.179855,788.285583,678.765381,55.258743,,,,,,,,,,,,
36,763.030762,782.038086,110.190262,703.863159,1072.252930,436.106812,691.026245,1057.441284,247.922745,806.874451,699.208923,65.568008,787.724426,679.004089,57.026302,,,,,,,,,,,,
37,762.518127,782.581360,110.800613,703.768921,1072.772217,436.187561,690.583191,1058.381470,248.121216,806.841614,699.791565,67.382423,787.335815,679.275574,58.099873,,,,,,,,,,,,
38,761.979736,783.380127,111.669716,703.640442,1073.452881,436.294220,690.328674,1059.332520,248.408691,806.602783,700.279602,68.884521,786.862793,679.846619,60.046619,,,,,,,,,,,,
39,761.019531,784.098022,113.093628,703.493652,1074.284668,436.261078,690.101013,1060.342773,248.396530,805.984558,700.820679,70.473076,786.162170,680.073486,62.020657,,,,,,,,,,,,
40,760.547852,784.916321,114.118965,703.334900,1075.115234,436.392639,689.760498,1061.647583,248.759079,805.146362,701.566406,71.960297,785.919983,680.725769,63.784119,,,,,,,,,,,,
41,760.392700,785.791687,115.634323,703.071533,1075.797363,436.444489,688.791809,1063.037109,249.319443,805.371155,702.275146,74.647850,784.918274,681.269470,66.369583,,,,,,,,,,,,
42,759.759216,786.428833,117.759949,702.783875,1076.527954,436.720673,688.489502,1064.651367,249.157806,804.695984,702.751404,76.713303,784.586121,681.881958,68.121895,,,,,,,,,,,,
