Präzision01158
Date:,2025/04/23
Time:,16:11:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,802.909485,694.044312,104.206894,710.769287,1108.208130,357.654327,778.234985,682.232910,100.624763,708.674011,1073.809692,206.910797,768.123413,789.715515,123.156868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,710.865417,1109.348389,357.576202,777.858643,683.170776,104.241058,708.168579,1075.765015,206.855972,767.229919,790.927429,126.667709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,711.051392,1110.567749,357.598297,777.025452,684.454407,107.931572,707.655457,1077.763184,207.164795,767.146179,792.741516,129.354904,801.608215,697.140930,111.036537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,711.112122,1111.784546,358.005737,776.691711,686.100342,111.633591,707.428223,1080.019531,207.207657,766.791443,793.787048,131.959808,801.673523,698.071045,114.027885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,711.004883,1113.048950,358.335571,776.481934,687.494141,114.964989,706.953369,1082.363892,207.166489,765.839111,795.718567,135.537018,800.970825,699.977966,117.599686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,711.190552,1114.416870,358.193085,775.889771,689.362610,119.049812,,,,765.632385,797.497498,138.466278,800.237122,701.624329,121.903877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,711.627869,1115.925659,358.579163,774.860657,690.936707,122.685913,,,,764.998718,799.392700,141.413849,799.389282,703.318054,126.072800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,711.755737,1117.500244,358.996765,774.489929,692.694214,126.418724,,,,764.122131,801.351074,144.862717,798.838806,705.092529,129.244583,705.387268,1089.633545,208.126785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,711.738464,1118.948853,359.133301,773.106018,694.758606,130.615158,,,,763.204041,803.580811,148.483902,798.213074,706.904968,133.230133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,711.821838,1120.433594,359.269745,772.981445,696.680298,134.490143,,,,762.356201,805.652588,151.496078,797.639648,709.156067,137.545273,,,,704.732300,1095.093872,208.289047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,711.831909,1121.960571,359.746826,771.802795,699.151794,138.630005,,,,761.805176,807.863586,154.840393,796.300110,711.277832,141.936829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
