Präzision01164
Date:,2025/04/24
Time:,15:56:58
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,779.910583,651.839966,46.979729,732.981750,1034.861694,314.518799,731.900024,942.139709,178.555328,784.286316,764.248535,73.719505,794.947571,676.683350,40.641624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,779.956177,651.881714,46.987404,732.803162,1034.793091,314.671997,731.936279,942.210571,178.418015,784.296936,764.309631,73.675041,802.653381,676.084473,48.190731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,779.939575,652.148804,46.917942,732.791321,1034.783081,314.708252,731.961914,942.091187,178.418121,784.304138,764.352844,73.636246,805.104492,674.967651,50.735592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,779.928894,651.919495,46.928635,732.799805,1034.794556,314.695465,731.890625,942.163208,178.420258,784.287598,764.355774,73.632050,804.419678,674.851929,50.063229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,779.935425,652.183655,46.903996,732.909180,1034.841064,314.605164,731.940125,942.194641,178.490204,784.314148,764.335510,73.576546,803.382385,675.203308,48.903297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,779.963928,651.910217,46.983498,732.884460,1034.717896,314.622467,731.904602,942.210632,178.452316,784.369568,764.303284,73.563278,802.610046,675.327087,48.534115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,779.959473,651.864136,46.974884,732.978943,1034.753540,314.564850,731.895996,942.171387,178.481155,784.379761,764.298096,73.567215,802.903992,675.417297,48.502235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,780.345886,652.388916,46.612614,732.883362,1034.789429,314.631104,731.900085,942.089355,178.415298,784.399719,764.309570,73.565384,803.201172,675.382141,48.586948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,780.063110,652.083862,46.784950,732.812378,1034.780029,314.742950,731.933716,942.086426,178.475586,784.370117,764.305847,73.578033,803.288513,675.334167,48.776409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,779.898682,651.814331,46.978817,732.953247,1034.774536,314.585114,731.671448,941.984741,178.638992,784.437134,764.334778,73.427200,803.668518,675.292847,48.151459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
