Präzision01159
Date:,2025/04/24
Time:,15:56:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,782.361816,655.996948,72.449730,726.665588,954.673279,172.375107,785.500061,773.306091,87.294434,727.842102,1042.343140,328.776093,806.466736,677.484741,74.208939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,782.382202,655.909973,72.478493,726.660645,954.664124,172.389420,785.482239,773.265686,87.268791,727.823669,1042.335693,328.785858,806.427063,677.531616,74.125839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,782.394531,655.903809,72.588081,726.493591,954.662537,172.437408,785.464050,773.269104,87.257103,727.840637,1042.336426,328.758789,806.375549,677.568176,74.113258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,782.369202,655.895447,72.625130,726.431458,954.605530,172.410645,785.431396,773.322266,87.301659,727.860596,1042.338135,328.763489,806.392090,677.470276,74.070015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,782.395020,655.880859,72.615547,726.372437,954.613342,172.411880,785.429321,773.347168,87.356972,727.855896,1042.456421,328.688904,806.394531,677.522034,74.077034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,782.406738,655.880920,72.604630,726.259033,954.627930,172.435959,785.369080,773.323303,87.298058,727.868958,1042.479248,328.657867,806.432739,677.464539,74.079971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,782.497314,655.905212,72.628380,726.215759,954.597290,172.305222,785.410950,773.249573,87.296242,727.845459,1042.557373,328.660736,806.380859,677.513672,74.031059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,782.523499,655.891602,72.625198,726.133179,954.670593,172.241379,785.488770,773.230652,87.359650,727.826233,1042.541992,328.751892,806.409058,677.465454,74.049301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,782.519165,655.885498,72.623627,726.121643,954.604858,172.229904,785.507385,773.223572,87.380280,727.817200,1042.523804,328.801910,806.410339,677.524841,74.066170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,782.554504,655.870239,72.667450,726.112793,954.578186,172.242599,785.572449,773.161316,87.472801,727.777039,1042.611694,328.737000,806.395508,677.526611,74.062889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
