Präzision22
Date:,2025/04/16
Time:,10:58:45
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,789.832031,671.664734,69.316162,738.320679,1034.053101,425.046295,792.577759,772.932678,125.435303,700.232788,996.632568,270.762939,806.360596,693.239868,63.366600,,,,,,,,,
36,789.906555,671.714478,69.310745,738.143127,1033.972534,425.076752,792.609802,772.926941,125.437706,700.262634,996.626099,270.778473,806.353027,693.245544,63.352924,,,,,,,,,
37,789.923828,671.680237,69.343010,738.103638,1033.960571,425.143860,792.720703,772.912720,125.397560,700.311462,996.627747,270.764832,806.352356,693.238159,63.355888,,,,,,,,,
38,789.994812,671.732117,69.314438,738.166931,1033.966431,425.105591,792.677063,772.936523,125.428894,700.340027,996.635010,270.719635,806.382996,693.129883,63.387192,,,,,,,,,
39,790.081177,672.027527,69.620529,738.147888,1033.988647,425.038635,792.752136,772.926575,125.416840,700.387268,996.639587,270.728058,806.609375,693.211182,63.374859,,,,,,,,,
40,789.982056,671.813477,69.340294,738.270996,1033.979004,425.093353,792.783630,772.928345,125.407211,700.462952,996.658386,270.762390,806.571777,693.130432,63.416767,,,,,,,,,
41,789.945068,671.732910,69.261620,738.262512,1033.995728,425.016724,792.865173,772.940063,125.468376,700.518799,996.655396,270.735474,806.507446,693.090759,63.412197,,,,,,,,,
42,789.915161,671.697815,69.254318,738.303284,1033.994873,424.977814,792.867065,772.936035,125.471512,700.498962,996.609436,270.838348,806.513367,693.198303,63.309925,,,,,,,,,
43,789.910767,671.647156,69.316544,738.327637,1034.010742,424.975159,792.874878,772.965393,125.336761,700.533142,996.662964,270.744873,806.541382,693.254272,63.302391,,,,,,,,,
44,789.985413,671.717468,69.279945,738.407715,1034.014404,424.927124,792.938293,772.979919,125.365738,700.685486,996.665161,270.758057,806.565369,693.151306,63.325539,,,,,,,,,
45,790.247314,671.824463,69.255714,738.468994,1033.979004,424.983704,792.830872,772.928223,125.336433,700.255005,996.978943,269.732910,807.607239,692.864380,64.349419,,,,,,,,,
46,789.988953,671.678772,69.266304,738.538940,1033.920898,424.992828,793.019714,772.959656,125.236000,700.579407,996.727905,270.518372,810.401123,691.915588,67.139664,,,,,,,,,
47,789.916687,671.691284,69.309639,738.534424,1033.906128,424.969635,792.826965,772.907776,125.454437,700.770996,996.628052,270.840057,813.483276,690.753235,70.248436,,,,,,,,,
48,789.894592,671.703674,69.309784,738.623047,1033.909668,424.968018,792.720032,772.816345,125.540688,700.851624,996.664001,270.751862,815.045654,690.083557,71.839302,,,,,,,,,
49,789.881714,671.651001,69.331223,738.527466,1033.830688,424.816833,792.673828,772.771057,125.531845,700.890808,996.668274,270.744995,815.157410,689.990540,71.932732,,,,,,,,,
50,789.983215,671.703796,69.319946,738.537781,1033.821777,424.741852,792.743225,772.777283,125.541435,700.933167,996.669800,270.700714,814.614868,690.267029,71.399803,,,,,,,,,
