Präzision01162
Date:,2025/04/24
Time:,13:16:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,815.675781,728.721375,148.419800,798.066650,832.445496,150.231979,786.940491,1146.770142,383.466064,790.839478,712.195374,144.196869,,,,764.841675,1086.926147,174.570053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,814.686523,731.474243,151.989166,797.612793,835.835083,152.370804,786.900818,1148.448120,384.253571,789.562683,715.495483,147.275864,,,,764.934082,1090.158325,174.149017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,813.544617,734.520630,155.222458,796.867065,839.175354,154.520615,787.123230,1149.998657,384.789307,788.410583,718.536804,150.527328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,812.902527,737.741943,157.772537,795.801514,842.279114,156.959045,787.636353,1151.699707,384.930389,788.030029,721.784180,153.124847,,,,,,,765.028137,1096.798096,175.063644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,811.604126,741.129578,160.291489,795.212280,845.540222,158.889420,788.017456,1153.286499,384.974213,786.819214,725.074036,156.190277,,,,,,,765.120178,1100.235474,174.699402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,810.352966,744.402222,163.071991,794.381226,848.900330,160.930084,788.147583,1154.973389,385.193268,785.221863,728.489319,158.887466,,,,,,,765.435059,1103.759399,175.138245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,809.203979,747.765198,165.280548,793.704285,852.336548,162.768799,788.307007,1156.568115,385.776428,784.104187,731.574463,160.715469,,,,,,,765.262024,1107.370117,175.651276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,807.728638,751.035645,168.035843,792.802490,855.734436,164.630997,788.768433,1158.506836,385.976715,782.402405,735.354736,163.417953,,,,,,,765.093201,1110.812378,175.805084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,806.245178,754.171814,170.567627,792.066772,859.295959,166.258835,789.311035,1160.315308,386.122070,780.622437,738.728088,165.974243,,,,,,,765.924316,1114.244629,175.700562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,804.684875,757.714478,172.145905,790.767822,862.612610,167.993637,789.486206,1162.008179,386.368164,779.516479,741.991882,167.431870,,,,,,,765.961914,1117.601074,176.146042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,802.857605,761.193970,174.297806,789.850586,866.039246,169.304077,789.949280,1163.640381,386.699097,777.513977,745.594299,169.755615,,,,,,,766.041077,1121.148315,176.277252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,801.037170,764.666077,176.263718,788.707764,869.540283,170.693146,790.347046,1165.526855,386.904877,775.561401,749.218262,171.899460,,,,,,,766.470276,1124.620361,175.956223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,799.309021,768.063965,177.425186,787.607544,872.836548,171.758209,790.629822,1167.206421,387.094452,773.810730,752.594421,173.722168,,,,,,,766.828003,1127.887085,176.650314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,797.326233,771.144165,179.685349,786.146362,876.407104,172.983368,790.816528,1168.920288,387.677277,772.096558,756.226624,175.155121,,,,,,,767.062134,1131.343872,176.904404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,795.895447,774.304626,181.578964,784.728699,879.865601,174.213287,790.667847,1170.614746,387.875885,769.535583,759.994568,176.888123,,,,,,,767.143860,1134.766724,176.777466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,793.650330,777.872253,182.351257,783.423157,883.330994,175.514282,791.525024,1172.362549,388.371002,767.621277,763.450439,177.873688,,,,,,,767.630249,1138.100464,176.876694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,791.103516,781.409607,183.646744,782.165100,886.454224,176.812057,792.101807,1174.109741,388.403442,765.766724,767.018188,179.216522,,,,,,,768.023804,1141.528687,177.547806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,789.470703,784.838440,184.440002,781.172607,889.725281,177.660004,792.363708,1175.680176,388.822174,763.470032,770.450928,180.108307,,,,,,,768.169434,1144.913940,177.932922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,786.965027,787.930237,185.970108,779.717041,893.282227,178.366394,792.856140,1177.395752,389.374725,760.978333,774.196472,181.123459,,,,,,,768.621765,1148.609131,177.602280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,784.629395,791.150391,186.678329,778.092102,896.777466,178.879440,793.400208,1179.145386,389.471191,758.694519,777.786987,182.603836,,,,,,,768.625977,1151.981934,178.378525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
