Präzision40
Date:,2025/04/16
Time:,14:29:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,793.611023,682.813171,79.185730,694.391968,1110.383301,360.288879,820.252686,702.865723,76.745964,694.185242,1020.803162,203.300873,792.229004,799.603149,95.255272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,793.528198,682.950684,79.536964,694.366150,1110.695068,360.312592,819.901367,703.498169,77.742882,693.822083,1021.316650,203.216309,792.131287,799.912659,95.401207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,793.484192,683.182068,80.187981,694.415466,1111.119995,360.320740,819.983032,703.595337,79.383690,693.516541,1021.870850,203.157394,791.805481,800.081299,95.796242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,793.182861,683.751282,81.531349,694.463379,1111.560913,360.329407,820.431458,703.885132,80.493752,693.414551,1022.425049,203.234573,791.389038,800.402893,96.971420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,793.030518,684.075928,82.569893,694.510742,1111.983398,360.428833,820.356506,704.372009,80.938614,693.259644,1022.941345,203.284882,791.040710,800.724548,97.819801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,792.725830,684.225891,83.633728,694.533508,1112.419800,360.482849,819.961853,705.088379,81.299423,693.215454,1023.639526,203.319305,791.030457,801.017273,98.211136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,792.664307,684.654236,84.370445,694.428894,1113.026855,360.582794,819.233826,705.667358,82.557289,692.891113,1024.734497,203.144089,790.593994,801.596375,99.023499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,792.267456,685.134949,86.297096,694.421021,1113.642578,360.482513,819.097656,705.847168,84.163643,692.592773,1025.833252,202.877350,790.241211,802.223145,99.868744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,791.735901,685.705017,88.312782,694.418335,1114.356567,360.446381,819.238708,705.864197,85.979294,692.316833,1026.599487,202.857208,789.886841,802.858826,101.339554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,791.663208,686.190002,89.277946,694.388611,1115.070923,360.592926,819.004578,706.135010,88.135590,691.921875,1027.451782,202.858536,789.844604,803.361633,102.726379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
