Präzision01140
Date:,2025/04/22
Time:,17:38:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,802.869263,754.523193,110.879387,729.248718,934.619141,228.967545,805.585999,658.040161,65.345169,736.529358,1018.863525,340.881683,833.704590,670.736816,63.510860,,,,,,,,,,,,,,,,,,,,,,,,
2,802.879028,754.561707,110.859512,729.264343,934.637939,228.938126,805.627441,658.094482,65.261330,736.473450,1018.856812,340.978210,833.672791,670.733093,63.544334,,,,,,,,,,,,,,,,,,,,,,,,
3,803.015381,754.486572,110.715889,729.219910,934.579285,228.851288,805.612610,658.119568,65.164970,736.482544,1018.856506,340.985718,833.669312,670.732117,63.549274,,,,,,,,,,,,,,,,,,,,,,,,
4,803.061523,754.481750,110.666618,729.055786,934.504456,228.851624,805.632996,658.110229,65.225502,736.496338,1018.853455,340.911224,833.717651,670.725769,63.570335,,,,,,,,,,,,,,,,,,,,,,,,
5,803.069763,754.482361,110.670235,729.202576,934.520874,228.798157,805.636658,658.155579,65.348244,736.464172,1018.851196,340.915466,833.745178,670.733276,63.584999,,,,,,,,,,,,,,,,,,,,,,,,
6,803.107605,754.479736,110.734421,729.184937,934.516418,228.842880,805.679199,658.138733,65.382179,736.493835,1018.842407,340.941315,833.792297,670.729370,63.611065,,,,,,,,,,,,,,,,,,,,,,,,
7,803.058228,754.480835,110.702209,729.184204,934.521851,228.855331,805.634277,658.093140,65.283760,736.392395,1018.849548,340.982452,833.726318,670.719177,63.590412,,,,,,,,,,,,,,,,,,,,,,,,
8,803.127075,754.447937,110.726517,729.165466,934.527039,228.868393,805.639648,658.097229,65.348389,736.349243,1018.743225,340.925812,833.747742,670.724121,63.546398,,,,,,,,,,,,,,,,,,,,,,,,
9,803.120667,754.463684,110.762245,729.180603,934.520020,228.898682,805.646790,658.039307,65.310898,736.356934,1018.843140,340.921387,833.736755,670.723511,63.570019,,,,,,,,,,,,,,,,,,,,,,,,
10,802.908997,754.556396,110.846466,729.154602,934.514893,228.864502,805.661682,658.106506,65.269829,736.360840,1018.871643,340.924194,833.633423,670.757324,63.548820,,,,,,,,,,,,,,,,,,,,,,,,
