Präzision01162
Date:,2025/04/24
Time:,14:08:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,750.671814,856.450195,202.717743,736.766174,750.118591,160.113678,764.122070,764.428833,163.918518,716.001160,1123.105225,266.677917,749.854858,1133.418213,468.055420,,,,,,,,,,,,,,,,,,
32,748.080872,859.627075,203.936447,734.153198,753.080566,160.646713,761.720947,767.919250,164.773529,,,,749.760071,1135.399170,468.738770,,,,,,,,,,,,,,,,,,
33,746.395386,862.178345,203.736237,731.717163,756.337830,161.127869,758.916077,770.995789,165.442688,,,,749.807617,1137.148071,469.395782,714.678772,1129.890747,268.537445,,,,,,,,,,,,,,,
34,744.080627,865.675781,205.295746,728.706909,759.847229,161.751068,756.485657,773.750122,165.536255,,,,749.816040,1139.088745,469.974854,714.508362,1133.193481,269.377716,,,,,,,,,,,,,,,
35,741.431702,869.013062,206.181885,725.853149,763.090454,162.369583,753.596375,777.058960,166.341202,,,,749.924133,1140.989624,470.678528,713.698547,1136.609741,270.389252,,,,,,,,,,,,,,,
36,738.896301,872.036560,207.054031,723.031067,766.676392,162.729584,750.339905,780.646423,167.285294,,,,750.116455,1143.096802,471.258423,713.153442,1139.768921,271.036438,,,,,,,,,,,,,,,
37,736.785706,874.918701,207.588287,719.777222,770.031555,163.203369,747.656921,783.756470,167.196426,,,,750.173950,1144.881592,471.895660,712.381836,1143.165405,271.516663,,,,,,,,,,,,,,,
38,734.327209,878.485596,208.075134,717.159729,773.444946,163.559891,744.710083,786.382629,167.900223,,,,750.398560,1146.530640,472.279785,712.148987,1146.593628,272.544434,,,,,,,,,,,,,,,
39,732.035339,881.898438,208.814713,714.133545,776.679565,163.065277,742.113098,789.879395,167.812759,,,,750.372253,1148.362183,473.052246,712.054688,1149.645630,273.439392,,,,,,,,,,,,,,,
40,729.632202,884.759583,209.203903,711.208679,779.981323,163.374268,739.100220,793.313843,168.485641,,,,750.581604,1150.189087,473.765869,,,,,,,,,,,,,,,,,,
