Präzision41
Date:,2025/04/16
Time:,14:29:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,795.688232,683.986816,76.785027,701.774231,1022.657288,202.469315,796.307556,801.095215,93.089844,697.142090,1113.710938,358.563995,814.348328,708.228394,66.165031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,795.326172,683.765686,76.972313,701.809570,1022.645752,202.533447,796.280823,801.071350,93.044266,697.142090,1113.710938,358.563995,814.312744,708.209656,66.148468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,795.617737,683.855469,76.869453,701.753906,1022.625854,202.572281,796.306641,801.075012,93.033585,697.127197,1113.705933,358.571625,820.799500,705.572998,71.689362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,796.059143,684.124329,76.677681,701.796814,1022.636353,202.588364,796.247192,800.868103,93.358185,697.106750,1113.635376,358.497894,823.661072,704.322510,74.586296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,796.135010,684.180359,76.588806,701.822754,1022.556519,202.565292,796.205688,800.815857,93.472076,697.077698,1113.613403,358.520233,823.651062,704.311401,74.612785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,796.077698,684.122009,76.688690,701.787720,1022.524231,202.581161,796.305481,800.925903,93.258553,697.053101,1113.609009,358.525604,823.026062,704.548584,74.007195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,796.103027,684.183044,76.664131,701.744141,1022.523743,202.569275,796.326294,800.871277,93.294937,696.999084,1113.626709,358.484070,822.811707,704.658630,73.696686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,796.091187,684.045166,76.717094,701.739685,1022.527161,202.565826,796.280518,800.823547,93.373215,697.012268,1113.631836,358.465607,822.591370,704.668518,73.514343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,796.140137,684.063599,76.719162,701.677002,1022.541504,202.529678,796.295166,800.850403,93.407700,697.007324,1113.624390,358.466919,822.806519,704.646606,73.685013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,796.120667,684.037598,76.723282,701.682373,1022.539795,202.516235,796.274597,800.833374,93.387932,696.987305,1113.617065,358.479858,822.927124,704.633484,73.700211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
