Präzision25
Date:,2025/04/16
Time:,10:47:36
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,777.860229,687.503174,45.845684,831.003174,1068.378906,346.462982,807.278381,695.432251,50.064342,799.478638,790.241394,94.991577,791.940552,993.398560,224.999329
2,777.782532,687.494690,45.904221,831.017273,1068.388794,346.494354,807.141296,695.307312,50.190853,799.396729,790.350037,95.501381,791.761353,993.392700,225.017990
3,777.694946,687.473572,45.957619,831.036926,1068.373901,346.533142,806.998779,695.190308,50.122963,799.223083,790.270508,95.463318,791.631042,993.368896,224.943924
4,777.568909,687.498047,46.021881,831.065796,1068.363892,346.496063,806.898438,695.255432,50.383789,799.079529,790.222473,95.363731,791.505737,993.345947,224.873932
5,777.487183,687.606384,46.040363,831.026855,1068.374512,346.510742,806.705627,695.140442,50.679531,799.049683,790.174438,95.587669,791.328735,993.430115,224.916718
6,777.407898,687.611633,46.088600,831.029175,1068.358032,346.643158,806.772034,695.552307,51.139526,798.936523,790.167053,95.555130,791.186829,993.448059,225.015335
7,777.265137,687.730408,46.244648,831.000732,1068.356079,346.671661,806.436584,695.311768,51.220268,798.784851,790.200684,95.746872,791.022278,993.569702,225.065231
8,777.140381,687.779541,46.350460,831.120667,1068.380615,346.721191,806.264465,695.092102,51.479340,798.817261,790.240356,96.105301,790.870361,993.757935,225.119308
9,777.338318,687.816833,46.500114,831.217102,1068.336060,346.852997,806.250244,695.141174,51.988029,798.658386,790.268494,96.360176,790.789124,994.010681,224.899704
10,777.731689,687.830444,46.576862,831.323242,1068.464844,346.801361,806.091858,695.517395,52.506401,798.578552,790.400085,96.628677,790.809692,994.237244,224.865097
11,777.762878,687.898621,47.543980,831.326538,1068.531494,346.914337,805.897522,695.649170,52.902901,798.457947,790.507996,96.982445,790.655762,994.453125,224.967407
12,777.006104,688.084045,48.935417,831.316650,1068.550415,347.160736,805.779602,695.693115,53.292038,798.323181,790.650635,97.520004,790.417908,994.739929,225.092636
13,776.670227,687.932129,49.756325,831.401367,1068.646240,347.298370,805.977600,695.188110,54.290108,798.141907,790.781433,98.411987,790.383728,995.071411,225.250031
14,776.647034,687.771667,50.642624,831.536987,1068.885498,347.274750,806.207886,694.678711,55.691978,798.086670,790.834595,99.272202,790.359131,995.375305,225.420914
15,777.100098,687.457581,51.536060,831.705994,1069.022217,347.323212,805.954285,694.416809,57.245296,798.146301,791.027710,99.621048,790.304749,995.715820,225.536179
16,777.281677,687.505859,52.554443,831.737671,1069.262451,347.446747,805.879150,694.743896,58.580170,798.195984,791.198303,100.077454,790.258423,996.065247,225.632431
17,776.332581,687.718384,54.466118,831.810303,1069.507813,347.424530,805.572021,695.166443,59.375526,798.117981,791.145508,101.112122,790.059387,996.534729,225.842850
18,775.735474,687.461365,55.890881,831.966309,1069.906494,347.530212,805.263123,694.947571,60.666187,797.901733,791.361084,102.186607,789.778076,997.184937,226.062515
19,776.163208,687.226196,56.748947,831.680603,1070.197998,347.744049,805.105042,694.604126,62.716934,797.571350,791.541443,103.551926,789.485840,998.081116,226.401733
20,775.835205,687.553101,59.513447,831.657104,1070.733032,347.920471,805.203613,695.085510,64.723137,797.463440,791.563110,104.685501,789.354309,998.891907,226.615417
21,775.459839,687.412720,61.507832,831.817139,1071.545532,348.057312,804.543701,695.177124,66.433174,797.608643,791.836426,105.873047,789.360718,999.649231,226.547241
22,775.914246,687.377869,62.518780,832.057739,1072.115723,348.143311,804.587769,694.627991,68.677383,797.561279,792.092529,107.657173,789.124268,1000.495178,226.666443
23,775.890259,687.728455,65.400070,832.160217,1072.736694,348.324860,804.704834,694.726379,71.126083,797.117371,792.226501,109.150909,788.955017,1001.701294,227.172760
24,775.513855,687.564514,67.727829,832.218506,1073.504639,348.641937,804.402832,694.873352,73.669243,797.221863,792.754883,111.142166,788.909241,1002.767273,227.613342
25,775.440063,687.845459,69.952728,832.421387,1074.772461,348.876892,804.764587,694.660828,75.982986,797.488647,793.338074,113.040230,789.188660,1003.578003,228.002014
26,775.265991,687.840088,73.099693,832.700256,1075.806030,348.912384,804.231445,695.330200,78.783180,797.018982,793.812256,115.104286,789.172791,1004.885498,228.237015
27,775.533508,687.897583,75.107559,832.845947,1076.743164,348.993713,804.469055,695.204590,81.348930,797.034790,794.426208,116.727310,789.308777,1006.144592,228.574127
28,775.314636,688.355225,78.533524,832.907837,1077.985840,349.268250,804.150574,696.005188,84.303101,796.850464,794.588318,119.351585,789.252502,1007.564514,229.226395
29,775.397156,688.602783,80.987122,832.832764,1079.145996,349.749969,804.412781,696.055054,87.079109,796.769531,794.957397,120.863503,788.695496,1009.175903,229.980804
30,775.538757,689.032104,84.269684,832.711731,1080.125732,350.178314,804.305359,696.547974,90.314934,796.509827,795.966431,123.508072,788.450867,1010.366333,230.075745
31,775.511536,689.543091,86.970322,833.048523,1081.441040,350.669983,804.334473,696.433411,93.231392,796.519470,796.251709,125.985695,788.214844,1011.908936,230.347794
32,775.836792,689.826111,90.066536,833.218689,1082.973389,350.865326,804.376160,696.907043,96.759407,796.112915,797.414673,128.589661,788.004089,1013.296997,230.842941
33,775.707947,690.079468,93.321762,833.549805,1084.263672,350.850494,804.528748,697.268799,99.844223,796.242371,798.015869,131.253433,787.639160,1015.083801,232.022842
34,775.683472,690.589172,96.730484,833.646545,1085.836426,351.419525,804.274292,698.256409,103.115379,795.992188,798.994690,133.746689,787.078247,1016.905884,232.798645
35,775.303101,691.465759,100.450920,833.654053,1087.181519,351.765045,804.103027,699.031677,106.356598,795.968872,799.792175,135.913956,786.923401,1018.699219,232.940216
36,775.199219,692.354248,103.877457,833.436035,1088.589233,352.112793,804.031189,699.939697,109.469109,795.716675,800.702942,139.036316,787.019836,1020.388672,233.044449
37,775.496948,692.991882,107.462914,833.139771,1090.131348,352.657532,803.675049,700.833984,112.919090,795.211609,802.100037,141.662277,787.005188,1022.466858,233.252747
38,775.549194,693.720276,110.724899,833.199219,1091.627563,353.037567,804.041199,701.668396,116.494820,795.192871,802.958557,144.686279,786.432495,1024.493042,234.611130
