Präzision01164
Date:,2025/04/28
Time:,14:05:46
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,820.035095,768.208069,97.584091,870.011780,974.085266,236.286591,985.908386,948.612854,392.415924,819.031494,685.637878,42.632362,799.285767,687.619690,27.817892
2,819.939941,768.322327,97.605606,869.648804,974.120422,236.459381,985.738037,948.940796,392.414368,818.887207,685.700928,42.638428,799.101501,687.546814,27.973124
3,819.811523,768.343018,97.673317,869.354614,974.318420,236.274139,985.600220,949.258606,392.652374,819.031250,685.623779,42.815151,793.340393,672.422546,37.414330
4,819.656006,768.402710,97.878990,869.225098,974.444946,236.301941,985.474243,949.573853,392.721558,818.807068,685.734985,42.674911,791.949219,669.959473,39.926750
5,819.515625,768.467896,98.021034,869.014526,974.583740,236.302856,985.288147,949.878723,392.791534,819.089844,685.700439,42.909943,792.850098,671.881531,38.527374
6,819.408447,768.666382,98.129196,868.753418,974.604797,235.957413,985.180420,950.058228,392.647278,819.224426,685.690857,43.074810,793.669434,672.968262,37.305679
7,819.360168,768.757996,98.338219,868.360779,974.731567,236.912155,985.099670,950.364807,392.764679,819.301697,685.791748,43.199436,793.921448,673.227112,37.079548
8,819.283325,768.919434,98.485207,867.884216,974.984070,237.543686,985.027649,950.609375,392.871307,819.521912,685.877136,43.413445,794.005859,673.287781,37.258785
9,819.309326,769.180786,98.835106,867.351135,975.326233,238.085922,984.968140,950.889526,393.102905,819.661987,686.049011,43.605679,794.227539,673.376587,37.455368
10,819.445251,769.423218,99.172379,866.952942,975.695984,238.482651,984.893616,951.319702,393.483612,819.699097,686.483459,43.759689,794.596130,673.738281,37.704552
11,819.526917,769.807800,99.610458,866.479431,976.273499,239.322510,984.703064,951.956299,393.883545,820.157166,686.980286,44.156773,795.204895,674.158936,38.191448
12,819.589111,770.264160,100.398254,866.015381,976.573914,239.580841,984.550293,952.495789,394.397675,820.718262,687.632507,44.558876,795.302063,674.663574,39.164089
13,819.723450,770.791870,100.810669,865.812561,977.025940,239.895782,984.678833,952.923279,394.713104,821.164185,688.421753,44.910389,795.755554,675.080200,40.344181
14,819.884705,771.280762,101.312561,865.533081,977.805908,240.354324,984.399292,953.477234,395.200348,821.412231,689.363464,45.062191,796.127319,675.854004,40.989010
15,819.954407,771.835938,101.964981,865.104004,978.848694,240.902161,984.199158,953.895020,395.973053,822.328857,689.444702,45.983921,796.665527,676.194824,41.361977
16,820.004211,772.843811,102.423004,864.823669,979.690002,241.685791,983.840149,954.189209,396.727661,823.262634,689.694641,47.213947,797.609375,677.053650,41.479118
17,819.875610,773.803345,104.043121,864.826599,980.414795,242.559982,983.598816,954.861511,397.234711,823.636841,690.841003,48.514275,798.577454,677.273193,42.525913
18,819.881104,774.671448,105.323715,864.247070,981.805298,243.630066,983.378357,955.602112,397.478149,823.865540,692.275208,49.507423,799.079590,678.078552,44.302486
19,820.141235,775.486816,106.529854,863.726563,983.087952,244.366653,983.290955,956.285645,397.762543,824.189453,692.717957,50.650185,799.146301,679.030884,45.925030
20,819.986084,776.851563,108.018753,863.281372,984.354431,245.387299,983.124451,956.892578,398.207916,824.475891,693.431458,52.950573,799.458862,679.820251,47.270374
21,819.756042,777.831299,109.701622,863.108521,985.937622,246.448486,982.824463,957.763245,398.767395,824.635315,695.079895,54.654964,800.013672,680.862549,49.057545
22,819.521057,778.853943,111.604034,863.027588,987.323975,247.694519,982.692078,958.797424,399.295105,824.800781,696.304443,56.229156,799.833801,681.801697,51.243343
23,819.063660,780.431946,113.441887,862.528687,989.213196,248.838898,982.581360,959.949402,400.150848,824.927490,697.027405,58.811668,799.850830,682.752258,52.776417
24,818.795166,781.790405,115.532684,862.197815,990.917419,249.638718,982.194763,960.757813,400.807617,825.135132,698.541138,61.320599,799.330200,684.258850,55.937546
25,818.283203,783.102295,117.317902,861.559082,993.068604,250.770218,981.745789,961.833008,401.367798,824.585327,699.876404,63.497383,799.330017,685.289185,57.999432
26,817.642700,784.964539,120.116234,861.301147,994.862427,251.991562,981.527710,963.109497,401.854156,824.034058,701.232666,65.884148,798.546997,686.603394,60.815094
27,816.778015,786.192810,122.067574,860.684814,996.922546,253.332413,981.328979,964.035645,402.192902,822.953186,702.928467,68.500923,798.354858,688.068298,63.439041
28,816.022644,788.282410,124.721886,859.691345,999.404846,255.225311,981.161560,965.260132,403.046356,822.705688,704.351257,70.812080,797.707275,689.577393,66.021019
29,815.290894,789.747314,127.179184,859.274902,1001.541321,256.568329,980.670715,966.665222,403.815125,822.105225,705.728821,74.292831,796.375183,691.061890,69.022293
30,814.113037,791.830933,129.575470,859.101440,1003.748596,258.006226,980.122681,967.775146,404.562683,820.910522,707.512817,76.985512,795.956909,692.954163,72.097290
31,813.099609,793.861816,132.347580,858.719910,1006.252625,259.734161,979.585815,969.166199,405.126556,820.192993,709.334229,79.675087,795.255981,694.570496,74.570465
32,812.173950,795.829773,134.742386,858.254150,1008.768860,261.243103,979.122742,970.500916,405.613434,818.739563,711.268738,82.650787,793.961121,696.644470,77.541145
33,810.969177,797.962952,137.880508,857.759094,1011.268982,262.499512,978.816101,971.725586,406.481171,818.055298,713.118591,86.109451,793.085022,698.324524,80.380173
34,809.406433,800.231995,140.660416,857.112000,1013.944946,263.814667,978.480530,973.360718,407.554382,817.167664,714.862366,89.002274,791.987000,700.467102,83.676277
35,808.243042,802.322876,143.259308,856.580688,1016.694519,265.505127,978.166687,974.474426,408.289581,815.315430,717.462585,91.515259,790.607788,702.477539,86.543648
36,806.623779,804.898132,145.719437,855.602722,1019.273804,267.617004,977.824036,975.881348,409.052368,813.482300,719.623108,94.679123,788.867798,704.912659,89.599411
37,805.186096,806.869690,148.991058,854.647278,1021.879456,269.631165,977.566040,977.354370,409.952667,811.824158,721.668274,98.362091,787.542175,706.921143,92.525986
38,803.131958,809.584229,151.850479,854.662720,1024.306396,271.730042,977.411194,978.834351,411.036835,810.810486,724.329712,100.786125,786.120789,709.383789,95.434990
39,801.542053,812.061035,154.582367,854.230835,1027.090332,273.080841,977.260132,980.352661,412.059357,809.656006,726.173523,103.590508,784.061279,711.800903,98.089302
40,799.760132,814.444214,157.253174,852.379272,1030.243652,275.649963,976.944580,981.626465,412.971069,807.045105,729.298889,106.364044,782.463684,714.390869,100.727509
