Präzision01163
Date:,2025/04/24
Time:,13:16:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,804.984619,775.777527,95.760208,821.946960,677.556030,60.876625,787.761780,1119.997925,381.467224,774.083435,1024.698486,179.556808,801.156189,678.981079,45.631622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,804.985901,776.884155,96.690422,822.608948,677.508606,61.856449,787.931213,1120.899170,381.392181,773.879700,1026.344360,179.489105,795.627686,662.837402,58.596157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,804.964233,778.513550,97.633781,822.489441,679.919128,64.394936,788.105530,1121.910767,381.314117,773.610168,1028.328979,178.969238,796.012939,664.268799,60.512440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,804.887573,780.040466,98.927086,822.759155,681.272949,66.320549,788.239746,1122.930176,381.261719,773.330811,1030.092529,178.252075,796.630371,665.410217,62.301323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,805.207031,781.066040,100.429688,822.703369,682.569092,68.343575,788.360474,1123.955078,381.189270,772.939453,1032.004395,178.279160,796.260925,666.272461,64.964478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,805.448364,783.049072,102.634323,823.008728,683.919556,70.334663,788.447815,1124.997192,381.373199,772.589417,1033.716553,178.369217,796.935913,667.772034,67.148445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,805.253235,784.729858,103.968613,823.335205,685.355896,72.846832,788.630188,1126.125244,381.538757,772.693420,1035.908081,178.255203,797.386353,669.143066,69.109955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,804.950562,786.759216,106.066666,823.137939,687.037598,75.792435,788.897339,1127.484985,381.248901,772.574219,1038.189331,177.326096,797.517578,670.893066,72.038239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,805.332581,788.236145,107.386520,823.729736,688.957275,77.864281,789.160889,1128.663696,381.514435,772.577881,1040.294312,177.074615,797.835632,672.702515,74.454788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,805.512146,790.163147,108.781464,823.724304,690.287842,80.730415,789.274719,1129.902832,381.577301,772.289490,1042.863159,177.299789,798.086060,674.164673,76.908348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,805.277466,792.113770,111.077827,824.180969,692.282349,83.415276,789.373779,1131.211060,381.338623,771.904297,1045.217407,177.040405,797.966919,676.093689,79.965027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,805.210388,794.334167,113.214012,824.227844,693.791260,86.261696,789.345825,1132.441040,381.483154,771.439331,1047.632202,176.852203,797.874329,677.739685,82.805412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,805.341431,796.427490,115.261864,824.097229,695.835693,89.066887,789.239258,1133.701538,381.825836,771.127930,1050.258789,177.043762,797.713013,679.434998,85.750641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,804.951904,798.729980,117.275650,823.936401,697.538818,92.396385,789.633179,1135.020142,381.968567,771.296448,1052.666382,176.596436,797.698486,681.481567,88.421425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,804.524841,800.886719,118.692719,823.924377,699.992065,94.908913,789.782776,1136.463013,381.985992,771.473328,1055.298706,175.961929,797.749512,683.836670,91.316177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,804.366882,803.163330,121.337753,823.308289,701.812622,97.663704,790.167480,1138.014526,381.662933,771.006592,1058.008911,176.265198,797.835388,685.874878,94.096542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,804.447388,805.387024,123.975830,823.575317,704.274658,100.693115,790.417603,1139.585205,381.534485,770.702271,1060.551514,176.447342,797.310486,687.899231,96.539146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,804.107117,807.813965,125.476372,822.907776,706.136108,103.666191,790.592773,1141.050049,381.586060,770.673950,1063.297852,176.049957,797.322815,690.066956,99.878685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,803.599609,810.462646,127.008362,823.112732,708.784119,106.811409,790.726868,1142.694092,381.868958,770.636292,1066.196899,175.574142,796.455200,692.587280,103.264542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,803.300842,812.839905,129.267166,822.584839,710.703552,109.695168,791.028442,1144.314819,382.080017,770.208008,1068.935547,175.748230,796.546509,694.740906,106.369362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
