Präzision01165
Date:,2025/04/23
Time:,14:09:13
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,826.038452,792.429077,101.228577,801.906616,680.986023,65.042625,829.393555,692.378967,71.376373,802.880249,1057.528809,202.710144,828.880371,1112.667114,347.285858,,,
2,826.012878,793.283020,103.175941,801.417847,681.667114,67.755722,829.328796,693.316406,72.971985,802.522217,1058.851318,202.927597,829.325439,1113.327271,347.340454,,,
3,825.624634,794.070007,105.219696,801.511841,682.063843,70.625397,829.185120,693.980042,75.700272,802.254089,1060.161499,203.153091,829.199463,1114.272705,347.878784,,,
4,825.267456,794.731140,107.528755,801.068115,682.836304,73.204803,829.179260,694.789246,78.563965,802.115417,1061.757690,203.264343,829.083923,1115.264893,348.408051,,,
5,825.069275,796.061829,109.729004,801.147156,683.797607,76.214638,828.918762,695.580933,81.553505,801.993469,1062.989380,203.493713,829.198242,1116.177856,348.564209,,,
6,824.810913,797.224792,112.285736,800.554504,684.817749,79.393715,828.446777,696.010803,85.129356,801.584290,1064.706909,203.792068,829.388489,1117.118286,348.628265,,,
7,824.453125,798.179688,114.552811,800.054749,685.496887,83.113464,827.854187,697.312256,87.864594,800.833801,1066.354736,204.212646,829.696472,1118.119385,348.703430,,,
8,824.253540,799.608521,117.195168,799.853943,686.555542,86.338043,827.321533,698.456360,91.791840,800.342163,1068.137695,204.356995,829.909607,1119.334106,348.755310,,,
9,823.405396,800.944031,119.737366,799.344849,687.642517,90.426575,826.814331,699.606323,95.115265,800.152161,1069.925415,204.438339,830.084595,1120.445068,348.966888,,,
10,822.755005,801.979431,122.524063,798.327148,688.874939,94.532394,826.534424,700.399475,98.863647,800.141785,1071.609497,204.591690,830.091248,1121.725342,349.471344,,,
11,822.613098,803.793945,125.517204,797.735840,690.035278,98.244926,825.532166,702.193604,102.346069,799.967957,1073.505371,204.657211,829.916504,1123.021484,349.749146,,,
12,821.714172,805.274231,128.211197,796.696411,691.188965,102.096710,824.574951,703.523621,106.237465,799.520020,1075.750000,204.970139,829.744019,1124.228516,349.851532,,,
13,820.983582,806.889771,131.048523,795.929749,692.199341,106.507988,823.727783,705.214294,110.317390,799.138062,1077.751831,205.216537,829.643738,1125.571045,350.138306,,,
14,820.178345,808.767029,134.723862,794.932007,694.294250,110.156914,822.519714,705.963135,114.500961,798.852783,1080.026245,205.506760,829.581604,1126.960815,350.746399,,,
15,819.389648,810.081238,137.316116,794.130737,695.497559,114.268936,821.323547,707.093933,118.691032,798.599792,1081.942871,205.406982,829.682129,1128.551025,350.768951,,,
16,818.719055,812.239380,140.058762,792.630737,697.390686,118.488121,820.948547,708.696716,122.373489,798.205078,1084.210083,205.847244,830.021362,1130.110840,350.809204,,,
17,818.101196,813.821350,143.505341,792.179749,698.821655,122.289810,819.556763,711.066956,125.891869,797.877136,1086.501343,206.146683,829.880615,1131.476318,350.985809,,,
18,817.149353,816.109558,146.005310,790.967773,701.193848,126.513474,819.148376,712.302002,130.620377,797.921448,1088.584106,206.859711,829.914063,1132.898193,351.469727,,,
19,815.968628,817.690369,148.877121,789.570984,702.924316,130.762909,818.140991,714.290405,134.208466,797.492004,1091.383301,207.038528,830.101868,1134.369385,351.769073,,,
20,815.323303,820.016174,152.493073,788.741028,704.933350,134.567734,816.822693,716.209167,138.160599,797.027771,1093.922607,206.620346,830.195496,1135.999756,351.941528,,,
21,814.102539,822.023132,154.886459,787.228516,706.813843,138.586945,815.531433,718.344543,142.072845,796.661255,1096.014282,207.003799,830.573120,1137.581055,352.046936,,,
22,813.057678,824.415894,157.399597,786.426208,708.546997,142.466202,813.709656,720.393005,145.372223,796.229736,1098.611572,207.876740,830.690857,1139.388550,352.119446,,,
23,811.774780,826.542419,160.117203,784.565186,710.994751,145.894073,812.664673,722.397766,149.393692,795.494141,1101.097290,208.698532,830.542725,1140.989624,352.546051,,,
24,811.222229,828.784912,163.030701,783.189209,712.880493,149.814056,811.134949,724.616089,152.352890,795.125916,1103.682007,208.612152,830.373901,1142.504272,352.811249,,,
25,809.964966,831.058044,165.628815,781.637939,715.369629,153.519363,809.667847,726.959412,155.407043,795.271240,1106.538086,208.213120,830.625366,1144.077515,353.238800,,,
26,808.780579,833.548706,168.099121,780.517822,718.045410,156.725204,808.710815,729.174133,158.965927,795.149475,1109.047119,208.710114,831.075745,1145.533325,353.390106,,,
27,807.255371,836.187378,170.110092,779.045654,720.264465,159.779907,807.585876,731.415405,162.812637,,,,831.478210,1147.271240,353.467438,,,
28,806.118896,838.132446,172.583664,777.428589,722.701416,163.285568,805.934814,733.606750,166.153122,,,,831.267029,1148.712036,353.698212,793.894653,1113.942871,210.494522
29,804.703125,841.037598,174.848465,775.897766,725.204468,166.507462,804.291016,736.240234,168.457779,,,,830.971313,1150.360474,354.436310,793.956665,1116.825684,210.332443
30,803.273438,843.483643,176.871613,774.536255,727.582458,169.590530,803.220398,738.850403,171.043869,,,,830.911499,1151.750854,355.038361,793.941101,1119.460938,210.537903
31,801.638062,845.919556,179.171982,772.975952,730.268494,172.499207,800.827209,741.457275,173.310425,,,,830.943359,1153.731323,355.048462,793.323730,1121.931885,210.969925
32,800.208862,848.666931,180.813095,770.914185,732.920105,174.896683,799.366882,744.181763,175.860489,,,,831.429138,1155.157471,355.308136,792.861206,1124.487915,211.893188
33,799.176575,850.970215,182.458344,769.127686,735.640686,177.382553,797.539063,746.150574,178.841873,,,,831.532959,1156.703979,355.521118,792.708130,1127.081299,212.607513
34,797.419983,853.662964,184.233429,767.287476,738.092834,179.703796,795.980652,748.688416,180.656265,,,,831.602417,1158.184326,355.868652,792.445862,1129.741943,212.962326
35,796.403076,856.299866,185.842682,765.380676,740.551514,181.797882,794.319641,751.413818,182.867004,,,,831.793457,1159.758789,355.886566,792.395691,1132.346558,213.413757
36,794.999939,858.773743,187.255005,763.612915,743.330261,184.453323,792.237854,754.264343,185.206146,,,,832.240051,1161.482178,356.416656,792.209412,1135.017456,213.757523
37,793.620544,861.352478,188.547668,761.747375,745.853821,186.048996,790.523438,756.669617,186.761673,,,,832.592590,1162.897827,356.933197,792.188293,1137.416748,214.116913
38,792.524902,863.809265,190.227402,759.935242,748.574890,187.947250,788.550293,758.970215,188.056427,,,,832.549500,1164.403076,357.325165,791.776428,1139.876709,214.797333
39,790.533508,866.143494,191.453293,757.825684,751.343994,189.133408,786.052673,761.589355,189.853882,,,,832.263672,1165.913452,357.554413,791.517639,1142.658325,215.447510
40,788.966003,869.042297,192.984207,755.695007,754.018066,190.258423,784.825073,764.171692,190.618027,,,,832.380371,1167.367432,358.132507,791.515076,1144.952393,215.973495
41,787.140198,871.370789,194.056976,753.504517,756.632690,192.056534,782.560425,766.466919,192.770203,,,,832.845398,1168.858398,358.939056,791.291687,1147.421997,216.426437
42,785.916016,873.933167,194.626801,751.272888,759.437378,193.269760,780.146912,769.364502,193.486420,,,,832.823242,1170.278320,359.487854,790.884216,1150.001587,217.205276
43,784.686340,876.582214,195.456940,749.284302,762.216187,194.056778,778.145142,771.878906,193.990570,,,,832.704834,1172.103760,359.821838,791.081238,1152.619385,217.204941
44,783.290161,878.974670,196.212433,747.293762,765.174072,194.829712,776.251831,774.365234,195.193832,,,,832.735718,1173.310059,360.194305,790.648376,1155.046387,217.548660
45,781.652039,881.733093,196.444305,745.120117,767.807190,195.427612,773.642700,777.271606,195.410019,,,,832.971008,1174.678711,360.573547,790.881470,1157.055908,218.376907
