Präzision01160
Date:,2025/04/23
Time:,13:01:30
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,811.552063,765.714783,98.950546,851.481750,975.246033,248.914108,870.596130,1005.617432,334.215454,800.390259,675.576233,66.634232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,811.508423,765.656311,99.110474,851.542419,975.259583,248.847839,870.938965,1005.797607,333.639526,800.427551,675.287292,66.859009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,811.392456,765.542725,99.213470,851.480347,975.377258,248.931213,871.004578,1005.776367,333.958069,800.248962,675.344360,66.848450,773.073914,668.158020,58.406403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,811.292725,765.358154,99.516670,851.366516,975.399597,248.971527,870.922180,1005.833008,334.233307,800.011292,675.324402,66.796310,772.940857,668.181030,58.323589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,811.161926,765.394592,99.813683,851.323181,975.497375,248.925613,870.941101,1006.071594,334.206268,799.952698,675.214172,66.951775,772.741821,668.209595,58.328876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,811.144836,765.425964,99.804497,851.930481,975.946106,248.329056,871.100464,1006.295410,334.176605,799.755127,675.201111,66.931236,772.634827,668.325867,58.427135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,810.978638,765.358398,100.184875,851.634155,975.825745,248.659073,871.186707,1006.488770,334.230042,799.598511,675.239197,66.987869,772.456238,668.358643,58.402214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,811.007813,765.388306,100.374863,851.298767,975.805542,249.009430,871.242126,1006.605408,334.259827,799.463318,675.175537,67.083565,772.257874,668.405334,58.449173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,811.036865,765.402710,100.458641,851.221741,976.000977,249.136444,871.336487,1006.908447,334.253784,799.246521,675.287170,67.290169,772.169922,668.397461,58.431622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,811.005127,765.366455,100.534416,851.240784,976.232605,249.152435,871.548950,1007.261597,334.258667,799.093872,675.347900,67.400398,772.086060,668.401672,58.501087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,810.848145,765.330139,100.818138,851.266541,976.467346,249.164124,871.777893,1007.596436,334.260040,799.020386,675.419434,67.470695,772.054688,668.394531,58.547062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,810.770508,765.365784,100.933983,851.273621,976.763916,249.198547,871.962769,1007.867065,334.114075,799.071655,675.326294,67.826561,771.965698,668.516357,58.657166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,810.758301,765.382996,100.986252,851.294983,977.121582,249.161957,872.209351,1008.285950,334.074738,798.958435,675.464966,67.770317,771.900879,668.537720,58.639767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,810.749756,765.430969,100.954613,851.347778,977.423767,249.275299,872.326050,1008.754517,333.994904,798.904724,675.617493,67.913345,771.842041,668.642090,58.781933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
