Präzision55
Date:,2025/04/22
Time:,15:47:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,789.378967,769.306824,158.543594,798.630981,870.104919,168.235825,788.343323,1126.985596,191.987335,783.479492,1193.159180,343.982758,755.029724,764.079285,147.928162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,787.978638,773.069763,161.839523,797.449158,873.966614,171.437286,788.134094,1130.897705,192.640411,783.397217,1195.987183,344.661041,753.526123,768.119324,151.708862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,786.319519,777.262512,165.101868,796.243225,877.638672,174.333618,,,,783.925903,1198.221802,345.581085,752.044189,771.970032,155.584122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,784.503784,781.277649,168.553574,794.608398,881.409058,177.412674,,,,784.265747,1200.533936,346.698578,750.171509,775.852905,158.939789,787.797119,1138.101929,193.879074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,782.544800,785.394897,171.783325,793.237610,885.489441,180.052216,,,,784.275330,1203.287354,347.610718,748.236511,779.888733,162.106262,787.032593,1142.054810,195.397522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,780.596375,789.254395,174.894791,791.786621,889.610046,182.721222,,,,784.254883,1205.826538,348.352783,746.097717,783.973755,165.396393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,778.669922,793.108337,177.842514,790.234619,893.495239,185.085495,,,,784.343872,1207.922852,349.694763,743.819458,788.067261,168.704453,,,,786.894592,1149.718018,196.866226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,776.444153,797.014343,180.626480,788.320984,897.341858,187.781555,,,,784.298889,1210.659302,350.720276,741.635498,792.273743,171.301315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,773.940430,801.076050,183.183075,786.544861,901.426575,190.151062,,,,784.578003,1213.370361,351.676605,740.263672,796.382019,172.728592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,771.453735,805.125977,185.547165,784.792114,905.372803,192.383743,,,,785.119568,1215.375977,352.736084,737.919678,800.450989,175.327286,,,,,,,786.125549,1160.859375,199.574799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,769.445862,809.155640,187.601959,782.968201,908.898560,194.223984,,,,785.266479,1217.642944,353.916443,735.002136,804.403625,177.573746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,767.053223,812.997498,189.142990,780.683533,912.911377,195.968216,,,,785.157349,1220.353760,355.037750,732.337341,808.423035,179.219177,,,,,,,,,,785.438904,1168.534058,201.386139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,764.492981,816.804199,191.292480,778.445862,916.915100,197.673157,,,,785.332886,1222.720215,356.282043,729.772095,812.310120,181.510330,,,,,,,,,,785.534668,1172.210571,202.098434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,761.604370,820.774597,193.211807,776.347534,920.497131,199.233871,,,,786.383301,1224.593628,357.409943,727.102356,816.390564,182.491394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,759.096863,824.498352,194.295517,774.189575,924.303833,201.203644,,,,786.546021,1227.191040,358.392120,724.627808,820.499268,183.200455,,,,,,,,,,,,,785.074402,1179.304321,204.673264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,756.230774,828.398865,195.517899,771.844971,928.068665,202.531021,,,,786.592041,1229.601685,359.354797,722.355713,824.372009,184.253876,,,,,,,,,,,,,785.391907,1183.222534,205.414505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,753.284607,832.003662,196.702103,769.344360,931.742615,203.507187,,,,787.412842,1231.689697,360.389343,719.980408,828.211304,184.536362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,750.879456,835.683594,196.987396,766.754639,935.136780,205.055267,,,,788.359863,1233.944946,361.260345,717.057007,832.085754,185.557556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,747.920105,839.407227,197.619614,764.540161,938.649170,205.536301,,,,788.300842,1236.276245,362.501312,714.275391,835.752686,185.975998,,,,,,,,,,,,,,,,785.452026,1193.483154,207.887161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,745.447266,843.107056,197.873581,762.448425,942.185425,206.285370,,,,788.600830,1238.454712,363.447998,711.194275,839.512878,186.215805,,,,,,,,,,,,,,,,784.815125,1196.687988,209.069336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,742.515198,846.244324,198.043655,760.654541,945.420166,206.557587,,,,788.975769,1240.532471,364.523224,708.473511,843.252258,186.347824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,739.775024,849.706299,197.897675,758.176819,948.875000,207.120529,,,,789.800171,1242.558350,365.592926,705.643494,847.120361,186.416840,,,,,,,,,,,,,,,,,,,785.521484,1203.289917,210.702255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,736.741638,853.209778,198.176132,756.228027,951.853943,207.435822,,,,790.519287,1244.804077,366.585205,702.616394,850.898682,186.358261,,,,,,,,,,,,,,,,,,,786.132507,1206.059082,211.417923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,733.889038,856.543518,197.779449,754.004456,955.333496,207.481979,,,,790.885193,1246.826172,367.650818,700.011230,854.466553,186.011963,,,,,,,,,,,,,,,,,,,786.131836,1209.168457,211.981216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,730.986877,859.720337,197.521515,751.586243,958.454712,207.697662,,,,791.663330,1248.618896,368.626160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,728.075928,862.991760,196.660004,748.952087,961.567200,207.555222,,,,792.773132,1250.422852,369.467499,,,,,,,,,,,,,,,,,,,,,,,,,694.546509,861.419434,184.989731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,725.439819,866.281189,195.877350,746.832520,964.466431,207.392639,,,,793.213684,1252.070557,370.540131,,,,,,,,,,,,,,,,,,,,,,,,,692.052368,864.562805,183.654144,786.173340,1217.289673,215.034576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,722.569519,869.169678,195.195221,744.932922,967.207153,207.118317,,,,793.671387,1253.823608,371.318848,,,,,,,,,,,,,,,,,,,,,,,,,689.485413,868.036560,182.527191,786.741333,1219.564941,215.180130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,720.139832,871.804749,194.013367,743.179138,969.588318,206.376526,,,,794.530884,1255.370361,371.965332,,,,,,,,,,,,,,,,,,,,,,,,,686.498169,870.976318,181.984650,786.851440,1221.799438,216.009308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,717.766479,874.523682,192.438431,741.135376,972.381165,206.059723,,,,795.204224,1256.885376,372.898346,,,,,,,,,,,,,,,,,,,,,,,,,683.636780,873.817810,180.775024,786.561646,1224.222534,217.460281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,715.326599,877.379211,190.741653,738.202637,975.039307,204.973282,,,,795.435425,1258.499512,373.886475,,,,,,,,,,,,,,,,,,,,,,,,,681.538818,876.602539,179.062775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,712.998474,879.771851,189.078278,736.254272,977.286499,204.442123,,,,795.746094,1259.808594,374.523315,,,,,,,,,,,,,,,,,,,,,,,,,679.429260,879.125122,177.123230,,,,786.461121,1228.612915,218.787720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,710.855957,882.074402,187.358521,734.417297,979.271423,203.653870,,,,796.431824,1261.017456,375.002289,,,,,,,,,,,,,,,,,,,,,,,,,677.088806,881.790588,174.992523,,,,786.443481,1230.584229,219.540771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,708.381470,884.461670,185.707855,731.982056,981.594604,202.468246,,,,796.979004,1262.184692,375.656006,,,,,,,,,,,,,,,,,,,,,,,,,674.783630,884.179688,172.645203,,,,787.148560,1232.315674,220.247009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
