Präzision01163
Date:,2025/04/24
Time:,16:13:56
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,794.857849,664.643921,45.235222,829.066223,770.215637,86.717682,803.626160,1075.318115,381.772217,786.810913,993.321350,224.304230,819.230774,677.587891,45.347271,,,,,,
2,794.861694,664.664917,45.245342,829.026245,770.152283,86.839333,803.603149,1075.322266,381.785248,786.583374,993.435608,224.406555,819.294128,677.595337,45.376114,,,,,,
3,794.922546,664.742920,45.276360,828.943481,770.200134,86.901642,803.506287,1075.342041,381.665924,786.421875,993.417908,224.482483,819.296875,677.594788,45.464401,,,,,,
4,794.860352,664.631592,45.444748,828.886230,770.212891,87.024750,803.628723,1075.404175,381.822083,786.221252,993.459290,224.531891,819.248962,677.688599,45.557190,,,,,,
5,794.816467,664.578735,45.633835,828.768921,770.261719,87.269096,803.686646,1075.416382,381.868530,786.016724,993.541992,224.651230,819.276917,677.763672,45.886238,,,,,,
6,794.807434,664.724365,45.664352,828.885925,770.274475,87.189781,803.651184,1075.498657,381.881012,785.747437,993.708008,224.785355,820.090942,677.333557,46.838894,,,,,,
7,794.863892,664.729004,45.866905,828.648071,770.409363,87.654922,803.615295,1075.513428,381.901337,785.472900,993.927917,224.843094,820.726074,676.950134,47.648937,,,,,,
8,794.878906,664.855347,46.073528,828.495911,770.545532,88.115204,803.631958,1075.595093,381.907806,785.300110,994.199768,225.017807,820.901123,676.815735,48.283489,,,,,,
9,794.792603,664.919556,46.378723,828.440857,770.665100,88.627182,803.542297,1075.740112,381.808258,785.091431,994.603760,225.075180,821.189148,676.829651,48.848209,,,,,,
10,794.742371,665.003540,46.903744,828.254456,770.774231,89.699577,803.535217,1075.850586,381.800903,784.917053,995.123718,225.121475,820.770569,677.079163,49.504623,,,,,,
11,794.584290,665.192627,48.016968,827.829102,771.179199,90.631271,803.516052,1075.947144,381.829895,784.936218,995.677124,225.151184,820.241516,677.250916,50.352314,,,,,,
