Präzision01162
Date:,2025/04/28
Time:,11:54:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,828.910400,773.950867,88.940994,790.635742,663.232422,70.622238,831.877808,994.735962,190.634399,837.138428,1066.742554,406.544220,806.201965,684.422852,59.657555
2,828.536499,774.575928,90.859818,790.631165,664.024841,72.842041,832.295837,995.822571,190.614517,837.198853,1067.116333,406.696106,807.371826,684.774719,62.952385
3,828.364746,774.905334,92.714058,790.362061,664.490967,75.391098,832.225769,997.041260,190.684921,837.109375,1067.311523,406.638458,813.397156,683.454163,70.728371
4,828.048035,775.437744,94.375130,790.044006,665.112976,77.570091,832.276794,998.105225,190.744553,836.878784,1067.720337,406.932098,816.064636,683.702209,76.277878
5,827.757446,776.427246,96.175400,789.744934,665.976440,80.105598,832.412048,999.118347,190.826523,836.845154,1068.091675,407.079681,815.387573,684.868347,78.994270
6,827.669922,777.524475,98.198891,789.315918,666.898071,82.690956,832.604187,1000.621399,191.141098,836.805664,1068.509766,407.232635,814.076599,685.619934,80.319908
7,827.349426,778.377747,100.548515,788.103271,667.798035,86.044464,832.864746,1001.878479,191.552429,836.503906,1068.906250,407.625427,813.266052,686.146790,82.728683
8,826.877441,779.362793,102.859940,787.714355,668.655212,88.873039,833.129517,1003.206848,191.965225,836.441284,1069.353027,407.798859,812.890137,686.901123,85.269577
9,826.583435,780.244568,104.865669,787.453369,669.690674,91.477264,833.368408,1004.990356,191.846481,837.019470,1069.946167,407.247375,811.673401,688.259399,87.950279
10,826.081360,781.337219,107.127205,786.655396,671.023865,94.463493,833.342468,1006.155518,192.067123,837.735840,1070.471680,407.212219,811.501953,689.546448,90.929863
11,825.592896,782.533325,109.153542,785.784790,672.205322,97.329201,833.468323,1007.725098,192.187012,838.012390,1070.930054,407.300415,810.984192,690.334656,94.201660
12,825.034912,784.039673,111.271820,785.047729,673.432861,100.456520,833.781799,1009.348145,192.144684,838.185120,1071.476929,407.355743,809.650208,691.430481,97.012169
13,824.922607,785.406006,114.084358,784.343628,674.935486,103.409157,834.132141,1011.032349,192.325211,838.297791,1072.118652,407.518341,809.311584,692.950317,99.797798
14,824.079407,786.856689,116.350906,783.344543,676.598572,106.640427,834.437927,1012.939575,192.722412,838.428589,1072.601440,407.628967,808.596680,694.289490,103.192101
15,823.251282,788.160706,118.593712,782.482300,677.809814,109.557709,834.651733,1014.826233,193.162476,838.500488,1073.153076,407.921021,807.380676,695.408936,105.967415
16,822.729858,790.099182,120.958755,781.094421,679.947632,112.838089,834.530029,1016.447571,193.758209,838.553650,1073.652710,408.162323,806.678650,697.281128,108.771019
17,821.980713,791.295410,123.622238,779.794495,681.545776,116.185364,834.574158,1018.195251,194.475403,838.631470,1074.225220,408.385925,805.791809,698.863647,111.701912
18,821.283936,793.503967,125.675835,779.025513,683.421326,118.580872,835.022949,1020.121887,194.831650,838.792297,1074.921753,408.616882,804.252075,700.664856,115.002670
19,820.422607,795.235901,127.870483,777.228638,685.278381,122.235107,835.302551,1022.203308,194.853806,839.079712,1075.591553,408.714539,802.867615,702.703491,118.494453
20,819.436584,797.388489,129.930191,776.261353,687.526611,124.955734,835.609558,1024.324341,195.051819,839.341064,1076.223267,408.935364,802.296387,704.182983,120.434219
