Präzision11
Date:,2025/04/15
Time:,13:24:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,794.851563,766.847412,126.274422,804.599487,663.636658,77.061760,717.919373,1034.105347,388.329865,828.832458,682.008606,75.262436,708.080627,1063.816528,217.024506,,,,,,
2,794.779175,766.875671,126.216995,804.570679,663.495911,77.113258,717.842957,1034.110229,388.339081,824.128784,683.702332,70.988319,708.098450,1063.812622,217.011780,,,,,,
3,794.808472,766.825806,126.214226,804.621460,663.620056,77.090675,717.797485,1034.102539,388.360992,827.205566,682.723389,73.944626,708.096802,1063.833130,216.911026,,,,,,
4,794.849365,766.841248,126.280022,804.700012,663.693237,77.088860,717.823364,1034.115601,388.329651,830.610718,681.045410,77.363586,708.135803,1063.833740,216.914719,,,,,,
5,794.870911,766.838867,126.311462,804.762512,663.670288,77.064400,717.805298,1034.100830,388.319061,831.630920,680.606506,78.571053,708.072144,1063.841675,216.891785,,,,,,
6,794.920776,766.774597,126.362457,804.729614,663.641296,77.029465,717.797058,1034.096802,388.323975,831.156982,680.750671,77.988914,708.008301,1063.935669,216.912476,,,,,,
7,794.860229,766.824341,126.330803,804.834045,663.623413,77.081520,717.762024,1034.122437,388.245178,830.768555,680.918091,77.551666,708.024902,1063.860962,216.888931,,,,,,
8,794.905457,766.823547,126.330070,804.731018,663.616638,77.093880,717.794922,1034.103394,388.311768,830.691589,680.965454,77.455681,708.073975,1063.835693,216.874908,,,,,,
9,794.900940,766.847473,126.322105,804.760315,663.515930,77.105019,717.672424,1034.037231,388.259521,830.700684,680.913330,77.467339,708.067993,1063.821045,216.924393,,,,,,
10,794.921082,766.778015,126.359108,804.786499,663.587952,77.086800,717.741089,1034.133423,388.291443,830.777832,680.831726,77.546890,708.039917,1063.839844,216.885956,,,,,,
11,794.950012,766.811279,126.374458,804.751465,663.622009,77.079468,717.750977,1034.142944,388.285461,830.816162,680.818909,77.604546,707.967773,1063.830811,216.916199,,,,,,
12,794.928955,766.774597,126.367111,804.757080,663.524658,77.144249,717.802490,1034.145386,388.312622,830.829590,680.835815,77.642982,708.002014,1063.844360,216.904877,,,,,,
13,794.933838,766.765686,126.351280,804.676453,663.517700,77.091934,717.688477,1034.048584,388.245544,830.794983,680.852478,77.692963,708.017761,1063.762695,216.822678,,,,,,
14,794.851929,766.771240,126.273369,804.931824,663.654114,77.241821,717.737732,1034.109253,388.259857,830.718079,680.869995,77.512245,708.101379,1063.738037,216.822235,,,,,,
15,794.876343,766.755920,126.331161,804.752808,663.588501,77.077995,717.696045,1034.051636,388.254852,830.736877,680.871155,77.655502,708.017151,1063.728760,216.862869,,,,,,
16,794.882813,766.746460,126.320992,805.130066,663.781006,76.927170,717.701172,1034.089233,388.255188,830.771790,680.823059,77.685799,707.968872,1063.729004,216.901474,,,,,,
17,794.894165,766.752441,126.328102,804.804871,663.583496,77.014397,717.752319,1034.130249,388.260651,830.825378,680.831848,77.650276,707.909485,1063.736328,216.863922,,,,,,
18,794.856201,766.770447,126.278267,804.631775,663.506104,77.022835,717.743225,1034.109375,388.316223,830.684753,680.888855,77.545670,707.908630,1063.737793,216.849060,,,,,,
19,794.787598,766.750305,126.219902,804.819214,663.545959,77.288666,717.669312,1034.098877,388.281372,830.626831,680.898010,77.503578,707.917236,1063.737427,216.845200,,,,,,
20,794.740356,766.755005,126.215141,804.680054,663.423340,77.210365,717.739319,1034.126587,388.265594,830.604553,680.882446,77.504128,707.941895,1063.733154,216.863007,,,,,,
21,794.762207,766.746033,126.193283,804.780823,663.695679,76.986656,717.752930,1034.103638,388.274811,830.628845,680.782654,77.200287,707.922424,1063.736450,216.848541,,,,,,
22,794.781799,766.749207,126.202965,805.018127,663.832092,76.692818,717.684143,1034.099121,388.282135,830.598267,680.835205,77.416756,707.916443,1063.737427,216.845627,,,,,,
23,794.748352,766.753296,126.210197,805.001465,663.731323,76.624413,717.679260,1034.101318,388.268616,830.593628,680.874756,77.552345,707.916870,1063.737305,216.846558,,,,,,
24,794.754822,766.760132,126.208092,804.962402,663.734985,76.657402,717.709290,1034.101929,388.329926,830.591980,680.886230,77.556992,707.917542,1063.737183,216.846817,,,,,,
25,794.759216,766.760986,126.206696,804.765991,663.931824,76.742607,717.684448,1034.095947,388.275970,830.607666,680.876404,77.529716,707.884949,1063.828857,216.888031,,,,,,
26,794.753357,766.830750,126.191154,804.891663,663.851624,76.703224,717.679016,1034.105713,388.278656,830.610840,680.872498,77.522072,707.827942,1063.851563,216.911392,,,,,,
27,794.739380,766.816956,126.173355,804.703979,663.713135,76.926987,717.670837,1034.105835,388.305908,830.587585,681.035950,77.534363,707.888977,1063.834351,216.927231,,,,,,
28,794.763489,766.814697,126.244080,804.478760,663.470398,77.063721,717.662476,1034.099243,388.362305,830.595764,680.917175,77.520836,707.894897,1063.833130,216.894318,,,,,,
29,794.741882,766.763611,126.192589,804.507629,663.502136,77.048958,717.583984,1034.023193,388.311249,830.619690,680.874268,77.540466,707.880920,1063.837891,216.892212,,,,,,
30,794.758240,766.811707,126.206345,804.504761,663.451172,77.033112,717.691711,1034.093994,388.320221,830.576416,680.934448,77.492111,707.872803,1063.838867,216.900726,,,,,,
31,794.729797,766.857239,126.160622,804.326294,663.671387,77.078377,717.674744,1034.114014,388.325012,830.554504,680.968994,77.489197,707.831848,1063.843872,216.906372,,,,,,
32,794.695435,766.897644,126.121330,804.782898,663.800659,76.727188,717.659241,1034.195557,388.305725,830.556030,680.969421,77.495934,707.858459,1063.839233,216.911865,,,,,,
33,794.729736,766.870911,126.159950,804.678833,663.695374,76.807938,717.657288,1034.208008,388.302460,830.555237,680.980286,77.475296,707.859558,1063.841309,216.912964,,,,,,
34,794.743530,766.866882,126.182327,804.876831,663.864990,76.919922,717.681519,1034.193359,388.338074,830.585693,680.964478,77.499847,707.869568,1063.838867,216.905807,,,,,,
35,794.778748,766.846252,126.226540,804.661255,663.576538,77.049805,717.687744,1034.204346,388.330933,830.665588,680.951355,77.628212,707.874084,1063.838257,216.901169,,,,,,
36,794.823242,766.851501,126.253242,804.490540,663.528381,77.156960,717.701477,1034.217773,388.281586,830.703064,680.862061,77.669449,707.841309,1063.930054,216.942276,,,,,,
37,794.809509,766.879822,126.232811,804.582825,663.616577,77.146400,717.701172,1034.217651,388.306274,830.648926,680.952637,77.555153,707.880310,1063.853882,216.931900,,,,,,
38,794.761414,766.878601,126.180183,804.369263,663.764343,77.097748,717.725952,1034.219360,388.270111,830.606812,681.016907,77.499184,707.828491,1063.840698,216.910797,,,,,,
39,794.847595,766.865051,126.234749,804.582825,663.711365,77.059120,717.584045,1034.226929,388.280975,830.766785,681.124268,77.670654,707.825439,1063.928955,216.950424,,,,,,
40,794.935547,766.887878,126.332199,804.650696,663.640686,77.067368,717.548767,1034.221191,388.286499,830.796753,680.989807,77.703369,707.817200,1063.860840,216.925949,,,,,,
41,795.001526,766.883728,126.303474,804.695740,663.691589,77.080009,717.700439,1034.304932,388.319824,830.787476,680.937073,77.678871,707.856689,1063.919189,216.932220,,,,,,
42,795.022522,766.889587,126.284912,804.678589,663.714905,77.079849,717.602417,1034.297119,388.455170,830.799011,680.950684,77.666237,707.834290,1063.857056,216.908981,,,,,,
43,794.982849,766.888916,126.326149,804.696899,663.662476,77.128159,717.580750,1034.253906,388.351379,830.792847,680.959106,77.657127,707.877808,1063.830933,216.896332,,,,,,
44,795.035522,766.876587,126.344963,804.747070,663.681885,77.125656,717.615601,1034.328613,388.276581,830.832581,680.956665,77.607086,707.875610,1063.815308,216.944504,,,,,,
45,795.095642,766.867554,126.325111,804.808960,663.706421,77.134438,717.634460,1034.345459,388.257507,830.880188,680.935059,77.614487,707.867371,1063.840576,216.939606,,,,,,
46,795.216003,766.854736,126.444275,804.811340,663.612122,77.156059,717.811768,1034.562134,388.457428,831.019470,680.866211,77.777306,707.915833,1063.919678,216.979324,,,,,,
47,795.284180,766.846069,126.549286,804.902405,663.720947,77.210663,717.945129,1034.577148,388.300140,831.021179,680.885071,77.780777,707.924255,1063.827148,217.011444,,,,,,
48,795.333984,766.843262,126.558823,805.024048,663.684570,77.232315,718.020447,1034.599243,388.198669,831.055054,680.960876,77.802841,707.978699,1063.819214,216.978592,,,,,,
49,795.419434,766.881104,126.653023,805.228943,663.689941,77.058456,717.955505,1034.687988,388.380219,831.072327,680.958618,77.798920,708.024292,1063.843506,216.892044,,,,,,
50,795.511108,766.930359,126.731125,805.300110,663.686523,77.087868,717.948730,1034.685791,388.280121,831.088013,680.938049,77.751755,707.981018,1063.831787,216.902939,,,,,,
51,795.581848,766.931519,126.845734,805.370178,663.730042,77.075798,717.956665,1034.734131,388.379913,831.380615,681.014343,77.910149,707.877563,1063.924438,216.980865,,,,,,
