Präzision01161
Date:,2025/04/23
Time:,14:08:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,834.857300,787.349365,88.089935,795.622131,684.147095,48.032745,825.025391,689.601318,50.581783,832.643311,1041.832397,221.846359,864.000122,1121.345703,355.595642
2,834.478210,787.555908,88.416466,795.531250,684.326477,48.650211,824.811340,689.887695,51.115780,832.064026,1042.173340,221.447128,863.923584,1121.641113,355.757355
3,833.935242,788.021851,88.907555,795.463440,684.501709,49.021175,824.392273,690.116760,51.789295,831.632324,1042.692993,221.642075,863.883545,1121.955566,355.855530
4,833.580322,788.408875,89.741989,795.613098,684.757568,49.452713,824.100891,690.570007,52.774364,831.028259,1043.581665,222.172516,863.868835,1122.274780,355.924194
5,833.101685,788.792603,90.741089,795.510193,685.235657,50.023769,824.248108,690.952820,53.875561,830.577759,1044.354858,222.302689,863.856995,1122.672485,356.047180
6,832.562012,789.162842,91.443947,795.408691,685.567078,50.694397,823.958923,691.456360,54.710949,830.038940,1045.289185,222.458359,863.906555,1123.194580,356.185150
7,832.259216,789.711731,92.409309,795.226440,685.877136,51.925488,823.931335,691.866516,55.719540,829.532410,1046.005371,222.509995,863.943420,1123.647095,356.312653
8,831.833191,790.281677,93.515709,794.632141,686.265198,54.236679,823.864807,692.033020,57.281796,828.957642,1046.976807,222.536652,863.960022,1124.305420,356.108856
9,831.294434,790.829224,94.787025,794.158630,686.449768,56.343437,823.575684,692.529114,59.262421,828.542053,1048.263794,222.770508,863.898804,1124.969482,356.236511
10,830.599731,791.571594,96.215591,794.308472,686.559692,57.014622,823.139160,692.929443,60.797340,828.170410,1049.295288,222.821259,863.878357,1125.627930,356.489105
11,830.188171,792.336609,97.921333,793.574829,687.287415,59.872307,822.884827,693.339844,63.252216,827.656372,1050.705322,222.341660,863.952698,1126.259277,357.298523
12,829.441040,793.191040,100.123093,793.254089,687.705383,62.161339,822.583618,694.151428,65.365936,827.014343,1052.273315,222.306870,863.893433,1127.134033,357.691711
13,828.770630,793.875549,101.759590,793.261108,688.237610,63.827957,822.077271,694.635681,68.040283,826.310913,1053.598511,222.412521,864.080933,1128.105347,357.629089
14,827.842590,794.507996,103.566818,792.522217,689.032532,66.821495,821.605957,695.367249,70.340485,825.805359,1055.281860,222.842133,863.964050,1129.080444,357.618530
15,827.110046,795.646484,105.644295,792.483154,689.487366,69.752670,821.048218,696.245178,73.661568,825.167297,1056.890503,223.202774,863.759094,1130.170044,357.831207
16,826.501648,796.753723,108.491562,791.919006,689.865112,72.823189,820.919006,696.526428,76.537926,824.231934,1058.975708,223.340866,863.612122,1131.163818,358.125793
17,825.790955,797.720337,110.715744,791.469849,690.699890,76.291245,820.433411,697.413635,79.766434,823.649780,1060.741211,223.326614,863.472961,1132.058350,358.477661
18,824.890137,798.565674,113.099655,790.874634,691.541565,79.567970,819.854614,698.336731,83.514084,822.978699,1062.723755,223.383240,863.472351,1133.175049,358.898987
19,824.361206,799.892090,115.870842,789.957275,692.238647,84.208397,819.439209,699.302063,86.986511,822.210449,1064.519287,223.592529,863.504639,1134.296509,359.470337
20,823.652100,801.208313,118.273781,789.416199,692.757874,87.679321,818.606323,700.315369,90.519272,821.225891,1066.875244,224.036957,863.560181,1135.292480,359.786438
21,822.535461,802.391418,121.736183,789.227539,694.077087,90.942001,817.939941,701.185974,94.385544,820.824707,1068.802490,223.995850,863.610168,1136.614990,360.199768
22,821.820679,804.002319,124.401535,788.895996,695.469360,94.376137,817.242126,702.345520,98.266441,820.265320,1071.006714,224.085892,863.755493,1137.769653,360.531433
