Präzision01166
Date:,2025/04/24
Time:,14:51:05
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,790.571838,660.051025,40.397263,810.301392,765.664429,90.709221,765.898010,935.122437,282.116516,806.847534,680.252991,34.193699,751.071228,1047.308472,444.123749,,,,,,,,,,,,,,,,,,,,,
2,790.630005,660.059631,40.411957,810.295410,765.719788,90.709587,765.959961,935.104919,282.147644,808.203247,680.004883,35.404350,751.124878,1047.299438,444.177979,,,,,,,,,,,,,,,,,,,,,
3,790.646973,660.055115,40.382515,810.298950,765.676636,90.707535,766.010986,935.159058,282.162689,809.154846,679.723083,36.326183,751.183838,1047.313721,444.148773,,,,,,,,,,,,,,,,,,,,,
4,790.648499,660.070740,40.365585,810.308960,765.719360,90.726028,765.984375,935.119873,282.166168,809.346313,679.572571,36.633224,751.187744,1047.329956,444.083588,,,,,,,,,,,,,,,,,,,,,
5,790.661865,660.060852,40.306751,810.393921,765.730652,90.654716,766.049011,935.117188,282.104370,808.851685,679.663757,36.176949,751.189209,1047.330811,444.065186,,,,,,,,,,,,,,,,,,,,,
6,790.653809,660.086121,40.382793,810.365356,765.682495,90.707039,766.133484,935.103027,282.115479,807.756409,680.004883,35.114433,751.236389,1047.322632,444.127502,,,,,,,,,,,,,,,,,,,,,
7,790.638733,660.107361,40.372288,810.368591,765.716919,90.656601,766.140381,935.107178,282.141571,806.987122,680.193481,34.293655,751.285767,1047.326172,444.161194,,,,,,,,,,,,,,,,,,,,,
8,790.677307,660.106628,40.353519,810.375122,765.682617,90.631134,766.158752,935.120544,282.139435,806.532593,680.225769,33.854046,751.328369,1047.318115,444.145142,,,,,,,,,,,,,,,,,,,,,
9,790.682739,660.079712,40.343071,810.401489,765.724365,90.651505,766.203247,935.084534,282.202850,806.455322,680.203491,33.788174,751.378418,1047.313965,444.179749,,,,,,,,,,,,,,,,,,,,,
10,790.649414,660.056458,40.367424,810.407959,765.735718,90.660614,766.204651,935.084290,282.235046,806.837036,680.174927,34.129364,751.431458,1047.330078,444.164795,,,,,,,,,,,,,,,,,,,,,
11,790.655823,660.051086,40.316532,810.405273,765.670349,90.650742,766.251221,935.038574,282.215057,807.307251,680.100098,34.571743,751.443787,1047.240479,444.158081,,,,,,,,,,,,,,,,,,,,,
