Präzision01159
Date:,2025/04/24
Time:,13:16:30
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,787.527588,655.979370,75.936752,782.085876,772.347351,102.459976,780.351868,1099.940918,378.936981,757.788269,1023.993958,171.829849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,787.065735,656.444214,77.767738,781.813232,773.150452,104.569313,780.314392,1100.558960,379.140686,757.843811,1025.145142,171.776169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,786.838684,657.281738,79.830208,781.485596,773.849976,106.271362,780.346619,1101.200562,379.173462,757.889038,1026.169922,171.590866,809.757813,674.815491,87.192543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,786.083252,657.891602,82.625191,781.549805,775.157471,107.550499,780.508911,1101.910400,379.270660,757.822754,1027.727661,171.609634,808.799133,675.713135,88.304977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,785.831970,658.867554,85.068260,781.500244,776.224731,109.407318,780.624512,1102.654541,379.311310,757.871948,1029.236572,171.805313,807.647522,677.072998,90.031754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,785.727478,660.055542,87.766098,781.403687,777.249023,112.189468,780.832214,1103.422363,379.347870,757.658020,1030.642822,171.834656,807.768433,677.932739,93.599327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,785.756592,661.237915,90.655678,781.285095,778.604797,113.456833,781.225952,1104.207397,379.400391,757.497986,1032.514404,171.861008,807.746155,678.629089,96.440598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,785.224182,662.254456,94.478012,780.945068,780.036743,116.153687,781.661804,1105.189209,379.447540,757.522034,1033.917725,171.920319,807.892456,679.845459,99.869720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,785.308105,663.440979,97.732536,781.326660,781.310913,118.156349,781.908997,1106.164551,379.562683,757.410095,1035.970703,172.030701,807.748413,681.485046,102.807037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,784.597351,664.972778,100.980209,780.356995,782.878174,120.934692,782.216614,1107.265991,379.654358,757.520203,1037.682495,171.896255,807.692200,682.330383,106.284470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,784.288513,666.317993,104.929802,780.418030,784.540039,123.099129,782.427246,1108.275146,379.730621,757.365417,1040.005371,172.071838,807.242798,684.242859,109.314934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,784.327393,667.945984,107.891823,779.894592,785.950195,126.315796,782.755798,1109.365601,379.744568,757.208313,1041.984375,172.396774,807.334229,685.695801,113.117363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,784.766052,669.690552,111.199142,779.608521,787.960388,128.206802,783.163635,1110.713135,379.698608,757.026917,1044.021240,172.592773,806.464783,687.353516,116.674706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,783.939453,671.534973,115.292877,779.076599,789.840271,131.105011,783.793396,1112.071899,379.557312,756.940552,1046.366089,172.679108,806.319458,689.222107,120.614319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,783.618958,673.386658,119.059273,779.445557,791.962952,133.581116,784.239563,1113.376343,379.722870,756.989075,1048.601929,172.562637,805.850220,691.117188,123.733131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,783.112976,675.641357,122.661232,778.825562,794.003357,136.605820,784.286133,1114.695923,379.979065,756.824768,1051.226318,172.761490,805.643799,692.970398,127.740913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,782.590820,677.734558,126.451607,778.548218,796.505432,139.118103,784.345398,1116.057739,380.435852,756.653198,1053.792358,173.170563,805.131104,694.910583,131.854263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,781.603210,680.040894,130.116562,778.176514,798.690674,141.878479,784.623840,1117.477905,381.201660,756.526917,1055.974487,173.553802,804.704102,697.369019,136.240601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,781.172791,682.218018,133.833069,777.249023,801.272156,144.819580,784.862000,1118.829224,381.476410,756.484375,1058.674927,173.780960,804.322266,699.685547,139.178009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,780.417969,684.614685,137.079788,777.003967,803.749512,146.960785,785.228394,1120.389893,381.491089,756.233215,1061.735474,173.837296,803.671326,702.092896,143.252441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,779.561523,687.330627,141.039032,776.298462,806.298828,150.358948,785.368896,1121.665527,381.586975,756.383972,1064.529663,174.168518,802.443054,704.874451,146.651505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,779.030701,690.119385,144.549393,775.426270,809.177185,152.634384,785.252563,1123.198608,382.208038,756.223572,1067.001343,174.441269,801.544800,706.861267,150.331741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
