Präzision01160
Date:,2025/04/24
Time:,13:16:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,799.969177,787.801758,117.393867,811.967896,684.917847,100.693558,787.671570,670.932617,93.005898,784.006592,1043.735229,165.272018,,,,786.145569,1125.774536,371.684845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,800.100098,788.807251,118.952492,811.894348,685.927246,103.596924,787.299255,671.845398,96.653099,783.711609,1045.663086,165.081284,,,,786.254211,1126.729492,371.572754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,799.982239,790.458252,120.739952,812.281982,686.869202,106.533745,787.748535,673.063293,99.046074,783.736084,1047.148560,164.526749,,,,786.396729,1127.554810,371.348480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,799.670044,791.949951,123.104912,812.367676,688.666382,109.662979,787.990662,674.401550,102.050934,783.426880,1048.985840,164.057892,,,,786.515320,1128.552734,371.315704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,799.734375,793.450806,125.534370,812.379639,689.541138,112.857750,788.090759,675.927856,104.733475,782.805847,1050.441406,164.075226,,,,786.689880,1129.715454,371.372528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,799.522034,795.114746,127.729446,812.304688,691.152283,115.749710,788.621033,677.479065,107.668587,782.143982,1052.500977,164.581818,,,,786.994934,1130.644409,371.330505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,799.288147,796.722778,129.605392,812.392212,693.021790,118.368996,788.165466,678.882507,111.061562,782.016052,1054.250244,164.763092,,,,787.318176,1131.759888,371.091309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,798.646912,798.396118,132.221741,811.957886,694.482666,121.706200,787.972351,680.483582,114.738243,781.913818,1056.601318,164.406326,,,,787.432739,1133.076294,371.086365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,798.691467,800.192566,134.279190,811.947388,696.587463,124.574989,787.866211,682.140198,117.451401,781.672668,1058.439575,164.343201,,,,787.645874,1134.199219,371.069611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,797.899048,802.384766,137.085571,811.731934,698.377747,128.171707,787.590454,683.996460,120.978264,781.025024,1060.739624,164.694962,,,,787.772034,1135.257324,371.151611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,797.612732,804.349854,139.215378,811.195984,700.327271,131.460327,787.397705,685.809448,123.684845,780.580322,1062.969849,164.555817,,,,787.906738,1136.653931,371.212006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,796.943726,806.422791,142.075027,811.246155,702.309753,134.477814,786.619263,687.909363,128.084442,780.292053,1065.139893,164.115585,,,,788.028503,1137.887573,371.130798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,796.718994,808.757996,144.583267,810.796448,704.624756,138.018173,785.792725,690.069885,131.746490,779.630920,1067.589600,164.127731,,,,788.257996,1139.068359,371.450317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
