Präzision26
Date:,2025/04/16
Time:,10:35:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,833.502747,985.852722,325.735321,819.428101,765.464783,77.940247,804.801880,966.030701,188.252884,794.681824,680.522278,39.167484,766.559875,672.591003,37.294418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,833.516174,985.979248,325.809082,819.428284,765.515625,77.935997,804.797363,966.025513,188.240845,794.681824,680.522278,39.167484,766.609619,672.572388,37.346035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,833.429138,985.985657,325.729889,819.426331,765.533569,77.934265,804.845703,966.108765,188.237625,796.093994,678.983521,40.629723,766.603027,672.466431,37.280876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,833.486633,986.098511,325.619232,819.444458,765.547302,77.956993,804.900391,966.130310,188.266006,796.657104,678.478943,41.265030,766.615417,672.545959,37.315792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,833.501282,986.230591,325.587982,819.439941,765.624268,77.942299,804.930176,966.126648,188.260986,796.619995,678.597534,41.184681,766.604980,672.585815,37.373692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,833.569885,986.253174,325.615875,819.435730,765.639099,77.933006,804.840332,966.233582,188.239960,796.467285,678.724854,41.042320,766.642212,672.573669,37.372692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,833.545471,986.323853,325.597839,819.408020,765.592651,77.969154,804.863098,966.249695,188.237656,796.530579,678.817932,40.973484,766.658813,672.564148,37.427017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,833.590881,986.349487,325.534698,819.446411,765.681763,78.003517,804.921936,966.229858,188.270676,796.570801,678.856567,40.978764,766.677063,672.557434,37.480972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,833.596802,986.450867,325.478027,819.403564,765.673950,78.033974,804.906128,966.317444,188.231949,796.576050,678.852173,40.992809,766.675659,672.554871,37.492073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,833.596558,986.480164,325.541290,819.464661,765.658203,78.094841,805.008728,966.334473,188.287994,796.573242,678.846069,40.996910,766.654602,672.563477,37.537815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,833.668274,986.558289,325.565491,819.411438,765.652039,78.026413,805.016418,966.329895,188.314377,796.512573,679.035522,40.924217,766.745667,672.531189,37.537930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,833.723511,986.558289,325.578705,819.442444,765.758362,77.977066,805.018616,966.324280,188.304306,796.535828,678.964355,40.944641,766.718262,672.539001,37.504608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,833.697815,986.572266,325.504974,819.386780,765.768250,78.024307,805.021484,966.323853,188.296585,796.508423,679.043823,40.916271,766.722351,672.637817,37.473660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,833.698120,986.643005,325.578094,819.439270,765.660583,78.094429,805.011292,966.306946,188.339432,796.488770,679.078308,40.894207,766.713684,672.574463,37.482014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,833.798889,986.686829,325.523041,819.445679,765.719238,78.116676,805.070496,966.312805,188.319611,796.446777,679.088379,40.852261,766.734558,672.549866,37.499615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,833.841797,986.714966,325.524017,819.385925,765.749878,78.029793,805.124817,966.319946,188.351929,796.474976,679.078796,40.879005,766.744324,672.532104,37.485874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,833.851746,986.798340,325.498413,819.368958,765.760742,78.028366,805.143311,966.309570,188.349503,796.493958,679.070129,40.899479,766.730042,672.544128,37.453449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,833.884216,986.822632,325.486938,819.442261,765.660461,78.087990,805.151306,966.310303,188.350159,796.496155,679.068481,40.902451,766.690308,672.561707,37.462708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
