Präzision01162
Date:,2025/04/23
Time:,11:22:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,793.817749,770.852661,108.628227,686.300781,1069.906372,446.634857,,,,,,,822.924561,689.987122,60.707279,,,,797.427429,668.274414,54.347614,,,,707.311340,1038.630005,291.948425,,,,,,,,,,,,,,,,,,
30,793.342834,771.284790,109.280212,686.237732,1070.527222,447.069153,,,,,,,822.820862,690.145081,61.650429,,,,797.299500,668.567749,55.235752,,,,706.816345,1039.471802,291.742737,,,,,,,,,,,,,,,,,,
31,793.034607,771.745667,110.650887,686.246277,1071.169312,447.541718,,,,,,,822.129272,690.762573,62.944984,,,,796.900146,668.715454,56.844490,,,,706.259949,1040.359497,291.948517,,,,,,,,,,,,,,,,,,
32,792.918701,771.894958,111.833199,686.054260,1071.768433,447.722137,,,,,,,822.081726,691.472290,64.563469,,,,796.713989,668.987000,57.935532,,,,705.697083,1041.309814,292.523956,,,,,,,,,,,,,,,,,,
33,792.398926,772.452759,113.016296,685.877502,1072.481201,448.135132,,,,,,,822.009583,691.877441,65.670723,,,,796.639404,669.115906,58.646374,,,,705.090881,1042.315430,292.984070,,,,,,,,,,,,,,,,,,
34,791.917358,773.219238,114.282944,685.650635,1073.130249,448.671844,,,,,,,821.144470,692.244141,66.841888,,,,796.010437,669.535706,60.296940,,,,704.325684,1043.427124,293.294189,,,,,,,,,,,,,,,,,,
35,791.536499,774.025757,115.469353,685.492798,1073.750244,448.996002,,,,,,,820.471436,692.701538,68.485382,,,,795.379639,670.107788,62.623177,,,,,,,,,,,,,,,,,,,,,,,,
36,791.063416,774.753540,116.654564,685.274719,1074.553955,449.214783,,,,,,,820.008057,693.227966,70.486649,,,,794.916321,670.652588,64.459457,,,,,,,702.461731,1045.985962,293.854340,,,,,,,,,,,,,,,
37,790.533386,775.451355,118.072388,685.032471,1075.416626,449.959686,,,,,,,819.550903,693.660156,72.336052,,,,794.701782,671.271301,65.888649,,,,,,,702.247803,1047.140381,293.610199,,,,,,,,,,,,,,,
38,789.908264,775.843506,120.106400,684.811829,1076.255127,450.836334,,,,,,,819.144470,694.212158,73.784828,,,,794.003723,672.100220,68.047554,,,,,,,701.420105,1048.677490,293.764893,,,,,,,,,,,,,,,
39,789.166260,776.640076,121.297806,684.209839,1077.253906,451.540314,,,,,,,818.585327,694.587402,76.102142,,,,793.724121,672.647461,69.501877,,,,,,,,,,,,,,,,,,,,,,,,
40,788.665100,777.749023,122.733749,683.606079,1078.458618,452.012421,,,,,,,818.191284,695.331665,77.859528,,,,793.483704,672.931824,71.366707,,,,,,,,,,699.273010,1051.704834,294.638367,,,,,,,,,,,,
41,787.907593,778.756287,124.568634,683.552185,1079.518066,452.623840,,,,,,,817.766785,696.411377,79.901154,,,,793.108521,673.603149,73.782890,,,,,,,,,,698.445435,1053.250732,294.666351,,,,,,,,,,,,
42,787.421631,779.328247,126.219093,683.356323,1080.700195,452.869629,,,,,,,817.106750,697.351196,82.177032,,,,792.100891,674.388245,76.133858,,,,,,,,,,,,,,,,,,,,,,,,
43,786.832397,780.136414,128.625458,683.036072,1082.003662,453.148773,,,,,,,816.866760,697.895630,84.158203,,,,791.349609,675.366150,78.246140,,,,,,,,,,,,,696.475159,1056.439087,295.429443,,,,,,,,,
44,785.824280,781.371521,130.249451,682.675598,1083.349121,453.742523,,,,,,,816.134399,698.536377,86.562943,,,,791.144104,676.168335,80.674347,,,,,,,,,,,,,695.179077,1058.296875,295.819763,,,,,,,,,
45,784.670532,782.388855,132.093628,682.175842,1084.803101,454.400452,,,,,,,816.366455,699.854797,88.938522,,,,790.930786,677.135803,82.667229,,,,,,,,,,,,,694.338074,1060.102539,295.756592,,,,,,,,,
46,783.942505,783.501526,134.174179,681.687744,1086.300537,455.081116,,,,,,,815.177734,701.234619,91.301758,,,,790.249512,677.947205,85.177582,,,,,,,,,,,,,693.253601,1062.009155,296.527527,,,,,,,,,
47,782.961914,784.278503,136.432449,681.155762,1087.742432,455.699677,,,,,,,814.739258,701.800232,93.872879,,,,789.436829,678.993164,87.604080,,,,,,,,,,,,,691.655518,1063.975830,296.985260,,,,,,,,,
48,782.133179,785.713501,138.355011,680.725647,1089.264404,456.205231,,,,,,,813.740173,702.783997,96.025192,,,,788.749634,680.240112,90.663925,,,,,,,,,,,,,690.444824,1065.911011,297.675934,,,,,,,,,
49,781.605347,787.461487,140.062027,680.280762,1090.892944,456.843414,,,,,,,812.723938,704.422302,98.680489,,,,788.308838,681.301575,92.785507,,,,,,,,,,,,,688.748352,1067.935303,298.506012,,,,,,,,,
50,780.862854,788.846680,142.248856,679.840454,1092.546753,457.473877,,,,,,,812.320190,705.780823,100.935928,,,,787.539795,682.496399,95.468369,,,,,,,,,,,,,687.482056,1069.912598,298.824402,,,,,,,,,
51,779.420898,790.609680,144.491302,679.198975,1094.215332,458.037262,,,,,,,811.493958,706.659241,103.724403,,,,786.744019,683.742493,98.011383,,,,,,,,,,,,,686.288879,1072.263306,299.214752,,,,,,,,,
52,778.507507,792.118347,146.497894,678.618591,1095.877808,458.570679,,,,,,,810.956482,708.478394,105.908287,,,,785.826477,685.203125,100.817726,,,,,,,,,,,,,684.774475,1074.688477,299.472168,,,,,,,,,
53,777.398193,793.502686,148.819489,678.142883,1097.581055,459.524231,,,,,,,809.769653,709.974487,108.605629,,,,785.239929,686.264160,103.113892,,,,,,,,,,,,,683.445984,1076.867310,300.182068,,,,,,,,,
54,776.441711,795.412964,151.100693,677.694519,1099.307739,460.245514,,,,,,,808.945129,711.399414,111.296799,,,,784.186768,688.040161,105.664886,,,,,,,,,,,,,681.811890,1079.348267,300.674347,,,,,,,,,
55,775.697632,796.867676,153.738403,677.249756,1100.942871,461.049591,,,,,,,808.706360,713.177185,113.965302,,,,783.885010,689.680237,108.036812,,,,,,,,,,,,,680.331177,1081.810791,301.683807,,,,,,,,,
56,774.562500,798.632385,156.060196,676.708374,1102.795532,461.838623,,,,,,,807.730896,715.238525,116.281441,,,,782.982605,691.300842,111.093292,,,,,,,,,,,,,679.073547,1084.273438,302.206421,,,,,,,,,
57,773.267517,800.457581,158.053925,676.265930,1104.559570,462.788696,,,,,,,806.486450,717.191589,118.296036,,,,781.964294,693.309326,113.319267,,,,,,,,,,,,,677.878723,1086.879028,302.597168,,,,,,,,,
58,771.866943,802.663940,160.262192,675.767395,1106.417358,463.351196,,,,,,,805.196411,718.991821,120.894989,,,,780.819397,695.288940,116.395126,,,,,,,,,,,,,676.463989,1089.464600,302.992798,,,,,,,,,
59,770.619751,804.380554,162.389191,675.221130,1108.328247,464.032349,,,,,,,804.142395,721.010376,123.350220,,,,780.080017,697.002319,118.730652,,,,,,,,,,,,,674.739014,1092.093628,304.293121,,,,,,,,,
60,769.420776,806.640442,164.658737,674.695496,1110.101807,465.156158,,,,,,,803.144287,723.131958,125.396103,,,,779.050903,698.836426,121.276756,,,,,,,,,,,,,672.958130,1094.704956,305.564911,,,,,,,,,
61,767.848389,808.663879,166.610672,674.120239,1112.050171,466.218628,,,,,,,801.877808,725.156677,127.680931,,,,778.061096,700.921204,123.782684,,,,,,,,,,,,,671.713684,1097.382813,306.212311,,,,,,,,,
62,766.517578,811.161316,168.623550,673.671387,1113.916260,467.074524,,,,,,,800.627930,727.345825,129.608505,,,,776.751831,703.010681,126.249817,,,,,,,,,,,,,670.422974,1100.164185,306.659241,,,,,,,,,
