Präzision01
Date:,2025/05/06
Time:,14:08:18
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,787.164490,679.975708,74.718124,814.791992,688.883850,75.619164,812.091980,792.196594,89.154793,785.331787,1095.781982,343.585419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,786.870789,680.458191,74.599670,813.950073,689.127319,76.158188,811.830017,792.386719,89.799843,785.177551,1096.081909,343.665192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,785.690613,680.893677,75.534454,813.155457,689.400513,76.692253,811.752319,792.715881,90.084900,785.141785,1096.385742,343.732422,781.164856,1037.485840,175.267944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,784.917053,681.511719,76.321838,812.796753,689.695190,77.579880,811.569153,793.254761,90.739639,785.068298,1096.772827,343.936371,781.114197,1038.229614,175.469055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,784.239441,681.978943,77.203911,812.371033,690.116150,78.342079,811.321533,793.969788,91.702179,784.987854,1097.187866,344.100311,780.914978,1039.091309,175.514511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,784.129395,682.344360,77.997559,811.953003,690.545593,78.828911,810.782471,794.632141,92.532272,784.895203,1097.767578,344.255768,780.755554,1040.019531,175.497391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,783.556091,682.931946,79.628159,810.757935,691.250427,80.548759,810.234863,795.287415,93.469810,784.933289,1098.332642,344.329315,780.525574,1040.812378,175.417709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,783.071899,683.844910,80.915558,810.334412,691.912598,82.323097,810.359253,795.910828,94.248474,784.911194,1098.868652,344.478577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,782.766113,684.572449,82.338425,810.318665,692.645935,84.077194,810.274414,796.606506,96.254143,784.901367,1099.495728,344.475159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,782.191223,685.357483,84.730217,810.192139,693.312866,86.070427,810.134338,797.239685,98.164955,785.134888,1100.235596,344.425751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
