Präzision29
Date:,2025/04/16
Time:,14:19:12
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,780.347107,784.838074,120.084526,796.038086,1082.659180,416.554535,767.382935,681.965637,70.878502,793.950073,698.849792,71.567947,777.933960,1047.803101,277.244659,,,,,,,,,,,,
2,779.965637,784.940186,120.651718,795.750793,1083.034058,416.639404,767.169312,682.119568,71.854538,793.889038,699.108582,72.372566,777.795227,1048.343506,277.390778,,,,,,,,,,,,
3,779.714233,785.039978,121.153481,795.706360,1083.355225,416.674164,766.892029,682.210876,72.892921,795.001343,697.714661,75.078392,777.598389,1048.934204,277.543915,,,,,,,,,,,,
4,779.643738,785.271973,121.894440,795.712769,1083.724121,416.650116,766.582458,682.187866,73.916344,795.335938,697.455322,76.785851,777.357483,1049.546631,277.587372,,,,,,,,,,,,
5,779.439758,785.669312,122.667953,795.649780,1084.024292,416.745270,766.497375,682.387634,75.064240,795.033142,697.721436,77.481964,776.943237,1050.240234,277.603699,,,,,,,,,,,,
6,779.011536,786.118408,123.441116,795.690979,1084.429077,416.746246,766.566956,682.577576,76.137398,794.604797,697.916809,78.196831,776.188171,1051.214478,277.693726,,,,,,,,,,,,
7,778.799927,786.353394,124.660881,795.641846,1084.848755,416.802368,766.317627,682.730835,77.144882,794.447205,697.697021,79.806274,,,,,,,,,,,,,,,
8,778.522827,786.488403,125.793282,795.667847,1085.467163,416.907684,765.991943,682.965271,78.578133,794.652222,697.485840,81.394440,,,,775.306580,1052.770630,277.792664,,,,,,,,,
9,778.469604,786.913086,126.800591,795.600037,1086.045044,417.010651,765.625732,683.188477,79.829330,794.850647,697.867310,83.160202,,,,775.381042,1053.622192,277.765289,,,,,,,,,
10,778.217651,787.363220,127.970596,795.513794,1086.822388,417.089417,765.537048,683.271606,81.438431,794.910889,698.075989,84.731155,,,,775.459656,1054.662964,277.747681,,,,,,,,,
11,777.878662,787.755981,129.311783,795.674377,1087.540649,417.091370,764.782166,683.565247,84.287994,793.987671,698.376038,85.883888,,,,775.386230,1055.803101,277.548401,,,,,,,,,
12,777.266418,787.949646,130.548172,795.363281,1088.001343,417.291687,764.383545,683.680054,85.764366,793.657104,698.817200,87.475685,,,,775.038818,1056.837280,277.306641,,,,,,,,,
13,777.199097,788.512146,131.852127,795.044617,1088.765625,417.549713,764.299377,683.890869,87.179214,794.072144,698.876648,89.552872,,,,774.800903,1058.043701,277.167023,,,,,,,,,
14,776.766541,789.351074,133.443726,795.242981,1089.613770,417.447937,764.349670,684.216187,88.693985,793.569763,699.286682,91.401253,,,,774.232239,1059.444214,277.422516,,,,,,,,,
15,776.287231,789.767944,134.778229,795.332275,1090.413940,417.380280,763.978760,684.825745,90.352203,792.828918,700.145081,92.610367,,,,773.745544,1060.692749,277.821045,,,,,,,,,
16,776.137207,790.477844,136.104538,795.301025,1091.308594,417.491058,763.644714,685.503479,92.718910,792.713135,700.518311,94.589226,,,,773.456421,1061.980103,277.860809,,,,,,,,,
17,775.544067,791.299438,137.689255,794.953735,1092.176392,417.939941,763.420776,686.130737,94.216164,792.292297,700.740234,96.260757,,,,773.746948,1063.219482,277.845184,,,,,,,,,
18,774.872925,791.833801,139.435913,795.083374,1093.098755,418.157074,763.028625,686.549927,95.584511,792.277100,701.633484,98.723465,,,,773.825134,1064.899902,277.047882,,,,,,,,,
19,774.077698,792.513306,140.590332,795.038269,1094.070557,418.009766,762.249512,687.183472,98.452217,791.430603,702.286499,100.705765,,,,773.053162,1066.634766,276.959045,,,,,,,,,
20,773.497131,793.541992,142.218033,794.881348,1095.192871,418.096252,761.925903,687.752991,100.523529,791.339966,702.505066,103.086861,,,,,,,,,,,,,,,
21,773.115051,794.540466,143.720825,794.745056,1096.225830,418.347961,761.562561,688.436890,102.276749,790.554138,702.810059,105.445023,,,,,,,772.069458,1069.777588,277.626587,,,,,,
22,772.742493,795.549377,145.783844,794.598145,1097.302734,418.761475,761.064148,689.621338,104.340828,789.954224,703.947449,107.348991,,,,,,,771.872070,1071.278687,277.646118,,,,,,
23,772.021545,796.148987,147.625275,794.408325,1098.364380,418.665863,760.574036,690.427124,106.470825,789.052734,705.069153,109.021553,,,,,,,771.513794,1072.878296,277.778107,,,,,,
24,771.410339,797.278198,149.136963,794.276001,1099.521606,418.697876,760.050232,691.065613,108.551926,789.184814,706.043762,111.713043,,,,,,,770.944885,1074.591431,278.051758,,,,,,
25,770.815857,798.749634,150.822571,794.229980,1100.685059,418.660919,759.473145,692.139465,110.769211,788.793091,706.006470,114.019737,,,,,,,769.480896,1076.711426,278.500183,,,,,,
26,770.324402,799.953735,152.005493,793.969604,1101.716797,419.183258,758.402527,693.380615,112.815926,787.866699,707.177307,116.311661,,,,,,,769.277283,1078.270752,278.317169,,,,,,
27,769.544067,801.023743,154.220047,793.732361,1102.922119,419.684387,757.653503,694.235107,115.251511,786.631104,708.765503,118.228981,,,,,,,769.840027,1079.745239,278.111908,,,,,,
28,769.057617,802.268494,156.323898,793.749207,1104.180786,419.764923,757.188538,695.124084,117.306656,786.304260,709.926941,120.527992,,,,,,,768.575256,1082.010254,278.498230,,,,,,
29,768.538391,803.868286,158.675354,793.830811,1105.283203,419.628571,756.129639,696.631958,120.377785,785.910095,710.156189,122.861992,,,,,,,767.655151,1084.131470,278.891266,,,,,,
30,767.714600,804.883362,160.127197,793.796387,1106.595459,419.553925,754.989197,697.431030,122.491478,785.020630,711.619995,125.228775,,,,,,,768.086243,1085.778320,278.558014,,,,,,
31,766.849182,806.717957,161.640213,793.603882,1107.851563,420.003906,754.380493,698.623718,124.799919,783.492493,713.839355,127.486588,,,,,,,768.091064,1088.008179,278.015625,,,,,,
32,765.925171,808.021484,163.897690,793.378113,1108.982544,420.397400,753.828918,700.114990,127.110611,783.581482,714.512451,130.052124,,,,,,,767.684204,1089.867676,278.072174,,,,,,
33,765.166321,809.615479,165.957565,793.284180,1110.264160,420.788116,753.494202,701.263245,129.301773,782.467896,715.812866,133.014847,,,,,,,766.926270,1091.961548,278.787262,,,,,,
34,764.412720,811.108215,167.941498,793.211487,1111.425293,421.388885,752.511902,703.166992,131.586166,781.524414,717.507019,134.918747,,,,,,,766.230835,1094.038330,279.916870,,,,,,
35,763.981750,812.698364,170.257431,793.039246,1112.695557,421.761780,751.358765,704.700378,134.541214,781.321655,718.709106,137.881805,,,,,,,765.806946,1096.505737,279.936035,,,,,,
36,763.165527,814.478821,171.994202,792.950867,1114.052246,421.967438,750.678467,706.120239,137.184143,780.194214,719.992920,140.723557,,,,,,,765.367371,1098.615601,279.692749,,,,,,
37,762.024597,816.335083,174.287857,793.040344,1115.503418,421.941467,750.213318,707.694214,139.446762,779.283081,721.710693,142.609818,,,,,,,764.804688,1101.086548,279.620422,,,,,,
38,761.172302,817.893250,176.377472,792.944397,1116.988525,421.960266,748.750977,709.792358,142.361755,777.888672,723.348145,145.306641,,,,,,,764.950012,1103.117554,279.464722,,,,,,
39,760.361816,820.078552,178.694016,792.791687,1118.334595,421.941254,747.996460,711.242920,144.786652,776.992310,725.495056,147.988922,,,,,,,764.639587,1105.481323,279.634644,,,,,,
40,759.592224,821.671509,180.217377,792.390930,1119.787476,422.114044,746.871521,712.928101,147.736343,776.279724,726.941223,150.440872,,,,,,,763.779480,1107.850952,280.138275,,,,,,
41,758.887024,823.961548,182.613831,792.205872,1121.276611,422.715363,746.506226,714.785645,150.394119,775.293457,728.392151,153.629791,,,,,,,763.239563,1110.374756,280.675476,,,,,,
42,758.103394,825.581848,184.786926,792.164978,1122.666382,423.172302,745.835876,716.764282,152.032715,774.610168,730.457825,155.838135,,,,,,,763.015076,1112.924438,280.858185,,,,,,
43,757.074951,827.833679,187.167801,792.241394,1124.227417,423.370300,744.730286,718.760864,154.833267,773.835388,732.344421,158.469513,,,,,,,762.260803,1115.063477,281.646729,,,,,,
44,756.188232,829.958923,189.054657,792.259766,1125.740112,423.479065,743.213562,720.870544,158.335052,773.291321,734.159363,161.564316,,,,,,,761.799805,1117.835693,282.004822,,,,,,
45,755.259705,832.234436,190.815491,791.961060,1127.610474,423.644226,742.199097,722.556641,160.892731,772.227051,735.912781,163.634247,,,,,,,761.939941,1120.452026,281.985962,,,,,,
