Präzision01162
Date:,2025/04/26
Time:,15:47:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,844.508789,766.287292,82.982353,907.605103,994.444641,201.360077,813.084229,675.240784,47.739532,785.848938,676.495300,43.843899,950.627014,1024.756226,351.093445,,,,,,,,,,,,,,,,,,
2,844.558472,766.269043,82.911530,907.719666,994.413635,201.300934,813.115417,675.228638,47.719654,785.908203,676.506775,43.740646,950.715942,1024.750977,351.099823,,,,,,,,,,,,,,,,,,
3,844.691650,766.256836,82.778183,907.717957,994.421265,201.335556,813.156921,675.258118,47.719067,785.989990,676.529358,43.714443,950.716736,1024.741455,351.120544,,,,,,,,,,,,,,,,,,
4,844.775391,766.250000,82.783722,907.636475,994.433960,201.348145,813.262512,675.108459,47.599545,786.089417,676.343872,43.567207,950.688782,1024.852173,351.156860,,,,,,,,,,,,,,,,,,
5,844.815125,766.136780,82.937263,907.690186,994.417969,201.321426,813.280640,675.052063,47.541927,786.073608,676.371399,43.689423,950.539429,1024.737671,351.386230,,,,,,,,,,,,,,,,,,
6,844.814148,766.165955,82.852768,907.712891,994.417786,201.313110,813.256775,675.100403,47.531147,786.081482,676.373169,43.678471,950.659729,1024.825317,351.208893,,,,,,,,,,,,,,,,,,
7,844.809204,766.194092,82.789238,907.710938,994.419739,201.315308,813.280945,675.045227,47.551083,786.093628,676.375977,43.652733,950.806641,1024.882202,351.076111,,,,,,,,,,,,,,,,,,
8,844.817566,766.203125,82.791191,907.715759,994.313171,201.290237,813.273560,675.035950,47.486427,786.054199,676.395325,43.597790,950.817688,1024.893066,351.061584,,,,,,,,,,,,,,,,,,
9,844.827087,766.138672,82.814842,907.740845,994.311218,201.266861,813.269348,674.980042,47.445183,786.007690,676.396301,43.603603,950.792664,1024.891968,351.096985,,,,,,,,,,,,,,,,,,
10,844.815918,766.116333,82.923882,907.697998,994.317383,201.301010,813.273865,675.052490,47.357807,785.970398,676.375793,43.634838,950.797852,1024.878784,351.090942,,,,,,,,,,,,,,,,,,
11,844.795166,766.113770,82.845398,907.681458,994.329651,201.307648,813.198425,674.987122,47.415882,785.870239,676.388306,43.623463,950.843079,1024.895508,351.044495,,,,,,,,,,,,,,,,,,
12,844.765259,766.106750,82.797287,907.719543,994.323608,201.289230,813.205933,674.974243,47.603107,785.812073,676.378540,43.686409,950.855774,1024.992310,351.052399,,,,,,,,,,,,,,,,,,
13,844.597412,766.146118,82.857056,907.709961,994.235229,201.257629,813.149048,674.932495,47.649769,785.676453,676.322144,43.688667,950.861145,1025.009521,351.073914,,,,,,,,,,,,,,,,,,
14,844.539734,766.145264,82.888405,907.744019,994.228027,201.227325,813.075867,674.968018,47.611946,785.631287,676.338501,43.555973,950.867249,1024.989624,351.058716,,,,,,,,,,,,,,,,,,
15,844.525208,766.139038,82.881645,907.762939,994.246033,201.201645,812.970398,674.975037,47.683144,785.539795,676.324646,43.546391,950.913757,1025.008301,351.049286,,,,,,,,,,,,,,,,,,
16,844.469360,766.158691,82.851746,907.744385,994.251648,201.239441,812.926147,674.922058,47.714218,785.499451,676.383484,43.562286,950.978638,1025.001099,351.066223,,,,,,,,,,,,,,,,,,
17,844.387695,766.102356,82.890884,907.789612,994.250244,201.285446,812.849609,675.048462,47.978836,785.271362,676.200500,43.672016,951.028503,1025.022339,351.065063,,,,,,,,,,,,,,,,,,
18,844.340942,766.083496,82.903900,907.801392,994.208313,201.356430,812.719421,675.025208,47.869411,784.965637,676.205872,43.511299,951.082458,1025.035034,351.052826,,,,,,,,,,,,,,,,,,
19,844.278503,766.003113,82.913193,907.747986,994.098816,201.355850,812.680542,675.025208,48.063408,784.896057,676.174683,43.546337,951.133484,1025.100830,351.089386,,,,,,,,,,,,,,,,,,
20,844.175293,765.996033,82.920593,907.742432,994.051270,201.389328,812.480896,674.901550,48.156036,784.835327,676.162231,43.484680,951.196533,1025.052246,351.053009,,,,,,,,,,,,,,,,,,
