Präzision25
Date:,2025/04/16
Time:,10:59:12
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,803.458496,1056.567993,126.702065,816.430908,789.235168,87.345276,835.405396,693.858154,46.136425,889.577148,1030.864014,237.687408,806.058350,680.929993,44.002800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,803.703674,1056.602417,126.603241,816.429382,789.231995,87.345016,835.410034,693.875610,46.190128,889.640442,1030.888184,237.621521,806.083435,680.905396,43.950832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,803.582153,1056.547241,126.764526,816.427124,789.237976,87.341385,835.436218,693.943970,46.352936,889.695984,1030.910767,237.612625,806.171448,680.962097,43.903595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,803.707764,1056.536255,126.850060,816.483765,789.219788,87.362503,835.448425,693.907898,46.294086,889.917480,1030.689453,237.580154,806.163696,680.969299,43.907726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,803.835876,1056.559570,126.787727,816.484741,789.214783,87.368439,835.435669,693.947327,46.330044,889.724609,1030.726929,237.591400,806.082092,680.932861,43.850338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,803.764709,1056.616089,126.859261,816.367065,789.289368,87.370934,835.375916,693.910583,46.130482,889.639465,1030.755981,237.623627,806.097107,680.919983,43.851116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,803.371826,1056.621338,127.028969,816.407410,789.232544,87.418411,835.380615,693.876038,45.978100,889.768433,1030.820190,237.520508,806.159058,680.931641,43.833633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,803.488953,1056.525269,127.141136,816.401428,789.235779,87.399033,835.405579,693.896667,45.912209,889.838562,1030.804321,237.481415,806.146240,680.936523,43.881550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,803.651428,1056.485352,127.092041,816.429138,789.218689,87.416824,835.433167,693.917419,45.948421,889.813721,1030.655029,237.562973,806.149902,680.941895,43.890766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,803.776245,1056.505005,126.957115,816.399353,789.161072,87.382301,835.465393,693.894470,46.017189,889.841492,1030.673340,237.534576,806.105042,680.937195,43.910522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,803.907898,1056.524414,126.830818,816.386780,789.211792,87.452888,835.443054,693.847534,46.046917,889.901855,1030.684204,237.514175,806.107300,680.923950,43.921093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,803.797119,1056.434570,126.816628,816.393555,789.154114,87.460976,835.459229,693.886414,46.208088,889.990051,1030.595093,237.486923,806.076355,680.903687,43.895992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,803.690002,1056.402100,126.972015,816.362671,789.214294,87.510880,835.425232,693.841919,46.110329,889.826111,1030.544189,237.509689,806.098877,680.918091,43.915222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,803.761414,1056.407959,126.976440,816.378906,789.101624,87.525185,835.445557,693.891113,46.174850,889.798096,1030.547363,237.511032,806.154846,680.931702,43.849815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,803.897461,1056.419067,126.909164,816.362122,789.157227,87.503693,835.477356,693.930420,46.184414,889.917969,1030.622070,237.359375,806.128113,680.916260,43.852177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,803.778625,1056.483032,126.949081,816.331970,789.184387,87.536163,835.423950,693.939270,46.162521,890.024292,1030.614136,237.306747,806.139954,680.937744,43.882442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,803.732544,1056.464355,126.858513,816.286438,789.157837,87.589714,835.411682,693.935669,46.177265,890.023315,1030.623657,237.228119,806.134277,680.923767,43.864010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,803.824219,1056.549927,126.767006,816.201172,789.095825,87.596855,835.557739,693.923584,46.216377,890.001282,1030.619995,237.204559,806.162537,680.932861,43.830780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,803.721252,1056.447876,126.816071,816.239929,789.012146,87.667107,835.521729,693.922729,46.179794,890.076416,1030.548218,237.142288,806.161621,680.949890,43.860596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,803.751770,1056.406738,126.937920,816.182434,789.086060,87.707428,835.510803,693.914246,46.181557,890.079773,1030.524536,237.206070,806.166321,680.940613,43.835178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,803.736023,1056.523926,126.884293,816.133850,788.926086,87.719162,835.431519,693.889587,46.011967,890.084717,1030.541748,237.182892,806.173584,680.939392,43.818371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,803.644287,1056.537842,126.894028,816.095581,788.784729,87.762665,835.429688,693.856567,45.980621,890.134216,1030.535645,237.114151,806.176208,680.941162,43.815422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,803.692322,1056.570435,126.680206,816.096375,788.519592,87.752121,835.452698,693.869324,46.017883,890.188843,1030.558472,237.045410,806.129639,680.934753,43.887978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,803.600220,1056.579956,126.605179,816.200195,788.427979,87.654114,835.503967,693.927795,46.177933,890.132935,1030.557129,236.961899,806.086731,680.927185,43.977234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,803.560547,1056.609131,126.610451,816.137329,788.488586,87.698509,835.434814,693.936340,46.308723,890.211060,1030.608643,236.898376,806.100830,680.906128,43.909519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,803.652649,1056.686890,126.617508,816.133362,788.456604,87.681168,835.435791,693.831482,46.144283,890.232422,1030.627930,236.759705,806.156067,680.908325,43.948799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,803.668945,1056.632202,126.539627,816.181213,788.444641,87.649620,835.481995,693.865845,46.188496,890.262451,1030.538940,236.739014,806.165894,680.928040,43.855595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,803.627502,1056.643433,126.435493,816.279968,788.379700,87.556808,835.472961,693.899780,46.233124,890.262634,1030.514893,236.752289,806.170776,680.921570,43.925758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,803.584656,1056.660034,126.375793,816.219299,788.446960,87.604774,835.458862,693.904724,46.244125,890.265198,1030.548950,236.654068,806.134583,680.943115,43.950623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,803.630188,1056.668091,126.340744,816.392883,788.356934,87.396011,835.451172,693.867004,46.069420,890.249695,1030.584595,236.570999,806.182678,680.928284,43.948433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,803.558777,1056.636719,126.472954,816.499512,788.242676,87.227119,835.469543,693.842346,46.032616,890.260132,1030.570923,236.492432,806.178467,680.911621,43.957626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
