Präzision01164
Date:,2025/04/26
Time:,16:02:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,899.242737,993.981262,309.928650,843.468506,758.515503,104.674255,845.414001,982.832336,194.553741,801.944275,669.874023,41.504383,831.200134,678.148499,37.730892,,,,,,
2,899.254517,994.110840,309.952820,843.248840,759.406006,105.311966,845.254944,983.528381,194.913879,802.050964,670.262573,43.057060,831.093628,678.447510,39.152111,,,,,,
3,899.123779,994.274719,310.060699,843.108704,760.282776,105.870750,845.135437,984.202698,195.259552,801.773560,670.844360,44.335194,831.246704,678.514954,40.540253,,,,,,
4,899.039978,994.488892,310.117554,842.951904,760.904175,106.315781,844.952148,984.982300,195.485275,801.376282,671.104248,45.422081,831.106079,678.607361,41.705719,,,,,,
5,899.080994,994.703491,310.134521,842.647583,761.502563,106.752449,844.870422,985.793762,195.890457,800.734558,671.655273,46.897060,830.566833,679.361450,42.814156,,,,,,
6,899.046753,995.054321,310.046387,842.550964,762.177368,107.405281,844.770386,986.472107,195.938187,800.399231,672.330750,48.326050,829.990784,680.215820,43.981499,,,,,,
7,898.989197,995.328430,310.077606,842.168823,763.351624,108.669846,844.868408,987.579346,195.955307,799.640991,672.903442,50.376095,829.409302,681.087891,45.793907,,,,,,
8,899.238281,995.770508,310.011108,841.846252,764.239380,110.428123,844.928650,988.788940,196.067932,799.322083,673.281128,51.471546,828.820007,681.247314,47.291546,,,,,,
9,899.502563,996.357788,309.706055,841.756653,764.886719,111.766586,845.343933,989.949463,195.686127,798.979431,673.917725,53.436501,827.962769,681.731873,49.221161,,,,,,
10,899.664185,996.865845,309.592407,841.376221,765.493042,113.156509,845.623108,991.304504,195.475174,798.185486,674.742615,55.382957,827.490601,682.243774,50.783756,,,,,,
11,899.765564,997.373718,309.469604,840.633850,766.847717,114.534927,845.871338,992.692810,195.619064,797.499390,675.632751,56.846260,826.798828,682.808655,52.765965,,,,,,
12,899.846741,998.191650,309.456512,839.960266,768.260010,115.501404,846.050537,993.815369,195.675674,796.705261,676.543518,59.102715,826.068848,683.699402,54.596901,,,,,,
13,899.934143,999.074524,309.464142,839.277161,769.232483,116.834328,845.846191,995.308533,196.267410,796.189453,677.393677,60.910709,825.374817,684.849060,56.794418,,,,,,
14,899.944092,999.981567,309.495850,838.721680,770.421204,118.609848,845.409119,996.820313,197.134308,795.758606,678.542358,62.917007,824.724915,685.765015,58.690624,,,,,,
15,899.848755,1000.752686,309.609558,838.559204,771.977722,120.697380,845.168152,998.359619,197.677765,794.875488,679.844360,65.202797,823.900513,686.492432,61.000557,,,,,,
16,899.366943,1001.609192,309.976440,837.609558,773.039490,122.467255,845.263367,1000.099792,197.981735,793.784607,680.665649,67.571503,823.403503,687.312622,63.414890,,,,,,
17,899.061401,1002.709900,309.981110,837.066040,774.451721,124.084435,845.551941,1001.712891,197.938217,793.101318,682.031799,69.623108,822.697449,688.815491,65.806999,,,,,,
18,899.205078,1003.967896,310.283051,836.117432,776.261902,126.129280,845.715027,1003.736755,197.929199,792.094971,683.471069,71.725441,821.642639,690.080566,68.186249,,,,,,
19,899.471741,1005.039917,310.374329,835.268738,777.639587,127.484276,845.515015,1005.569580,198.163803,790.984497,684.543213,73.910995,820.548096,691.024536,70.289490,,,,,,
