Präzision01161
Date:,2025/05/06
Time:,14:18:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,742.510193,1095.831177,371.237610,767.163330,798.609375,143.304291,794.405518,684.491089,133.631927,719.677979,1072.817749,221.572830,777.209961,701.723633,109.257416,,,,,,,,,,,,,,,,,,,,,,,,
2,742.126282,1097.690063,371.869263,765.674866,801.213684,145.399231,793.322083,686.623169,136.720932,719.885254,1075.634155,221.579437,775.725708,703.615356,112.602310,,,,,,,,,,,,,,,,,,,,,,,,
3,741.923218,1099.752319,372.300598,764.139160,803.722229,147.297882,793.668640,690.650391,136.793015,719.307251,1078.951172,221.806458,773.077026,706.081665,114.476807,,,,,,,,,,,,,,,,,,,,,,,,
4,742.085632,1102.072510,372.611298,762.425476,806.368164,149.363602,791.268982,706.283813,133.072510,718.654846,1082.308960,221.886108,767.997742,690.260010,126.245193,,,,,,,,,,,,,,,,,,,,,,,,
5,742.469360,1104.396484,372.711517,760.742920,809.257080,151.279678,788.313477,711.850769,133.279877,718.020752,1085.497437,222.765259,765.385010,690.823608,130.116196,,,,,,,,,,,,,,,,,,,,,,,,
6,742.574829,1106.533936,373.153748,759.092957,811.883118,153.127640,785.499329,714.094177,135.428619,717.151978,1088.733643,223.604660,763.026245,695.288940,131.072357,,,,,,,,,,,,,,,,,,,,,,,,
7,742.654785,1108.596924,373.853210,757.010376,814.683838,154.663437,783.297241,716.043823,137.723495,716.996094,1092.232910,223.674637,761.063416,698.905151,132.174255,,,,,,,,,,,,,,,,,,,,,,,,
8,742.699463,1110.935913,374.779510,755.046753,817.870544,156.523682,782.024292,718.715576,139.885162,717.216370,1095.701172,223.324600,759.081543,701.734741,134.403351,,,,,,,,,,,,,,,,,,,,,,,,
9,742.760193,1113.368286,375.062408,752.920898,820.849609,157.936325,779.801025,721.752441,142.486771,715.956726,1099.116211,224.497421,756.607239,704.548462,136.667374,,,,,,,,,,,,,,,,,,,,,,,,
10,742.560730,1115.641479,375.540710,751.083923,824.056641,159.603561,776.615540,724.634094,144.157700,715.585938,1102.368530,225.656876,753.960815,707.621643,138.143967,,,,,,,,,,,,,,,,,,,,,,,,
11,742.743103,1117.864502,376.091003,749.263489,827.040771,160.962570,774.070435,727.465820,145.141296,715.884277,1105.851318,225.486954,751.274170,710.825378,139.957153,,,,,,,,,,,,,,,,,,,,,,,,
12,743.275391,1120.218506,376.677429,747.371704,830.160522,162.608780,772.222839,730.603638,146.998886,715.648438,1109.581055,225.351624,748.878906,713.973938,141.740997,,,,,,,,,,,,,,,,,,,,,,,,
13,743.446167,1122.701904,377.110779,745.404907,833.504822,164.029526,770.127441,733.342896,149.000793,714.771057,1113.043579,226.544632,746.324890,716.966675,143.349380,,,,,,,,,,,,,,,,,,,,,,,,
14,743.583618,1125.111694,377.211365,743.204590,836.360718,165.276535,767.305481,736.268188,150.424225,714.528931,1116.277466,227.562576,743.807312,720.121948,144.447235,,,,,,,,,,,,,,,,,,,,,,,,
15,743.912109,1127.367676,377.639709,741.239441,839.673279,166.884949,764.312195,739.831604,151.187958,714.538757,1119.872803,227.717056,741.100586,723.425232,146.116028,,,,,,,,,,,,,,,,,,,,,,,,
16,744.244873,1129.963867,378.060425,739.368713,843.021667,167.876373,761.676758,743.328552,152.515640,714.596008,1123.644897,228.121765,738.282288,726.902039,147.617645,,,,,,,,,,,,,,,,,,,,,,,,
17,744.347900,1132.151855,378.791962,736.708862,846.510010,169.387650,758.928162,746.552490,154.026886,713.993164,1127.138672,228.960373,735.850708,730.351807,148.226791,,,,,,,,,,,,,,,,,,,,,,,,
18,744.438843,1134.325562,379.558716,734.666870,850.013611,170.119537,756.902588,749.646851,155.116745,713.950134,1130.718140,229.512833,733.096436,733.772705,150.068008,,,,,,,,,,,,,,,,,,,,,,,,
19,745.088928,1136.776978,380.208588,732.827942,853.328491,171.087830,754.280640,752.737915,156.194138,713.657288,1134.379028,230.596512,730.267578,737.131470,150.381531,,,,,,,,,,,,,,,,,,,,,,,,
20,745.161804,1139.235962,380.931580,730.693237,856.932556,172.271469,751.542542,755.805969,157.792603,713.410828,1138.057861,230.806259,727.649780,740.651733,151.783432,,,,,,,,,,,,,,,,,,,,,,,,
21,745.337341,1141.512085,381.315918,728.639282,860.538879,173.470200,748.847229,759.745056,158.438919,713.540283,1141.710449,231.265228,724.626770,744.351196,152.529907,,,,,,,,,,,,,,,,,,,,,,,,
22,745.920105,1143.921143,381.394806,726.286987,864.125000,173.931549,745.592773,763.088562,158.973267,713.539124,1145.123779,232.367935,721.868347,747.911194,153.501877,,,,,,,,,,,,,,,,,,,,,,,,
23,746.308105,1146.332886,381.805328,724.003296,867.602356,174.924988,742.760620,766.347595,160.216934,713.497742,1148.684082,232.967545,718.823853,751.467773,154.552170,,,,,,,,,,,,,,,,,,,,,,,,
24,746.443848,1148.680420,382.680969,722.030334,871.002869,175.952026,740.107056,769.552246,161.245392,713.487183,1152.416382,233.354996,715.849731,754.873474,155.277634,,,,,,,,,,,,,,,,,,,,,,,,
25,747.208679,1151.045654,382.871094,719.853943,874.457520,176.519165,737.630676,773.317749,161.915253,713.434326,1155.946777,234.114014,713.254700,758.587830,155.479126,,,,,,,,,,,,,,,,,,,,,,,,
26,747.856445,1153.331055,383.228790,717.845093,878.308472,176.715118,734.690613,777.006775,161.855667,713.900635,1159.456909,234.749481,710.301819,762.248535,156.299194,,,,,,,,,,,,,,,,,,,,,,,,
27,748.164001,1155.656372,384.118042,715.885010,881.792480,177.775726,731.941040,780.441040,162.912170,713.081177,1163.176514,236.078903,707.653198,766.016846,156.882492,,,,,,,,,,,,,,,,,,,,,,,,
28,748.458130,1157.890747,384.779053,714.064941,885.476318,178.154968,729.390808,783.703003,163.275864,,,,704.456482,769.650330,157.446777,,,,,,,,,,,,,,,,,,,,,,,,
29,748.985046,1160.193604,384.977692,712.303284,889.127625,178.441467,726.802429,787.473877,164.200348,,,,701.489258,773.285095,158.000565,714.643677,1170.116699,236.681305,,,,,,,,,,,,,,,,,,,,,
30,749.078491,1162.320679,385.894348,710.421448,892.332092,178.992218,724.535950,790.806030,164.066528,,,,699.046570,777.102173,158.122849,713.674011,1173.726196,237.955627,,,,,,,,,,,,,,,,,,,,,
31,749.489990,1164.459351,386.791718,708.478271,896.122803,179.509628,721.300598,794.442383,164.489426,,,,696.595093,780.699341,158.420105,713.979736,1176.953247,239.001434,,,,,,,,,,,,,,,,,,,,,
32,750.089111,1166.695923,387.135742,706.665283,899.671204,179.900940,718.472473,798.050964,164.792526,,,,694.063232,784.346436,158.649246,714.109558,1180.415405,240.008774,,,,,,,,,,,,,,,,,,,,,
33,750.428589,1168.765137,387.719849,705.047241,903.213074,180.091965,716.008240,801.148010,164.885971,,,,691.583557,787.931335,158.420639,714.757874,1183.537720,240.665543,,,,,,,,,,,,,,,,,,,,,
34,750.723267,1170.929565,388.552795,703.201111,906.753723,180.678970,714.034851,804.296875,164.827896,,,,688.794434,791.616394,159.206543,715.940613,1186.757446,240.883896,,,,,,,,,,,,,,,,,,,,,
35,751.440857,1173.099854,388.780792,701.294556,910.141846,180.781372,711.640625,807.901672,165.435028,,,,686.226868,795.258789,159.323395,715.969055,1190.027710,241.456604,,,,,,,,,,,,,,,,,,,,,
36,752.230713,1175.067993,389.055145,699.443298,913.473206,181.267807,709.378601,811.583740,165.469147,,,,683.585938,798.807800,159.340347,716.736511,1193.123901,241.395309,,,,,,,,,,,,,,,,,,,,,
37,752.966370,1177.096802,389.347290,698.026062,916.985657,181.694077,706.323059,814.942627,165.923187,,,,681.341125,802.174927,159.420715,716.556519,1196.314941,242.622299,,,,,,,,,,,,,,,,,,,,,
38,753.674377,1179.058228,389.965576,696.090698,920.395325,181.916229,704.445129,818.118286,165.657578,,,,679.333374,805.721497,159.210907,716.879333,1199.286377,244.036270,,,,,,,,,,,,,,,,,,,,,
39,753.948425,1181.049927,390.675598,694.686401,923.558411,182.194046,702.763306,821.345032,165.829208,,,,676.832092,809.124268,159.712830,717.659485,1202.170044,244.701523,,,,,,,,,,,,,,,,,,,,,
40,754.470032,1183.115112,390.771637,693.649658,926.803406,182.392227,700.171143,824.684021,166.530121,,,,674.400208,812.652588,159.850388,718.564697,1205.226685,245.261337,,,,,,,,,,,,,,,,,,,,,
41,755.008545,1184.930298,391.216675,692.039978,930.079102,182.286148,698.039368,827.996826,166.147797,,,,672.506958,815.911194,160.021332,719.120361,1208.176880,245.643555,,,,,,,,,,,,,,,,,,,,,
42,755.464050,1186.694214,391.780273,690.671326,933.322571,182.870026,696.195374,830.760315,166.449173,,,,670.634033,819.272339,159.882401,720.044312,1210.623657,245.665710,,,,,,,,,,,,,,,,,,,,,
43,756.067871,1188.609131,392.251892,689.941284,936.256165,182.911835,694.138733,833.891602,166.620010,,,,668.916260,822.639648,159.900040,720.218506,1213.702515,246.463135,,,,,,,,,,,,,,,,,,,,,
44,756.668640,1190.503662,392.454651,688.594910,939.277649,182.672440,692.617920,837.105713,166.501114,,,,666.511780,825.972168,160.339066,720.276794,1216.415405,247.275192,,,,,,,,,,,,,,,,,,,,,
45,756.923889,1192.251221,393.137054,687.489563,942.415100,183.025513,691.055481,839.902283,166.478378,,,,665.588318,829.012085,159.723267,720.839539,1218.844727,248.237488,,,,,,,,,,,,,,,,,,,,,
46,757.589966,1193.880371,393.738678,686.650208,945.107361,183.233368,689.401367,842.776550,166.744003,,,,663.807678,832.012451,159.711365,721.457764,1221.353516,248.962540,,,,,,,,,,,,,,,,,,,,,
47,758.391907,1195.603760,394.033020,685.918884,947.705872,183.205627,688.120178,845.581482,166.874863,,,,662.396851,834.716736,159.578491,721.840027,1224.030029,249.528137,,,,,,,,,,,,,,,,,,,,,
48,758.821655,1197.333008,394.330444,685.069153,950.417053,183.241867,686.493713,848.123779,166.494781,,,,661.223206,837.581726,159.236023,722.651550,1226.320068,249.745819,,,,,,,,,,,,,,,,,,,,,
49,759.202942,1198.822754,394.689911,684.071838,952.942749,183.497955,685.614197,850.977722,166.290787,,,,659.553101,840.264282,159.476807,723.616577,1228.317017,249.712967,,,,,,,,,,,,,,,,,,,,,
50,759.880554,1200.365356,394.925812,683.223267,955.543701,183.469391,684.111328,853.259827,166.297287,,,,658.415466,843.026672,159.585632,724.388672,1230.625610,250.377457,,,,,,,,,,,,,,,,,,,,,
51,760.547729,1202.161621,395.094452,682.718750,957.939819,183.518692,683.124817,855.549866,166.509903,,,,657.143677,845.404297,160.027924,725.213257,1232.713013,250.845840,,,,,,,,,,,,,,,,,,,,,
52,760.846497,1203.394775,395.587769,682.126709,960.264099,183.747635,681.875610,858.114807,166.345032,,,,655.926208,847.897400,159.751617,725.760925,1234.642456,251.274292,,,,,,,,,,,,,,,,,,,,,
53,761.200317,1204.868530,396.470795,681.576416,962.400208,183.920609,681.134094,860.130005,166.867950,,,,655.101379,850.186646,159.318237,726.547668,1236.468018,251.290741,,,,,,,,,,,,,,,,,,,,,
54,761.573730,1206.396851,396.734741,680.937012,964.415588,183.974289,680.311401,862.221008,166.263046,,,,654.446960,852.424072,158.751755,727.380554,1238.468018,251.676605,,,,,,,,,,,,,,,,,,,,,
55,762.192505,1207.644653,396.922638,680.402344,966.624878,183.939087,679.287231,864.657227,165.907104,,,,653.609253,854.716614,158.522232,728.014771,1240.122314,251.575745,,,,,,,,,,,,,,,,,,,,,
56,762.488525,1208.884521,397.290436,679.928528,968.589478,183.707367,678.643372,866.557373,165.932526,,,,652.955078,856.858887,158.143021,728.010864,1241.928223,252.439224,,,,,,,,,,,,,,,,,,,,,
57,763.179871,1209.994995,397.319946,679.539673,970.115601,183.740845,677.722412,868.360046,166.187012,,,,651.332092,858.752686,159.135086,728.472961,1243.519165,252.957260,,,,,,,,,,,,,,,,,,,,,
58,764.062744,1211.253906,397.242523,679.291199,972.069336,184.059189,676.632019,869.957275,166.077087,,,,650.563232,860.613586,159.602951,729.306580,1244.979980,253.191284,,,,,,,,,,,,,,,,,,,,,
59,764.828857,1212.258423,397.190826,679.062073,973.757874,184.301376,676.473877,871.799744,165.516342,,,,650.017273,862.518188,159.358154,730.093811,1246.238037,253.518890,,,,,,,,,,,,,,,,,,,,,
60,765.314148,1213.273315,397.575775,678.683228,975.489746,184.288467,675.893311,873.525330,165.677643,,,,649.720154,864.284241,158.598297,730.416809,1247.688110,254.018677,,,,,,,,,,,,,,,,,,,,,
