Präzision42
Date:,2025/04/16
Time:,14:30:05
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,790.109863,792.036377,90.847992,804.112244,680.959717,52.206429,673.927795,1131.179810,360.876282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,790.084839,792.022095,90.824081,804.139160,680.913330,52.217690,673.906799,1131.192627,360.799133,819.360962,710.892273,41.188786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,790.211914,792.012512,90.906189,804.098755,680.913940,52.152016,673.979370,1131.203857,360.780701,819.335571,710.840332,41.080147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,790.196838,792.022705,90.886093,804.095886,680.879395,52.081612,673.975525,1131.200806,360.792633,819.172668,710.671509,40.831764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,790.290405,791.975647,90.889450,804.210754,680.860718,52.053593,673.986816,1131.202759,360.788544,819.207581,710.605713,40.671013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,790.319702,791.893188,90.860985,804.179749,680.762939,52.030457,673.942383,1131.210815,360.736572,818.933777,710.481567,40.362095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,790.380127,791.817383,90.888390,804.235535,680.742859,51.984299,673.955750,1131.128052,360.694305,818.948425,710.484314,40.281445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,790.305054,791.827026,90.904419,804.286743,680.735535,51.874023,674.011108,1131.043091,360.598114,818.994812,710.393982,40.237534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,790.374512,791.799011,90.712395,804.366211,680.730591,51.893616,674.005432,1131.042603,360.534760,819.106079,710.337280,40.236721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,790.569458,791.603821,90.665031,804.396057,680.603638,51.837070,674.095520,1131.059326,360.548431,819.121765,710.282227,40.283451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,790.518311,791.595703,90.717415,804.411804,680.516846,51.791199,674.078979,1131.071777,360.496094,819.177307,710.294006,40.322803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,790.620178,791.655701,90.607124,804.476807,680.486023,51.719959,674.068604,1131.072998,360.485168,819.304077,710.188538,40.329247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,790.531799,791.482544,90.639397,804.605591,680.458313,51.736546,674.123840,1131.004272,360.397522,819.167603,710.092590,40.239964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
