Präzision50
Date:,2025/04/22
Time:,15:45:22
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,766.108704,1132.293823,403.402863,817.834290,785.313049,128.730865,756.495850,1014.260010,271.507538,805.989807,699.999268,63.032150,,,,,,,,,,,,,,,,,,,,,
2,765.912048,1132.284912,403.438416,817.826355,785.284119,128.798996,756.524780,1014.253174,271.458527,806.453003,700.083679,63.294472,,,,,,,,,,,,,,,,,,,,,
3,765.815491,1132.267700,403.612915,817.808289,785.248962,128.750626,756.499268,1014.178528,271.367523,806.420288,699.996765,63.283928,,,,,,,,,,,,,,,,,,,,,
4,765.778687,1132.235596,403.606018,817.729492,785.106018,128.827316,756.463562,1014.160522,271.324951,806.230896,699.944031,63.205517,,,,,,,,,,,,,,,,,,,,,
5,765.845642,1132.236084,403.599945,817.688843,785.062378,128.847198,756.435974,1014.176636,271.305481,805.946472,699.779846,63.011768,,,,,,,,,,,,,,,,,,,,,
6,765.767029,1132.157349,403.604767,817.722595,785.020447,128.952957,756.480652,1014.201294,271.229065,805.844482,699.710815,63.057049,,,,,,,,,,,,,,,,,,,,,
7,765.704102,1132.115967,403.637238,817.756470,785.023010,128.972656,756.699158,1014.404663,271.286682,806.143555,699.756104,63.337799,,,,,,,,,,,,,,,,,,,,,
8,765.601807,1132.123291,403.697784,817.716064,785.029663,129.012894,756.670715,1014.438232,271.238434,806.490417,699.777588,63.583958,,,,,,,,,,,,,,,,,,,,,
9,765.602173,1132.124878,403.639923,817.727478,785.026978,129.111908,756.567871,1014.265808,270.985016,806.779358,699.713196,63.687920,,,,,,,,,,,,,,,,,,,,,
10,765.610352,1132.108032,403.652435,817.762390,784.976929,129.234909,756.505798,1014.480530,271.139343,806.966431,699.687317,63.760410,,,,,,,,,,,,,,,,,,,,,
11,765.522522,1132.103638,403.658112,817.768127,784.968933,129.261383,756.427185,1014.589844,271.121216,807.064514,699.670410,63.817703,,,,,,,,,,,,,,,,,,,,,
12,765.632080,1132.107666,403.597748,817.741638,784.961792,129.192123,756.352478,1014.550354,271.202362,807.204407,699.651367,63.897408,,,,,,,,,,,,,,,,,,,,,
13,765.551697,1132.097046,403.692505,817.697571,784.997375,129.297546,756.307922,1014.590210,271.137299,807.172668,699.657715,64.007019,,,,,,,,,,,,,,,,,,,,,
14,765.584473,1132.101929,403.613129,817.725098,785.124451,129.344391,755.962585,1014.429932,271.138092,807.101501,699.615723,63.993641,,,,,,,,,,,,,,,,,,,,,
15,765.467285,1132.106201,403.632080,817.586304,785.067871,129.563812,756.095459,1014.728149,271.086395,807.105774,699.595886,64.000122,,,,,,,,,,,,,,,,,,,,,
16,765.377808,1132.083496,403.684418,817.612671,785.024048,129.700104,756.066223,1014.905090,271.054565,824.686218,697.586243,77.857796,,,,,,,,,,,,,,,,,,,,,
