Präzision01158
Date:,2025/04/24
Time:,16:13:32
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,737.827698,786.963257,209.822311,711.343384,781.794739,208.994598,831.676941,1145.143677,391.596771,759.914001,886.556396,195.464081,802.941284,1123.197388,239.797409,,,,,,,,,,,,
35,736.279663,789.581848,210.841141,709.747864,784.616028,210.462769,831.831726,1146.735596,391.979828,758.374268,889.749146,196.770889,803.098938,1125.973633,240.323868,,,,,,,,,,,,
36,734.394226,792.448975,213.028702,708.100708,787.715454,211.454620,831.935791,1148.163696,392.171509,756.858093,892.745972,197.957443,803.222778,1128.680298,240.707947,,,,,,,,,,,,
37,732.708252,795.639587,213.857101,705.953247,790.938599,213.234146,831.802612,1149.436279,392.480133,755.106079,895.714783,198.958832,803.041687,1131.319702,240.978882,,,,,,,,,,,,
38,730.258362,798.844360,215.204330,704.308594,793.947205,214.502045,832.063538,1150.696777,393.002563,753.751404,898.609985,199.931168,802.972961,1134.185425,241.811371,,,,,,,,,,,,
39,729.241821,801.852844,216.105850,702.490417,797.024475,215.818405,832.112244,1152.049561,393.652618,752.174622,901.628418,201.217682,802.944397,1136.698853,243.033051,,,,,,,,,,,,
40,727.399475,804.642456,217.723068,700.406494,800.195374,217.035004,832.223450,1153.564819,394.392883,750.982300,904.490356,202.330154,802.829956,1139.320190,243.594818,,,,,,,,,,,,
41,725.477600,807.840820,218.366196,698.513855,803.414368,217.874313,832.164673,1155.012939,394.679535,749.000732,907.494690,203.206512,802.531494,1141.746826,244.185944,,,,,,,,,,,,
42,723.088501,810.911865,219.196854,696.803223,806.404907,218.973557,832.328186,1156.346924,394.933899,747.119019,910.847290,203.599884,802.333984,1144.263916,245.434097,,,,,,,,,,,,
43,721.741394,813.779602,219.729797,694.635925,809.483276,219.526749,832.190369,1157.686890,395.196747,745.828491,913.523132,204.391769,802.061462,1146.904175,246.505814,,,,,,,,,,,,
44,718.953186,816.884277,220.728806,692.717407,812.747192,219.759735,832.076599,1158.823364,395.608551,744.105591,916.378235,205.726532,802.454529,1149.298096,246.737350,,,,,,,,,,,,
45,717.317505,820.227661,221.215332,690.772156,815.712341,220.814484,832.478149,1160.122559,396.321655,742.168884,919.389221,205.871887,802.821655,1151.925415,247.073517,,,,,,,,,,,,
46,715.802185,822.817993,221.931152,688.558838,818.835938,221.503159,832.835083,1161.593994,396.980835,740.453857,922.504761,206.256821,802.861816,1154.329956,247.100571,,,,,,,,,,,,
47,713.128784,826.092773,222.166000,686.447571,821.877136,221.421860,832.939697,1162.956665,397.370758,738.651001,925.469849,206.646332,802.629333,1156.574585,247.990616,,,,,,,,,,,,
48,711.548889,829.117737,222.298553,684.414917,824.981750,221.722137,833.044800,1164.244873,397.671265,736.858765,928.298340,207.031525,802.483337,1159.137451,248.972046,,,,,,,,,,,,
49,709.153076,832.050598,222.240814,682.576111,828.138672,221.787598,833.138977,1165.498169,397.842072,734.970032,931.218689,207.469513,802.214783,1161.493408,249.540359,,,,,,,,,,,,
50,707.167175,834.791931,222.238388,680.410217,831.150757,221.490646,833.132568,1166.670044,398.458435,733.304810,934.050049,207.204910,801.928467,1163.404541,250.250443,,,,,,,,,,,,
51,705.142822,837.670044,221.768524,678.215759,833.737183,221.740616,833.171387,1167.894653,399.144073,731.662781,936.507935,207.397888,,,,,,,,,,,,,,,
